plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
18,0.0,50.0,5.0,0.0,0.0,/videos/179722291,#2QIK: Elijah McKinnon & AJ Christian (Part One),473.0,2016-08-22T07:38:34+00:00,Array,0.0,54.0,257.0,4642.0,8514.0,0.0,None
18,0.0,51.0,2.0,0.0,0.0,/videos/197047570,Open TV Re-Presents: Filipino Fusions -- Season 1,2458.0,2016-12-25T21:32:24+00:00,Array,0.0,35.0,480.0,8645.0,24589.0,0.0,OTV|FF
16,0.0,41.0,1.0,0.0,0.0,/videos/225918073,"Two Queens in a Kitchen, Season 2 -- Oli & Felicia",1626.0,2017-07-17T22:23:25+00:00,Array,0.0,27.0,396.0,6345.0,22775.0,0.0,TQIK
16,0.0,176.0,1.0,0.0,0.0,/videos/162141163,Bronx Cunt Tour -- Episode 1,500.0,2016-04-08T23:44:29+00:00,Array,0.0,59.0,241.0,3862.0,6500.0,0.0,BCT
15,0.0,74.0,7.0,0.0,0.0,/videos/218828861,You Should Know This By Now -- FAWZIA MIRZA #2,22.0,2017-05-24T17:47:22+00:00,Array,0.0,88.0,14.0,214.0,242.0,0.0,YSK
15,0.0,46.0,5.0,0.0,0.0,/videos/195901514,Lipstick City Premiere -- Open TV Community,103.0,2016-12-16T03:07:45+00:00,Array,0.0,55.0,46.0,691.0,1247.0,0.0,LC|OTV
14,0.0,48.0,8.0,0.0,0.0,/videos/218708490,You Should Know This By Now -- VINCENT RODRIGUEZ,34.0,2017-05-23T22:56:26+00:00,Array,0.0,72.0,19.0,270.0,374.0,0.0,YSK
14,0.0,36.0,3.0,0.0,0.0,/videos/179704860,#2QIK: Cqqchifruit & Darling Shear (Part One),276.0,2016-08-22T03:02:25+00:00,Array,0.0,57.0,114.0,1599.0,2770.0,0.0,DS
14,0.0,30.0,2.0,0.0,0.0,/videos/174737229,Been T/Here -- Lessons Learned,735.0,2016-07-14T22:01:40+00:00,Array,0.0,61.0,320.0,4487.0,7350.0,0.0,BTH
13,0.0,26.0,1.0,0.0,0.0,/videos/162147393,Bronx Cunt Tour -- Episode 2,609.0,2016-04-09T01:28:13+00:00,Array,0.0,44.0,292.0,3806.0,8526.0,0.0,BCT
12,0.0,51.0,9.0,0.0,0.0,/videos/218707639,You Should Know This By Now -- DLO KID,34.0,2017-05-23T22:47:53+00:00,Array,0.0,86.0,30.0,363.0,420.0,0.0,YSK
12,0.0,61.0,6.0,0.0,0.0,/videos/218707132,You Should Know This By Now -- FAWZIA MIRZA #1,43.0,2017-05-23T22:42:39+00:00,Array,0.0,70.0,25.0,304.0,430.0,0.0,YSK
11,0.0,20.0,3.0,0.0,0.0,/videos/175640352,"Been T/Here -- Suddenly, It All Changed",813.0,2016-07-21T02:12:10+00:00,Array,0.0,83.0,556.0,6118.0,7326.0,0.0,BTH
