plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
9450,0.0,19927.0,2230.0,12.0,0.0,/videos/203924325,Brown Girls -- Episode 1,410.0,2017-02-14T00:43:46+00:00,Array,0.0,68.0,251.0,2374279.0,3452241.0,0.0,BG
6399,0.0,26435.0,1378.0,4.0,0.0,/videos/189724238,Brown Girls -- Trailer,141.0,2016-11-01T01:03:06+00:00,Array,0.0,67.0,79.0,509424.0,752628.0,0.0,BG
5911,0.0,6925.0,1656.0,9.0,0.0,/videos/204010747,Brown Girls -- Episode 2,874.0,2017-02-14T14:31:09+00:00,Array,0.0,77.0,626.0,3705574.0,4757298.0,0.0,BG
4817,0.0,6688.0,1452.0,7.0,1.0,/videos/204010519,Brown Girls -- Episode 3,636.0,2017-02-14T14:29:31+00:00,Array,0.0,82.0,479.0,2308542.0,2796342.0,0.0,BG
4353,0.0,6296.0,1107.0,7.0,0.0,/videos/204010226,Brown Girls -- Episode 4,770.0,2017-02-14T14:27:31+00:00,Array,0.0,82.0,587.0,2559261.0,3119378.0,0.0,BG
4324,0.0,5047.0,1657.0,9.0,0.0,/videos/204008552,Brown Girls -- Episode 7,628.0,2017-02-14T14:15:33+00:00,Array,0.0,79.0,446.0,1929404.0,2439779.0,0.0,BG
3819,0.0,4295.0,1179.0,6.0,0.0,/videos/204009737,Brown Girls -- Episode 6,476.0,2017-02-14T14:24:17+00:00,Array,0.0,85.0,374.0,1429708.0,1676625.0,0.0,BG
3808,0.0,4410.0,1226.0,5.0,0.0,/videos/204010026,Brown Girls -- Episode 5,508.0,2017-02-14T14:26:06+00:00,Array,0.0,86.0,403.0,1537172.0,1783850.0,0.0,BG
1746,0.0,2264.0,114.0,0.0,0.0,/videos/198624799,Open TV (beta) Trailer,179.0,2017-01-09T03:10:34+00:00,Array,0.0,29.0,40.0,71496.0,246178.0,0.0,OTV
1139,0.0,7573.0,97.0,1.0,0.0,/videos/206503473,BRUJOS -- Episode 1 -- Aries,492.0,2017-03-03T00:46:07+00:00,Array,0.0,44.0,187.0,213608.0,476711.0,0.0,B
951,0.0,1600.0,38.0,1.0,0.0,/videos/143933380,Open TV Presents: Southern for Pussy,283.0,2015-10-28T22:38:55+00:00,Array,0.0,47.0,112.0,106946.0,223601.0,0.0,SFP
910,0.0,3885.0,105.0,2.0,0.0,/videos/164959147,Open TV Presents: Lipstick City by Shea Couleé,556.0,2016-05-02T05:50:23+00:00,Array,0.0,62.0,324.0,295143.0,468977.0,0.0,LC
516,0.0,6514.0,46.0,0.0,0.0,/videos/206503243,BRUJOS -- Episode 2 -- Taurus,637.0,2017-03-03T00:43:42+00:00,Array,0.0,59.0,314.0,162117.0,273047.0,0.0,B
461,0.0,6372.0,50.0,0.0,0.0,/videos/206502849,BRUJOS -- Episode 4 -- Cancer,592.0,2017-03-03T00:39:37+00:00,Array,0.0,59.0,269.0,124086.0,208725.0,0.0,B
450,0.0,6344.0,51.0,0.0,0.0,/videos/206503072,BRUJOS -- Episode 3 -- Gemini,522.0,2017-03-03T00:41:50+00:00,Array,0.0,62.0,262.0,117919.0,187398.0,0.0,B
419,0.0,2215.0,17.0,1.0,0.0,/videos/225923760,"Two Queens in a Kitchen, Season 2 -- AJ & Elijah",1365.0,2017-07-17T23:21:42+00:00,Array,0.0,36.0,451.0,189350.0,514971.0,0.0,TQIK
328,0.0,1158.0,211.0,1.0,0.0,/videos/206113370,"BRUJOS -- ""The Devil"" Trailer",58.0,2017-02-28T18:46:12+00:00,Array,0.0,81.0,38.0,12632.0,15428.0,0.0,B
312,0.0,458.0,20.0,0.0,0.0,/videos/225594527,"Two Queens in a Kitchen, Season 2 -- Kristen & Coriama",1539.0,2017-07-14T17:59:08+00:00,Array,0.0,29.0,431.0,134718.0,460161.0,0.0,TQIK
279,0.0,425.0,37.0,1.0,0.0,/videos/218741719,Geeta's Guide To Moving On -- Episode 1,425.0,2017-05-24T05:55:19+00:00,Array,0.0,64.0,253.0,70773.0,109039.0,0.0,GGMO
234,0.0,1840.0,14.0,0.0,0.0,/videos/152854976,Full Out -- Episode 1,903.0,2016-01-24T03:25:13+00:00,Array,0.0,57.0,419.0,98190.0,169916.0,0.0,FO
