"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
8994,5,23906,2188,desktop,0,71,332,2991518,4737363,0
4842,0,14379,552,mobile,0,57,221,1074603,2856378,0
683,0,1557,165,tablet,0,68,281,192485,357149,0
214,0,358,33,tv,0,56,150,32124,168515,0
29,0,3125,0,unknown,0,44,335,9735,23948,0
"
",,,,,,,,,,
