"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
3530,30,16882,718,desktop,3227,63,316,1117693,1935376,1256
2576,0,10449,309,mobile,1928,56,249,642529,1309409,993
292,0,359,4,tv,13,66,40,11736,117275,9
275,0,1023,69,tablet,164,70,280,77094,144163,82
19,0,2721,0,unknown,0,84,395,7522,0,0
"
",,,,,,,,,,
