"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
14,0,214,7,desktop,0,44,142,1998,4572,0
2,0,7,0,mobile,0,46,66,132,416,0
0,1,2,0,unknown,0,0,0,0,0,0
0,0,1,0,tablet,0,0,0,0,0,0
"
",,,,,,,,,,
