"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
7427,13,26384,1294,desktop,0,69,315,2344988,3726410,0
4511,0,22185,373,mobile,0,53,182,824819,2350610,0
646,0,3263,99,tablet,0,69,267,172660,336035,0
270,0,370,16,tv,0,75,77,20806,162343,0
9,0,2840,1,unknown,0,71,375,3380,5518,0
"
",,,,,,,,,,
