"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
2,0,45,1,2013-05-01,2013-05-02,0,0,0,0,0,0,0,0
2,1,44,1,2013-05-02,2013-05-03,0,0,0,0,0,0,0,0
1,0,14,1,2013-05-03,2013-05-04,0,0,0,0,0,0,0,0
0,0,34,0,2013-05-04,2013-05-05,0,0,0,0,0,0,0,0
0,0,34,0,2013-05-05,2013-05-06,0,0,0,0,0,0,0,0
0,0,34,0,2013-05-06,2013-05-07,0,0,0,0,0,0,0,0
0,0,44,0,2013-05-07,2013-05-08,0,0,0,0,0,0,0,0
0,0,58,0,2013-05-08,2013-05-09,0,0,0,0,0,0,0,0
0,0,32,0,2013-05-09,2013-05-10,0,0,0,0,0,0,0,0
1,0,12,1,2013-05-10,2013-05-11,0,0,0,0,0,0,0,0
3,0,56,0,2013-05-11,2013-05-12,0,0,0,0,0,0,0,0
0,0,17,0,2013-05-12,2013-05-13,0,0,0,0,0,0,0,0
0,0,62,0,2013-05-13,2013-05-14,0,0,0,0,0,0,0,0
0,0,46,0,2013-05-14,2013-05-15,0,0,0,0,0,0,0,0
1,0,39,0,2013-05-15,2013-05-16,0,0,0,0,0,0,0,0
2,0,34,2,2013-05-16,2013-05-17,0,0,0,0,0,0,0,0
2,0,57,1,2013-05-17,2013-05-18,0,0,0,0,0,0,0,0
0,0,19,0,2013-05-18,2013-05-19,0,0,0,0,0,0,0,0
2,0,20,1,2013-05-19,2013-05-20,0,0,0,0,0,0,0,0
1,0,42,0,2013-05-20,2013-05-21,0,0,0,0,0,0,0,0
0,0,11,0,2013-05-21,2013-05-22,0,0,0,0,0,0,0,0
1,0,42,0,2013-05-22,2013-05-23,1,0,0,0,0,0,0,0
1,0,28,0,2013-05-23,2013-05-24,0,0,0,0,0,0,0,0
0,0,20,0,2013-05-24,2013-05-25,0,0,0,0,0,0,0,0
1,0,30,0,2013-05-25,2013-05-26,0,0,0,0,0,0,0,0
0,0,34,0,2013-05-26,2013-05-27,0,0,0,0,0,0,0,0
0,0,24,0,2013-05-27,2013-05-28,0,0,0,0,0,0,0,0
0,0,27,0,2013-05-28,2013-05-29,0,0,0,0,0,0,0,0
1,0,89,0,2013-05-29,2013-05-30,0,0,0,0,0,0,0,0
0,0,79,0,2013-05-30,2013-05-31,0,0,0,0,0,0,0,0
0,0,28,0,2013-05-31,2013-06-01,0,0,0,0,0,0,0,0
"
",,,,,,,,,,,,,
