"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
0,0,2,0,2014-08-01,2014-08-02,0,0,0,0,0,0,0,0
1,0,1,0,2014-08-02,2014-08-03,0,0,0,0,0,0,108,0
0,0,2,0,2014-08-03,2014-08-04,0,0,0,0,0,0,0,0
0,0,4,0,2014-08-04,2014-08-05,0,0,0,0,0,0,0,0
0,0,6,0,2014-08-06,2014-08-07,0,0,0,0,0,0,0,0
1,0,21,0,2014-08-07,2014-08-08,0,0,0,0,0,0,230,0
4,0,7,1,2014-08-09,2014-08-10,0,0,0,9,49,197,2133,0
0,0,5,0,2014-08-10,2014-08-11,0,0,0,0,0,0,0,0
1,0,31,0,2014-08-11,2014-08-12,0,0,0,30,40,40,130,0
1,0,5,1,2014-08-12,2014-08-13,0,0,0,99,107,107,108,0
1,0,14,1,2014-08-13,2014-08-14,0,0,0,98,85,85,86,0
2,0,3,1,2014-08-14,2014-08-15,0,0,0,99,313,626,758,0
0,0,4,0,2014-08-15,2014-08-16,0,0,0,0,0,0,0,0
0,0,1,0,2014-08-16,2014-08-17,0,0,0,0,0,0,0,0
0,0,3,0,2014-08-17,2014-08-18,0,0,0,0,0,0,0,0
2,0,38,1,2014-08-19,2014-08-20,0,0,0,52,56,113,215,0
2,0,22,1,2014-08-20,2014-08-21,0,0,0,99,114,229,316,0
1,0,1,0,2014-08-21,2014-08-22,0,0,0,99,1754,1754,1761,0
3,0,12,0,2014-08-22,2014-08-23,0,0,0,23,106,319,1362,0
0,0,2,0,2014-08-23,2014-08-24,0,0,0,0,0,0,0,0
0,0,2,0,2014-08-24,2014-08-25,0,0,0,0,0,0,0,0
0,0,4,0,2014-08-25,2014-08-26,0,0,0,0,0,0,0,0
0,0,5,0,2014-08-26,2014-08-27,0,0,0,0,0,0,0,0
0,0,13,0,2014-08-27,2014-08-28,0,0,0,0,0,0,0,0
0,0,10,0,2014-08-28,2014-08-29,0,0,0,0,0,0,0,0
0,0,5,0,2014-08-29,2014-08-30,0,0,0,0,0,0,0,0
0,0,3,0,2014-08-30,2014-08-31,0,0,0,0,0,0,0,0
0,0,3,0,2014-08-31,2014-09-01,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2014-08-05,2014-08-06,0,0,0,0,0,0
0,0,0,0,0,0,2014-08-08,2014-08-09,0,0,0,0,0,0
0,0,0,0,0,0,2014-08-18,2014-08-19,0,0,0,0,0,0
"
",,,,,,,,,,,,,
