"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
180,0,808,15,2019-09-01,2019-09-02,0,0,181,61,238,42934,84163,81
180,0,952,29,2019-09-02,2019-09-03,0,0,186,66,283,51003,85632,91
236,0,985,24,2019-09-03,2019-09-04,0,0,200,53,216,51197,126972,85
245,0,909,42,2019-09-04,2019-09-05,0,1,213,60,260,63919,125040,90
182,0,816,15,2019-09-05,2019-09-06,0,0,184,42,237,43141,113617,87
246,0,976,31,2019-09-06,2019-09-07,0,0,183,59,236,58201,116264,85
165,0,900,24,2019-09-07,2019-09-08,0,0,145,71,259,42895,74682,65
279,0,1126,34,2019-09-08,2019-09-09,0,0,169,67,318,89000,151710,85
249,0,1575,41,2019-09-09,2019-09-10,5,0,277,57,248,61964,125777,107
300,2,1340,41,2019-09-10,2019-09-11,0,0,225,57,251,75563,154779,107
164,0,1556,21,2019-09-11,2019-09-12,0,0,178,51,259,42525,91596,82
247,2,1004,34,2019-09-12,2019-09-13,0,0,201,61,253,62627,121653,90
228,0,960,53,2019-09-13,2019-09-14,1,0,181,60,260,59419,111255,78
192,0,899,29,2019-09-14,2019-09-15,0,0,146,58,248,47741,96547,66
271,0,1005,59,2019-09-15,2019-09-16,3,0,188,57,332,90103,166486,89
258,1,1116,42,2019-09-16,2019-09-17,0,0,187,62,283,73121,128789,83
262,2,1124,36,2019-09-17,2019-09-18,0,0,221,56,237,62325,126394,103
183,0,1046,30,2019-09-18,2019-09-19,0,0,190,61,263,48309,91041,84
173,0,862,22,2019-09-19,2019-09-20,0,0,173,61,254,43969,83669,75
203,1,832,37,2019-09-20,2019-09-21,0,0,165,55,275,55900,119220,70
203,0,839,47,2019-09-21,2019-09-22,3,0,151,61,282,57254,110620,68
222,0,872,32,2019-09-22,2019-09-23,0,0,200,59,233,51727,118591,88
203,0,928,29,2019-09-23,2019-09-24,0,0,200,61,251,51101,107790,84
236,0,1018,43,2019-09-24,2019-09-25,0,0,228,65,286,67497,116684,104
218,0,1014,41,2019-09-25,2019-09-26,0,0,177,66,276,60221,110283,81
163,0,1017,25,2019-09-26,2019-09-27,1,0,167,51,314,51227,113620,66
291,1,982,137,2019-09-27,2019-09-28,0,0,164,81,450,131180,170985,72
249,0,964,111,2019-09-28,2019-09-29,0,0,145,72,330,82293,126712,69
187,0,1033,45,2019-09-29,2019-09-30,5,0,163,63,308,57752,100836,79
274,6,1128,70,2019-09-30,2019-10-01,0,0,191,67,326,89473,151804,75
"
",,,,,,,,,,,,,
