"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
627,0,1585,117,2018-05-01,2018-05-02,1,0,0,64,253,158849,245941,0
887,3,2036,271,2018-05-02,2018-05-03,0,0,0,63,173,153589,242188,0
1000,0,2252,367,2018-05-03,2018-05-04,7,0,0,69,121,121593,175972,0
836,0,2008,300,2018-05-04,2018-05-05,1,0,0,63,153,128693,201329,0
670,0,1852,204,2018-05-05,2018-05-06,1,0,0,62,173,116251,185590,0
657,1,2919,157,2018-05-06,2018-05-07,5,0,0,69,234,153770,221436,0
460,2,2135,94,2018-05-07,2018-05-08,0,0,0,66,254,116847,176442,0
511,0,1998,139,2018-05-08,2018-05-09,1,0,0,66,222,113944,171882,0
495,1,1497,120,2018-05-09,2018-05-10,0,0,0,64,270,134086,208984,0
701,0,1987,175,2018-05-10,2018-05-11,1,0,0,68,265,186410,272468,0
567,0,1591,113,2018-05-11,2018-05-12,1,0,0,67,247,140358,208917,0
518,0,2186,116,2018-05-12,2018-05-13,6,0,0,72,292,151538,208982,0
499,0,1905,100,2018-05-13,2018-05-14,1,0,0,64,265,132405,204519,0
574,0,1984,161,2018-05-14,2018-05-15,0,0,0,65,228,131030,200213,0
389,2,1196,91,2018-05-15,2018-05-16,0,0,0,60,246,95899,158245,0
431,0,1410,115,2018-05-16,2018-05-17,0,0,0,67,277,119738,176325,0
530,2,1633,132,2018-05-17,2018-05-18,0,0,0,65,295,156435,238432,0
551,2,1601,106,2018-05-18,2018-05-19,0,0,0,70,297,164167,231300,0
458,0,1578,112,2018-05-19,2018-05-20,0,0,0,69,312,142920,204437,0
661,0,1701,138,2018-05-20,2018-05-21,0,0,0,68,312,206530,299403,0
386,0,1260,82,2018-05-21,2018-05-22,0,0,0,62,274,105982,168226,0
547,0,1760,124,2018-05-22,2018-05-23,2,0,0,70,346,189667,269843,0
533,7,2274,112,2018-05-23,2018-05-24,0,0,0,61,227,121062,195591,0
454,5,1622,105,2018-05-24,2018-05-25,0,0,0,71,259,117816,165666,0
411,1,1269,96,2018-05-25,2018-05-26,2,0,0,70,256,105578,149362,0
622,0,1582,138,2018-05-26,2018-05-27,3,0,0,72,323,201049,278677,0
653,0,1876,121,2018-05-27,2018-05-28,18,0,0,72,300,196131,272227,0
554,0,1682,103,2018-05-28,2018-05-29,0,0,0,68,274,152253,222034,0
377,0,1324,70,2018-05-29,2018-05-30,1,0,0,67,254,95804,142873,0
423,1,1302,64,2018-05-30,2018-05-31,0,0,0,65,246,104392,159807,0
427,0,1451,89,2018-05-31,2018-06-01,0,0,0,68,278,119085,175072,0
"
",,,,,,,,,,,,,
