plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
433,0.0,800.0,20.0,0.0,0.0,/videos/143933380,Open TV Presents: Southern for Pussy,283.0,2015-10-28T22:38:55+00:00,Array,464.0,46.0,94.0,40840.0,122724.0,298.0,SFP
423,0.0,1980.0,76.0,0.0,0.0,/videos/203924325,Brown Girls -- Episode 1,410.0,2017-02-14T00:43:46+00:00,Array,754.0,65.0,229.0,96972.0,173814.0,249.0,BG
316,0.0,1665.0,54.0,0.0,0.0,/videos/189724238,Brown Girls -- Trailer,141.0,2016-11-01T01:03:06+00:00,Array,717.0,61.0,65.0,20617.0,44834.0,217.0,BG
236,0.0,545.0,42.0,0.0,0.0,/videos/204010747,Brown Girls -- Episode 2,874.0,2017-02-14T14:31:09+00:00,Array,224.0,70.0,531.0,125372.0,206477.0,135.0,BG
161,0.0,309.0,40.0,0.0,0.0,/videos/204010519,Brown Girls -- Episode 3,636.0,2017-02-14T14:29:31+00:00,Array,155.0,81.0,449.0,72439.0,102548.0,98.0,BG
152,1.0,390.0,13.0,0.0,0.0,/videos/328313520,OTV Super Trailer - Cycle 4 2019,381.0,2019-04-04T00:14:48+00:00,Array,146.0,34.0,103.0,15682.0,58041.0,98.0,None
145,0.0,309.0,35.0,0.0,0.0,/videos/204008552,Brown Girls -- Episode 7,628.0,2017-02-14T14:15:33+00:00,Array,140.0,65.0,325.0,47214.0,91060.0,89.0,BG
132,2.0,333.0,32.0,0.0,0.0,/videos/204010226,Brown Girls -- Episode 4,770.0,2017-02-14T14:27:31+00:00,Array,150.0,76.0,534.0,70618.0,101758.0,78.0,BG
129,1.0,1057.0,12.0,0.0,0.0,/videos/275714604,the T - Episode 1,333.0,2018-06-18T21:13:09+00:00,Array,274.0,55.0,155.0,20074.0,42957.0,67.0,TT
121,0.0,1188.0,8.0,0.0,0.0,/videos/177571136,Been T/Here: Art is Essential,943.0,2016-08-04T15:36:07+00:00,Array,137.0,55.0,457.0,55416.0,114211.0,59.0,BTH
119,0.0,299.0,28.0,0.0,0.0,/videos/204009737,Brown Girls -- Episode 6,476.0,2017-02-14T14:24:17+00:00,Array,117.0,69.0,268.0,31916.0,56644.0,71.0,BG
100,0.0,273.0,24.0,0.0,0.0,/videos/204010026,Brown Girls -- Episode 5,508.0,2017-02-14T14:26:06+00:00,Array,121.0,80.0,355.0,35534.0,50800.0,62.0,BG
98,0.0,371.0,4.0,0.0,0.0,/videos/152854976,Full Out -- Episode 1,903.0,2016-01-24T03:25:13+00:00,Array,156.0,57.0,490.0,48110.0,88574.0,76.0,FO
88,0.0,206.0,13.0,0.0,0.0,/videos/264178030,F*ck Yes  -- Bucket List,260.0,2018-04-11T02:40:21+00:00,Array,102.0,71.0,166.0,14636.0,22880.0,68.0,FY
78,0.0,216.0,4.0,0.0,0.0,/videos/264178536,F*ck Yes -- Threesome,170.0,2018-04-11T02:46:13+00:00,Array,126.0,56.0,87.0,6818.0,13327.0,66.0,FY
78,0.0,591.0,8.0,1.0,0.0,/videos/206503473,BRUJOS -- Episode 1 -- Aries,492.0,2017-03-03T00:46:07+00:00,Array,243.0,55.0,252.0,19669.0,38447.0,61.0,B
77,0.0,177.0,4.0,0.0,0.0,/videos/329967024,The Right Swipe - Pilot,896.0,2019-04-12T06:42:16+00:00,Array,71.0,59.0,473.0,36476.0,69064.0,43.0,TRS
67,0.0,143.0,4.0,0.0,0.0,/videos/264178913,F*ck Yes -- Fingers,155.0,2018-04-11T02:50:04+00:00,Array,93.0,63.0,81.0,5482.0,10434.0,50.0,FY
60,0.0,245.0,5.0,0.0,0.0,/videos/328995867,Border'd - Pilot,880.0,2019-04-07T22:46:12+00:00,Array,62.0,64.0,546.0,32795.0,52858.0,29.0,BOR
56,0.0,98.0,4.0,0.0,0.0,/videos/375475586,The Right Swipe - Episode 2,867.0,2019-11-25T18:26:55+00:00,Array,50.0,71.0,528.0,29609.0,48599.0,36.0,TRS
53,0.0,117.0,7.0,0.0,0.0,/videos/262325137,VELVET - Episode 1,734.0,2018-03-29T03:41:27+00:00,Array,57.0,45.0,308.0,16374.0,38946.0,40.0,VT
53,0.0,73.0,6.0,0.0,0.0,/videos/174734258,Been T/Here -- Riot Grrrl Heart,721.0,2016-07-14T21:40:54+00:00,Array,33.0,72.0,502.0,26657.0,38213.0,27.0,BTH
