plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
10641,0.0,18390.0,5985.0,6.0,1.0,/videos/147648438,Full Out -- Season One Trailer,105.0,2015-12-02T21:48:19+00:00,Array,0.0,87.0,88.0,946550.0,1123130.0,0.0,FO
2336,0.0,4665.0,107.0,3.0,0.0,/videos/143933380,Open TV Presents: Southern for Pussy,283.0,2015-10-28T22:38:55+00:00,Array,0.0,223868871.0,394836263.0,922337510374.0,663886.0,0.0,SFP
467,0.0,960.0,45.0,1.0,0.0,/videos/146666127,Open TV Presents: Let Go and Let God,1376.0,2015-11-23T17:13:07+00:00,Array,0.0,47.0,485.0,226801.0,625372.0,0.0,LGLG
183,0.0,1789.0,47.0,1.0,0.0,/videos/121810540,"You're So Talented, Chapter One",341.0,2015-03-10T18:04:57+00:00,Array,0.0,76.0,238.0,43643.0,66202.0,0.0,YST
139,0.0,797.0,18.0,0.0,0.0,/videos/124357625,"You're So Talented, Season One -- Chapter Three",397.0,2015-04-07T22:23:45+00:00,Array,0.0,73.0,245.0,34186.0,55940.0,0.0,YST
110,0.0,173.0,15.0,0.0,0.0,/videos/123121866,"You're So Talented, Season One -- Chapter Two",459.0,2015-03-24T18:39:13+00:00,Array,0.0,80.0,296.0,32582.0,51408.0,0.0,YST
99,0.0,279.0,35.0,0.0,0.0,/videos/143466703,You're So Talented: Season 2 Official Trailer,119.0,2015-10-24T13:58:49+00:00,Array,0.0,79.0,80.0,7933.0,11748.0,0.0,YST
98,0.0,136.0,6.0,0.0,0.0,/videos/150002138,Futurewomen: The Quest -- Episode 3,842.0,2015-12-25T07:13:40+00:00,Array,0.0,61.0,199.0,19517.0,84606.0,0.0,FW
84,0.0,173.0,12.0,0.0,0.0,/videos/124849631,"You're So Talented, Season One -- Chapter Four",295.0,2015-04-13T17:46:12+00:00,Array,0.0,80.0,202.0,17037.0,24761.0,0.0,YST
84,0.0,175.0,15.0,0.0,0.0,/videos/129668799,"You're So Talented, Season One -- Chapter Seven",477.0,2015-06-03T14:13:37+00:00,Array,0.0,86.0,329.0,27711.0,41010.0,0.0,YST
69,0.0,129.0,14.0,0.0,0.0,/videos/126932556,"You're So Talented, Season One -- Chapter Five",292.0,2015-05-05T15:32:57+00:00,Array,0.0,87.0,222.0,15385.0,20138.0,0.0,YST
68,0.0,129.0,10.0,0.0,0.0,/videos/128319423,"You're So Talented, Season One -- Chapter Six",266.0,2015-05-19T23:04:13+00:00,Array,0.0,81.0,181.0,12333.0,18079.0,0.0,YST
64,1.0,152.0,7.0,0.0,0.0,/videos/134807299,Open TV Presents: Nupita Obama Creates Vogua,731.0,2015-07-29T04:46:53+00:00,Array,0.0,71.0,369.0,23662.0,46030.0,0.0,NOCV
37,0.0,72.0,30.0,0.0,0.0,/videos/145222124,Two Queens in Kitchen - Teaser One,16.0,2015-11-10T02:06:53+00:00,Array,0.0,93.0,13.0,492.0,590.0,0.0,None
