plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
37861,0.0,106602.0,9723.0,62.0,6.0,/videos/189724238,Brown Girls -- Trailer,141.0,2016-11-01T01:03:06+00:00,Array,0.0,81.0,110.0,4168409.0,5122789.0,0.0,BG
732,0.0,1399.0,17.0,1.0,0.0,/videos/143933380,Open TV Presents: Southern for Pussy,283.0,2015-10-28T22:38:55+00:00,Array,0.0,59.0,130.0,95403.0,161677.0,0.0,SFP
643,0.0,8292.0,59.0,1.0,0.0,/videos/152854976,Full Out -- Episode 1,903.0,2016-01-24T03:25:13+00:00,Array,0.0,61.0,506.0,325437.0,531974.0,0.0,FO
324,0.0,870.0,12.0,0.0,0.0,/videos/179804836,#2QIK: Roy Kinsey & MSMRJR (Part Two),667.0,2016-08-22T19:51:20+00:00,Array,0.0,15.0,77.0,25203.0,164092.0,0.0,None
286,0.0,1343.0,24.0,0.0,0.0,/videos/164959147,Open TV Presents: Lipstick City by Shea Couleé,556.0,2016-05-02T05:50:23+00:00,Array,0.0,67.0,365.0,104439.0,154842.0,0.0,LC
283,2.0,959.0,116.0,2.0,0.0,/videos/172604203,Brujos (2017) -- Teaser Scenes,202.0,2016-06-28T16:29:17+00:00,Array,0.0,77.0,149.0,42183.0,54403.0,0.0,B
270,0.0,925.0,88.0,0.0,0.0,/videos/147648438,Full Out -- Season One Trailer,105.0,2015-12-02T21:48:19+00:00,Array,0.0,72.0,68.0,18589.0,25493.0,0.0,FO
206,0.0,486.0,20.0,0.0,0.0,/videos/154795991,Full Out -- Episode 2,1349.0,2016-02-09T23:59:39+00:00,Array,0.0,77.0,964.0,198647.0,254961.0,0.0,FO
189,0.0,1259.0,16.0,1.0,0.0,/videos/158069617,Full Out -- Episode 4,566.0,2016-03-07T19:39:45+00:00,Array,0.0,77.0,433.0,81979.0,106023.0,0.0,FO
157,0.0,421.0,11.0,0.0,0.0,/videos/156421353,Full Out -- Episode 3,688.0,2016-02-23T15:24:23+00:00,Array,0.0,81.0,542.0,85112.0,104576.0,0.0,FO
147,0.0,322.0,36.0,1.0,0.0,/videos/121810540,"You're So Talented, Chapter One",341.0,2015-03-10T18:04:57+00:00,Array,0.0,68.0,229.0,33800.0,49104.0,0.0,YST
143,0.0,338.0,12.0,0.0,0.0,/videos/160115755,Full Out -- Episode 5,1202.0,2016-03-23T16:14:37+00:00,Array,0.0,71.0,865.0,123709.0,172027.0,0.0,FO
110,0.0,166.0,36.0,1.0,0.0,/videos/192070927,Saya Naomi - The Artists of Nupita Obama,525.0,2016-11-18T03:05:10+00:00,Array,0.0,71.0,367.0,40469.0,56805.0,0.0,None
95,0.0,125.0,3.0,0.0,0.0,/videos/194879518,Open TV Re-Presents: Outtakes -- Seasons 1-2,7276.0,2016-12-08T20:35:35+00:00,Array,0.0,27.0,1980.0,188107.0,691315.0,0.0,OTV|OTC|OT
92,0.0,128.0,16.0,0.0,0.0,/videos/123121866,"You're So Talented, Season One -- Chapter Two",459.0,2015-03-24T18:39:13+00:00,Array,0.0,74.0,325.0,29900.0,40015.0,0.0,YST
85,0.0,122.0,1.0,0.0,0.0,/videos/164162980,Bronx Cunt Tour -- Episode 5,1086.0,2016-04-25T21:07:23+00:00,Array,0.0,52.0,289.0,24604.0,46698.0,0.0,BCT
74,0.0,216.0,14.0,0.0,0.0,/videos/154200807,"You're So Talented, Season Two -- Chapter One",521.0,2016-02-04T16:44:07+00:00,Array,0.0,66.0,336.0,24885.0,37512.0,0.0,YST
68,0.0,87.0,16.0,0.0,0.0,/videos/124357625,"You're So Talented, Season One -- Chapter Three",397.0,2015-04-07T22:23:45+00:00,Array,0.0,79.0,300.0,20426.0,25805.0,0.0,YST
