Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - share,Project ID
357045034501999_395660753973760,https://www.facebook.com/weareotv/posts/395660753973760,"Who's ready for this performance? Opening night is Friday! Please do yourself a favor and try not to miss out on this spectacular event at Young Camelot! CC: The Good Night Ladies

#chicago #performance #art",Link,,,06/17/2015 05:34:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,None
357045034501999_395075810698921,https://www.facebook.com/weareotv/posts/395075810698921,"Did you know that all #OpenTV artists keep their intellectual property and distribution agreements are non-exclusive? 

This ensures that when we develop programs we are focusing on the artist’s voice and value first. Read more in the #OpenTVCommunity! 
http://www.weareopen.tv/open-tv-community//viewpoints-by-aj-christian-2",Link,,,06/17/2015 01:50:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
357045034501999_395069234032912,https://www.facebook.com/weareotv/posts/395069234032912,"Today seems like a great day to binge watch the entire first season of You're So Talented! Yes, that is indeed a fine idea! http://www.weareopen.tv/open-tv-originals/2015/2/5/youre-so-talented",Link,,,06/16/2015 01:59:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.0,1.0,YST
357045034501999_391016484438187,https://www.facebook.com/weareotv/posts/391016484438187,"Listen up y'all! #Indie TV is a thing that is here to stay! 
http://variety.com/2015/tv/news/hbo-picks-up-duplass-brothers-animated-series-animals-1201508177/",Link,,,06/09/2015 12:01:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_391016401104862,https://www.facebook.com/weareotv/posts/391016401104862,The truth has been uncovered. Read on: http://www.nytimes.com/2015/05/25/business/media/sony-terms-with-spotify-uncovered-in-contract.html?mabReward=A5&amp;action=click&amp;pgtype=Homepage&amp;region=CColumn&amp;module=Recommendation&amp;src=rechp&amp;WT.nav=RecEngine&amp;_r=0,Link,,,06/08/2015 01:02:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_391016361104866,https://www.facebook.com/weareotv/posts/391016361104866,"But really, what is it like to be young, black and British? 
http://www.bbc.com/news/magazine-32848057 via #BBCtrending",Link,,,06/05/2015 01:59:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_391015111104991,https://www.facebook.com/weareotv/posts/391015111104991,"You need to be watching this new series right now! 
http://www.ew.com/article/2015/05/31/amazon-this-is-me",Link,,,06/04/2015 02:44:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,None
357045034501999_391012494438586,https://www.facebook.com/weareotv/posts/391012494438586,"Did you miss You're So Talented's first season finale party? Don't fret, the VAM crew captured the entire event. Follow along at http://vamstudio.net/youre-so-talented-season-one-finale-party
And a special thanks to The Whistler for hosting and Mr. Swaguerrilla for providing those silky beats all night long.",Link,,,06/03/2015 01:23:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
357045034501999_391370254402810,https://www.facebook.com/weareotv/posts/391370254402810,"ATTENTION: Catch the season finale of You're So Talented exclusively on #OpenTV today! 

We've watched Bea struggle to make sense of it all over the past few months, NOW follow along as the story unfolds in close of #seasonone

https://vimeo.com/129668799 #webseries #indie #chicago",Link,,,06/03/2015 09:59:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.0,1.0,YST
357045034501999_391015657771603,https://www.facebook.com/weareotv/posts/391015657771603,"Mark your calendars: This free and public conference aims to bring  together artists, scholars, activists, administrators, and representatives of arts organizations in an effort to reconsider how we understand what constitutes an intervention within the black arts. Don't miss out! 
https://www.facebook.com/events/1066092616750111/",Link,,,06/02/2015 01:52:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_390904031116099,https://www.facebook.com/weareotv/posts/390904031116099,"This Wednesday You're So Talented concludes its first season with Chapter 7! Last night we celebrated at The Whistler with creator Sam Bailey, producer Samantha Lee, DJ Swaguerilla, the cast, crew and fans. Catch up with the show on our Vimeo Channel: https://vimeo.com/channels/youresotalented. And don't fret: we're already planning season two!",Photo,,,06/01/2015 09:53:55 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,1.0,YST
