Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_411958032344032,https://www.facebook.com/weareotv/posts/411958032344032,"Our friends over at You're So Talented are making more magic - this time, a short film! Support them by donating a few coins. Every little bit counts!",Link,,,08/12/2015 07:10:18 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,YST
357045034501999_411823822357453,https://www.facebook.com/weareotv/posts/411823822357453,"You make the caption, Queen....
CC: Saya Naomi",Photo,,,08/11/2015 03:54:38 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,None
357045034501999_411591662380669,https://www.facebook.com/weareotv/posts/411591662380669,"Did you miss the premiere of Honey Pot Performance's: Ma(s)king Her at Links Hall? 
Make sure to catch their work in progress at U of C this Saturday!",Link,,,08/11/2015 01:51:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,1.0,,,,,,,,,None
357045034501999_411797842360051,https://www.facebook.com/weareotv/posts/411797842360051,Thoughts?,Link,,,08/11/2015 01:45:15 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,None
357045034501999_411597185713450,https://www.facebook.com/weareotv/posts/411597185713450,Philip-Lorca diCorcia Depicts L.A.’s gritty glamour with trans artist     Zackary Drucker and model Daisy Clementine.,Link,,,08/11/2015 12:31:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2.0,,,,,,,,,,None
357045034501999_411592542380581,https://www.facebook.com/weareotv/posts/411592542380581,,Status,,,08/10/2015 05:49:52 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,
357045034501999_411591205714048,https://www.facebook.com/weareotv/posts/411591205714048,"Kiam Marcelo Junio is cooking up something beautiful for Salonathon this evening. See you there at 9pm. 
Get there early to for a special performance by the Eva B. Ross Foundation.",Status,,,08/10/2015 05:35:25 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,ANO
357045034501999_410487942491041,https://www.facebook.com/weareotv/videos/410487942491041/,"We're introducing PEPPA, the final character in #FUTUREWOMEN: An Alternate Reality Series.
This series is developed in collaboration with Honey Pot Performance, a group of women of color at the The University of Chicago, debuting online August 19 on OPEN TV - beta. 
#weareopentv #hpp2015 #chicago #performingarts",Video,,,08/07/2015 08:22:47 AM, ,731,233,0,1241,313,0,69,50,70,0,0,283,81,0,0,19,14,16,0,0,191,228,0,0,0,187253,30,8.0,9.0,43,9.0,14.0,27,27.0,,35,35.0,,,,FW|OTV
357045034501999_410352172504618,https://www.facebook.com/weareotv/posts/410352172504618:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,08/06/2015 05:28:27 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,None
357045034501999_410301092509726,https://www.facebook.com/weareotv/videos/410301092509726/,"Today we're introducing ISIS, the third character in #FUTUREWOMEN: An Alternate Reality Series! 

Honey Pot Performance will be debuting these characters and the beginnings of &quot;Ma(s)king Her&quot; this Saturday at Links Hall. 
Get your tickets to this magical performance!!! 
#hpp2015 #chicago #performanceart 

http://linkshall.ticketfly.com/…/900817-honey-pot-performan…",Video,,,08/06/2015 12:29:31 PM, ,1100,284,0,1787,369,0,52,40,66,0,0,236,86,0,0,17,5,7,0,0,174,198,0,0,0,262828,17,6.0,,25,7.0,,20,29.0,,23,42.0,,,,FW
357045034501999_410063935866775,https://www.facebook.com/weareotv/posts/410063935866775,"&quot;Look at this face; do you wanna taste?&quot; 
YAASSSS, Mister Wallace's single #WHOREMOAN&quot; is almost at 1K plays on SoundCloud.
Have you listened to the summer anthem for the Girls?",Link,,,08/05/2015 01:12:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,None
357045034501999_408013406071828,https://www.facebook.com/weareotv/posts/408013406071828,"HIP HOP needs to be MORE #queer. 

http://noisey.vice.com/en_dk/blog/hip-hops-come-out-of-the-closet-an-interview-with-cakes",Link,,,08/05/2015 10:46:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,None
357045034501999_410060835867085,https://www.facebook.com/weareotv/videos/410060835867085/,"WE'RE FINALLY RELEASING #FUTUREWOMEN, An Alternate Reality Series by Honey Pot Performance. 

Throughout the week we'll be revealing the characters whose development we are documenting at the The University of Chicago before the women perform the piece this weekend at Links Hall. 

Next up: the charismatic Felicia Holman performing her character ALTHEA. Is there some Althea inside of you?",Video,,,08/05/2015 09:46:30 AM, ,1442,197,0,2706,271,0,142,112,168,1,1,302,107,0,0,29,58,64,0,0,468,561,0,0,0,107407,64,11.0,8.0,91,20.0,17.0,37,88.0,1.0,42,125.0,1.0,1,1,FW
357045034501999_409627299243772,https://www.facebook.com/weareotv/posts/409627299243772,"Have you purchased your tickets to Honey Pot Productions' event this weekend at Links Hall?
Tons of friends from the community are joining forces for a spectacular event! Don't miss out! 
#hpp2015 #chicago #blackfeminists #futurewomen",Link,,,08/04/2015 11:54:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,FW
357045034501999_409833225889846,https://www.facebook.com/weareotv/videos/409833225889846/,"THIS WEEK: We're introducing the characters of #FUTUREWOMEN!

Open TV has been documenting the development of Honey Pot Performance's next dance-theater work, &quot;Ma(s)king Her,&quot; which explores black super-heroines who must survive oppressive environs. 

All of the characters have been developed with the help of artists and community members in open workshops at the University of Chicago. The first episode premieres August 19th @ 10AM! 
#opentvoriginals #hpp2015 #weareopentv #chicago",Video,,,08/04/2015 10:02:28 AM, ,959,169,0,1613,226,0,48,39,66,0,0,210,81,0,0,19,26,30,0,0,250,293,0,0,0,82582,23,7.0,1.0,43,7.0,1.0,12,31.0,2.0,14,50.0,2.0,,,FW|OTV
357045034501999_408013276071841,https://www.facebook.com/weareotv/posts/408013276071841,"&quot;I think there are many diverse Black communities,&quot; said Green, 30, a queer trans man who is partnered. &quot;Whenever I enter a space, or am engaging in building community, I take the time to listen, observe, be mindful of and honor that which existed before me. 
http://www.windycitymediagroup.com/lgbt/Queer-trans-man-leaves-impact-at-Northwestern-and-beyond/52252.html",Link,,,08/03/2015 09:45:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,None
