Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Project ID
357045034501999_627448004128366,https://www.facebook.com/weareotv/posts/627448004128366,Today at 5pm ! See you there 😘,Link,,,04/22/2017 10:12:54 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,None
357045034501999_627057230834110,https://www.facebook.com/weareotv/posts/627057230834110,"Brown Girls on Slate Represent! Creators Fatimah Asghar and Samantha Bailey talk representation with Aisha Harris.

&quot;You can't have a diverse room if you don't have diverse friends...We just had so many people who were interested, and we had people who were absolute masters at the thing that they did. We had a very small, tight budget, and we were able to make a really quality product. I think that speaks to the crew who worked on it. And it speaks to their level of expertise.&quot; - Fatimah

&quot;I feel like in a lot of other series when people of color are in it then they have to talk about it: 'this is a teachable moment.'...We didn't want that. We wanted to give these characters space to be flawed, and be nuanced, and have highs and have lows and all that stuff that white characters get to explore in their storylines but brown people are just tools to get a white person somewhere else. For Brown Girls it was them and only them. Any time we went to explore their storyline it was able to come from their lens.&quot; - Sam",Link,,,04/21/2017 11:36:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,,,,,,,,,BG|BG
357045034501999_627044700835363,https://www.facebook.com/weareotv/posts/627044700835363,"&quot;Signature Move also shines a small, but much-needed light on non-white queer love. That, in and of itself is rare, because like the majority of Hollywood stories, the lesbian genre is typically filled with white girls, long hair, and too much makeup. Rarely, if ever, do queer women get to see films starring multi-dimensional Middle Eastern and Latina characters. It's a refreshing reminder that queerness not only lives, but thrives in all cultures.&quot;

Watch a short sneak peak of Signature Move with us on Sunday 3-5pm at Open TV Presents: Reality is Not Good Enough w/ Jennifer Reeder. We also have the privilege of having the director, Jennifer Reeder, in the house to have a Q&amp;A! 

See you there ❤️",Link,,,04/21/2017 10:56:33 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,2.0,,,,,,,,RNGE|GE
357045034501999_626626394210527,https://www.facebook.com/weareotv/posts/626626394210527,The rumors are true. Come get you some.,Link,,,04/20/2017 12:31:40 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,None
357045034501999_626625244210642,https://www.facebook.com/weareotv/posts/626625244210642,"&quot;So what is it about Chicago that engenders such distinct storytelling and production methods? &quot;I think every city has people who want intersectional programming, it's just that Chicago has some institutions that will actually support it and make space for it as well,&quot; says Aymar Jean Christian founder of Open TV. 

Unlike the large and competitive atmospheres of New York and LA, there's a communal sense of support across Chicago. &quot;Open TV's done probably 30 events in the city, and we've never really had a difficult time getting organizations to give us that space so we can program,&quot; Christian says.&quot;

Chicago is magical and so is Ashley Ray. Thank you so much for this great piece. We love youuuu &lt;3",Link,,,04/20/2017 12:26:22 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,2.0,,,,,,,,OTV
357045034501999_626554660884367,https://www.facebook.com/weareotv/posts/626554660884367,"This Sunday from 3-5pm join us for Open TV Presents: Reality is Not Good Enough w/ Jennifer Reeder. 

We will be screening Reality is Not Good Enough by Rashayla Marie Brown and a sneak peak of Signature Move directed by Jennifer Reeder and starring Fawzia Mirza. 

On Signature Move: &quot;A new romance with Alma forces Zaynab to confront her relationship with her recently widowed mother who escapes to TV dramas and finding her daughter a husband. In this coming-of-age Muslim melodrama, Zaynab copes by taking up Lucha-style wrestling.&quot;",Link,,,04/20/2017 08:49:23 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,44,,,,,,,,,RNGE|GE|RNGE|GE
357045034501999_626174664255700,https://www.facebook.com/weareotv/posts/626174664255700,"Come thruuuuuuu Mister Wallace !!! 
💀💀💀

See more of this It Girl in our very first pilot in #OpenTVPresents, Nupita Obama Creates Vogua http://www.weareopen.tv/nupitaobama/",Link,,,04/19/2017 12:45:28 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,NOCV
357045034501999_626149944258172,https://www.facebook.com/weareotv/posts/626149944258172,"We are delighted to announce that all narrative (scripted) #OpenTVOriginals, most of #OpenTVPresents (minus Inertia) and Andre Perez's docu-series #BeenThereTV now feature closed captioning! Thank you Brown Girls fan Erik doing captioning on that program and Andre for doing Been T/Here!",Link,,,04/19/2017 11:51:34 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,1.0,,,,,,,,IN|BG|BTH
357045034501999_625830250956808,https://www.facebook.com/weareotv/posts/625830250956808,"The first academic article on Open TV has been published in the International Journal of Communication and it's FREE! Using his work on #OpenTVPresents, Aymar Jean Christian argues the method of television development can help scholars understand the value of representation in web/networked TV. The value of representation can be understood by tracking how culture performs through the organization of production and technologies of exhibition. Small-scale, local, queer and of color TV development offers the potential to see value where it has historically been hidden. 

According to the latest statistics from Google Scholar, IJoC ranks 5th among all Humanities, Literature &amp; Arts journals, and 7th among Communication journals.",Link,,,04/19/2017 07:00:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,13.0,,,,,,,,OTV
357045034501999_625731380966695,https://www.facebook.com/weareotv/posts/625731380966695,"We be out here. 

Come through to get a rare, inside look into how the platform works and how other folks can take our model to their own communities! 

Open Engagement 2017, Saturday April 22nd, 5-6:30pm at the Co-Prosperity Sphere!",Link,,,04/18/2017 03:25:56 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3.0,,,,,,,,None
