Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
357045034501999_775007402705758,https://www.facebook.com/weareotv/posts/775007402705758,"The Exquisite Corpse is now available to stream! Created by Abby Pierce and Cassidy SM.

Welcome to the &quot;The Exquisite Corpse,&quot; a DIY artists collective in Chicago comprised of five wildly different personalities; from their disciplines to their appetites, their personal histories to their dishwashing habits. It's a colorful and eccentric shared space, where the drive for generating radical and loving work is only mitigated by the fact that humans live there, with all the realities that come with that like: hygiene, personal space, and oh yeah, rent. #ExquisiteCorpseDIY",Link,,,03/31/2018 01:43:00 PM, ,214,214,0,246,246,0,11,9,11,0,0,228,197,0,0,11,0,0,0,0,0,0,0,0,0,0,4,,,4,,,2,7.0,,,2,9.0,,,,,,,TEX
357045034501999_775001832706315,https://www.facebook.com/weareotv/posts/775001832706315,"In Episode 2 of VELVET, an open mic teaches us that there is more to Demetra than meets the eye. 

Episodes 1-3 of Velvet Web Series are now available! 

When Demetra, a competitive professional, is forced to reevaluate her social life, she strikes up a friendship with Cymone, her seemingly much cooler coworker. As their worlds collide to form a brand new #squad, these five young Chicagoans begin to reevaluate their own identities as well as their relationships to each other. By weaving together public and private experiences, VELVET comedically explores the joys, vulnerabilities, and everything-in-between of making new friends in your mid-twenties. 

Created by Allie Dunn, Leo Gilbert, Dru Greenwood, Tyla Landry, Sydney Levison, Clifton Lyons, and Becky Schultz. 
#VELVETWebseries",Link,,,03/30/2018 03:22:00 PM, ,207,207,0,255,255,0,9,3,4,0,0,241,194,0,0,9,0,0,0,0,0,0,0,0,0,0,7,,,7,,,2,2.0,,,2,2.0,,,,,,,VT|VT|VT
357045034501999_774538136086018,https://www.facebook.com/weareotv/posts/774538136086018,"Part one of #ExquisiteCorpseDIY is now LIVE! The series is created by Abby Pierce and Cassidy SM.

Chicago based artist co-op, &quot;The Exquisite Corpse,&quot; has one week to come up with rent on threat of eviction. When the roommates decide to throw a huge &quot;let's make-rent&quot; arts fundraiser at the end of the week, all four roommates (Lee, Lizzard, Tre, and Sam) go into a frenzy trying to organize an event that will go down in DIY history. Amidst the chaos, Sam's yuppie sister, Dusty, seeks asylum from her quarter life-crisis spurred by on by the death of her dog Paul. Sam and Tre try to navigate the world of polyamory vs. monogamy, Lee begins a career as a drag queen, and Lizzard falls in love with an unexpected person. The Exquisite Corpse follows one week in the lives of these disparate personalities, with shifting perspectives, as they try to navigate love, family, art, and the acute need to make rent.

Sign up for the newsletter to be the first to know when more #ExquisiteCorpseDIY is available: weareo.tv/program",Link,,,03/29/2018 03:16:00 PM, ,191,191,0,247,247,0,21,18,25,0,0,233,177,0,0,21,0,0,0,0,0,0,0,0,0,0,6,,,6,,,12,8.0,,,16,9.0,,,,,,,TEX
357045034501999_774540406085791,https://www.facebook.com/weareotv/posts/774540406085791,The creators of Brown Girls are LIVE on Facebook now!,SharedVideo,,,03/29/2018 01:12:31 PM, ,196,196,0,285,285,0,10,8,11,0,0,265,179,0,0,9,0,0,0,0,64,67,0,0,0,2510134,4,,,4,,,8,,,,11,,,,,,,,BG
357045034501999_774499242756574,https://www.facebook.com/weareotv/posts/774499242756574,"Episodes 1-3 of Velvet Web Series are now available! 

#VELVETWebseries is a comedic and earnest new web series, based on a true story, exploring the ups and downs of making new friends in your twenties. The series is created by Allie Dunn, Leo Gilbert, Dru Greenwood, Tyla Cymone Landry, Sydney Levison, Clifton Lyons, and Becky Schultz.

#weareotv",Link,,,03/29/2018 10:44:58 AM, ,1396,1396,0,2024,2024,0,61,46,66,0,0,699,384,0,0,34,0,0,0,0,0,0,0,0,0,0,24,4.0,1.0,30,4.0,2.0,28,23.0,,,40,26.0,,,,,,,VT
357045034501999_774161339457031,https://www.facebook.com/weareotv/videos/774161339457031/,Q&amp;A with some of the Velvet Web Series  and #ExquisiteCorpsediy creators !,Video,,,03/28/2018 05:27:46 PM, ,1054,1054,0,1430,1430,0,59,44,81,0,0,746,517,0,0,38,4,4,0,0,295,341,0,0,0,1319616,19,4.0,3.0,23,4.0,3.0,29,1.0,26.0,,47,4.0,30.0,,,,,,VT
357045034501999_774079682798530,https://www.facebook.com/weareotv/posts/774079682798530,"TONIGHT! 

Doors at 6pm, screening begins at 6:30 with a Q&amp;A with the creators at 7:20. Don't forget to RSVP: https://bit.ly/2pDpXZ1 #OTVWednesdays

Welcome to the &quot;The Exquisite Corpse,&quot; a DIY artists collective in Chicago comprised of five wildly different personalities; from their disciplines to their appetites, their personal histories to their dishwashing habits. It's a colorful and eccentric shared space, where the drive for generating radical and loving work is only mitigated by the fact that humans live there, with all the realities that come with that like: hygiene, personal space, and oh yeah, rent. #ExquisiteCorpseDIY

When Demetra, a competitive professional, is forced to reevaluate her social life, she strikes up a friendship with Cymone, her seemingly much cooler coworker. As their worlds collide to form a brand new #squad, these five young Chicagoans begin to reevaluate their own identities as well as their relationships to each other. By weaving together public and private experiences, Velvet Web Series comedically explores the joys, vulnerabilities, and everything-in-betweens of making new friends in your mid-twenties.",Link,,,03/28/2018 01:03:22 PM, ,218,218,0,267,267,0,7,4,5,0,0,245,198,0,0,7,0,0,0,0,0,0,0,0,0,0,5,,,5,,,4,1.0,,,4,1.0,,,,,,,VT
357045034501999_773548912851607,https://www.facebook.com/weareotv/posts/773548912851607:0,OTV Presents: SEEDS &amp; Yogma Premiere,Photo,,,03/27/2018 10:45:26 AM, ,252,252,0,336,336,0,64,63,156,0,0,291,220,0,0,32,0,0,0,0,0,0,0,0,0,0,3,,1.0,3,,1.0,11,,,61.0,50,,,106.0,,,,,SDS|YMA
357045034501999_773152439557921,https://www.facebook.com/weareotv/posts/773152439557921,"What’s the T with OTV - 2017 Development Report

Get an exclusive look behind the curtain with this report from OTV founder and Head of Development Aymar Jean Christian. 
Dig in for the scoop on our rebrand, 2017 #OTVoriginals, 2017 #OTVpresents, all the T on that coin, where OTV showed out across the country and beyond, lessons learned and more.",Link,,,03/26/2018 03:50:24 PM, ,354,354,0,541,541,0,20,16,31,0,0,324,190,0,0,13,0,0,0,0,0,0,0,0,0,0,8,1.0,1.0,10,1.0,1.0,12,6.0,,,22,9.0,,,,,,,TT|TT
