Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_1010673799139116,https://www.facebook.com/weareotv/posts/1010673799139116:0,OTV presents: Damaged Goods &amp; FOBia,Photo,,,04/16/2019 10:35:18 AM, ,323,323,0,440,440,0,33,25,34,0,0,397,298,0,0,25,0,0,0,0,0,0,0,0,0,0,11,,,14,,,6,23.0,,,7,27.0,,,,,,,DG|FOB
357045034501999_1010648255808337,https://www.facebook.com/weareotv/posts/1010648255808337,"TOMORROW! 

We're premiering Border'd: A Web Series alongside the final two episodes of Low Strung at the Chicago Culture Couple. Be there! 

Screening is $FREE.99 w/ RSVP:  https://www.facebook.com/events/584843472000845/

#weareotv",SharedVideo,,,04/16/2019 09:32:31 AM, ,132,132,0,166,166,0,6,0,0,0,0,141,113,0,0,5,0,0,0,0,39,43,0,0,0,53353,6,,,6,,,,,,,,,,,,,,,BOR|LS
357045034501999_1008537046019458,https://www.facebook.com/weareotv/posts/1008537046019458,"The Right Swipe pilot drops tonight at 7pm! 

Tune in at weareo.tv/originals/therightswipe",Link,,,04/12/2019 03:30:37 PM, ,72,72,0,103,103,0,5,3,4,0,0,73,54,0,0,4,0,0,0,0,0,0,0,0,0,0,2,,1.0,2,,1.0,3,,1.0,,3,,1.0,,,,,,TRS
357045034501999_1008492846023878,https://www.facebook.com/weareotv/posts/1008492846023878,"Thank you Cherry Darling for another beautiful write-up of one of our series! 

&quot;FOBia Series may take a whimsical tone, but the content is authentic, and deals with realistic themes. 'As an artist it is our job to reflect the truth of the world we live in, and our current world is extremely political,' Priya Mohanty said.&quot;",Link,,,04/12/2019 01:34:28 PM, ,557,557,0,736,736,0,26,10,11,0,0,665,507,0,0,22,0,0,0,0,0,0,0,0,0,0,17,2.0,,20,2.0,,7,,3.0,,8,,3.0,,,,,,None
357045034501999_1007985219407974,https://www.facebook.com/weareotv/posts/1007985219407974,"We're throwing it back to #OTVtonight ! Thank you again to everyone that made that sold out night so special. We're so happy to be in season with y'all again and can't wait to see you at the next #OTVwednesday. Keep up with our events by signing up for the #otvprogram weareo.tv/program. 

Please tag yourselves! 
Photos by Ally Almore Photography
#tbt",Photo,,,04/11/2019 03:00:22 PM, ,112,112,0,153,153,0,5,2,4,0,0,124,92,0,0,4,0,0,0,0,0,0,0,0,0,0,3,,,3,,,2,1.0,,,3,1.0,,,,,,,None
357045034501999_1007962366076926,https://www.facebook.com/weareotv/posts/1007962366076926:0,#OTVTonight 2019 Official Photos,Photo,,,04/11/2019 02:00:06 PM, ,697,697,0,1023,1023,0,80,58,99,0,0,726,464,0,0,60,0,0,0,0,0,0,0,0,0,0,33,1.0,,65,1.0,,29,47.0,,,47,52.0,,,,,,,None
357045034501999_1007786982761131,https://www.facebook.com/weareotv/posts/1007786982761131,"Thank you Nina Metz in the Chicago Tribune for blessing Damaged Goods with this interview with Vincent Martell. She writes she was “won over” ... ultimately by the cats! And Vincent gives a character-by-character breakdown citing his inspirations:

“I will say that my intentions are to treat these as moments of time, specifically focusing on people of color...I wanted ‘Damaged Goods’ to be about following this group of friends, whether it’s seeing them going to the club, or working on their art, or seeing them in the workplace. I think it’s revolutionary itself to just see people of color living. As a gay black filmmaker, me creating art is revolutionary in itself.”",Link,,,04/11/2019 07:47:49 AM, ,804,804,0,1109,1109,0,66,35,39,0,0,999,706,0,0,66,0,0,0,0,0,0,0,0,0,0,38,2.0,,38,2.0,,20,,17.0,,22,,17.0,,,,,,DG|DG
357045034501999_1007308139475682,https://www.facebook.com/weareotv/posts/1007308139475682,TONIGHT!,Link,,,04/10/2019 11:11:47 AM, ,154,154,0,198,198,0,7,6,8,0,0,165,130,0,0,7,0,0,0,0,0,0,0,0,0,0,1,,,1,,,6,,1.0,,7,,1.0,,,,,,None
357045034501999_1007210209485475,https://www.facebook.com/weareotv/posts/1007210209485475,"Thank you Sadé Carpenter and RedEye/Chicago Tribune for giving The Right Swipe some love today! 

Co-writer and star Kyra Jones on why they wrote about dating apps: “Theoretically, online dating should be a level playing field because you all have your bio to write, you all get the same amount of pictures, you get the same shot at making a good first impression...But it's still not level because there are still so many identity issues that go into who is seen as desirable.”

Co-writer and star Juli Del Prete on embracing differences: “The more you listen, the more your boundaries for empathy expand.”",Link,,,04/10/2019 07:24:25 AM, ,2663,2663,0,4058,4058,0,276,110,152,1,1,1783,1122,0,0,122,0,0,0,0,0,0,0,0,0,0,185,17.0,9.0,203,17.0,10.0,83,,31.0,,119,,33.0,,1,,1,,TRS
357045034501999_1006285786244584,https://www.facebook.com/weareotv/posts/1006285786244584:0,#OTVTonight 2019 Preshow &amp; BTS,Photo,,,04/08/2019 02:48:00 PM, ,473,473,0,710,710,0,99,65,172,0,0,638,420,0,0,62,0,0,0,0,0,0,0,0,0,0,47,,5.0,62,,8.0,25,60.0,,,59,113.0,,,,,,,None
357045034501999_1006200386253124,https://www.facebook.com/weareotv/posts/1006200386253124,"A note from OTV founder and Head of Development, Aymar Jean Christian:

#OTVTonight is a wrap and my heart is full! Last week's screening was more proof that Chicago artists are making the best indie TV in the country and representing our diversity more than any channel in Hollywood -- in front of and behind the camera! 

Don't believe me? Come see for yourself as the projects premiere online and in Chicago during #OTVWednesdays this spring: http://facebook.com/weareotv/events

First I want to thank the Museum of Contemporary Art Chicago for hosting us for the third year in a row, and to January Parkos Arnall, Christy LeMaster and the entire public programs team. We're so very grateful to the Chicago Reader, Free Write Arts &amp; Literacy, Humboldt House, Mainstream Media, LLC, and People Who Care for partnering with us to make this happen. 

Eli Micky and Jenna Anast deserve a big round of applause for producing this event, with Elijah also designing our beautiful set! Many thanks to Chris Walker and Ahlaam Delange for providing essential support, and to Elsa Medhin, Dio Aldridge, Kinidee Lanier, Alex Advocaat, and Lena Elmeligy for their assistance in the production.

I'm so lucky to have had Hijo Pródigo back as our DJ who keeps us bopping during our pre-show, post-show and commercial breaks, and Karla Huffman-Barry gave me life during our trap yoga intermission! 

Finally, thank you to the teams behind The Right Swipe, Damaged Goods, FOBia Series, and #goodenoughtv and our esteemed moderators Sam Bailey, Fatimah Asghar, Isaac Gomez, and Eva Saha Daniel for bringing your brilliance to OTV!

The future of TV is intersectional! 

#weareotv",Photo,,,04/08/2019 10:54:01 AM, ,671,671,0,910,910,0,96,81,156,0,0,837,623,0,0,87,0,0,0,0,0,0,0,0,0,0,32,,3.0,34,3.0,3.0,48,57.0,,,96,60.0,,,,,,,TRS|DG|FOB
357045034501999_1006194836253679,https://www.facebook.com/weareotv/posts/1006194836253679:0,#OTVTonight 2019 Preshow &amp; BTS,Photo,,,04/08/2019 10:48:04 AM, ,268,268,0,358,358,0,63,48,78,0,0,230,174,0,0,33,0,0,0,0,0,0,0,0,0,0,18,1.0,,20,1.0,,9,47.0,,,12,66.0,,,,,,,None
357045034501999_1004995026373660,https://www.facebook.com/weareotv/posts/1004995026373660,#FOBiaseries premieres on Wednesday! Thank you WGN Radio!,Link,,,04/06/2019 07:47:49 AM, ,703,703,0,903,903,0,24,10,12,0,0,713,559,0,0,23,0,0,0,0,0,0,0,0,0,0,16,1.0,,16,1.0,,4,,7.0,,5,,7.0,,,,,,None
357045034501999_1004441379762358,https://www.facebook.com/weareotv/posts/1004441379762358,"Sam Bailey and Fatimah Asghar, co-creators of #BrownGirlsTV and executive producers of the upcoming Damaged Goods, talk about why director Vincent Martell's series matters to WBEZ! 

&quot;We want to do something that feels very real but also has a bit of surrealism and play, because we’re still experimenting as artists. So not only are we telling this story about a bunch of these different identities, but I also want to give these creators room to play in their filmmaking.&quot; - Sam Bailey

&quot;The idea of a web series and the digital platform offered a sense of freedom. It was a way in which we didn’t have to ask permission for the stories we were telling … and really, it was because there was no other way.&quot; - Fatimah Asghar",Link,,,04/05/2019 08:49:36 AM, ,4946,4946,0,7088,7088,0,407,186,231,2,2,1956,1262,0,0,206,0,0,0,0,0,0,0,0,0,0,260,31.0,4.0,273,31.0,6.0,156,,43.0,,186,,45.0,,,2.0,,2.0,DG
357045034501999_870555803297549,https://www.facebook.com/weareotv/videos/870555803297549/,"Tune in as we return to the Museum of Contemporary Art Chicago for the premiere of original pilots and series! In the style of The Late Show, watch new projects from the upcoming 2019 season, interviews with the creators, and questions and feedback from the audience with alternating live DJ sets in between.

**PROGRAM**

Each screening is followed by a feedback survey and 5 minute commercial break. 

26:00 minutes - INTRODUCTION

1) FOBia Series + Q&amp;A with Priya Mohanty &amp; Reshmi Hazra Rustebakke by Eva Saha Daniel

2) Damaged Goods + Q&amp;A with Vincent Martell by Sam Bailey &amp; Fatimah Asghar 

7PM - TRAP YOGA BREAK

3) The Right Swipe + Q&amp;A with Kyra Jones, Juli Del Prete, Justin Casselle by Isaac Gomez

4)  #GoodEnoughTV + Q&amp;A with Eli Micky by Aymar Jean Christian",Video,,,04/04/2019 03:46:09 PM, ,2252,2252,0,3687,3687,0,197,161,281,0,0,1409,764,0,0,83,0,0,0,0,544,751,0,0,66649,9268907,68,11.0,3.0,89,12.0,3.0,89,,,91.0,123,,,156.0,,,,,FOB|DG|TRS
357045034501999_1003495946523568,https://www.facebook.com/weareotv/posts/1003495946523568,"Thank you for having us WBEZ! Listen in to this interview with founder and Head of Development, Aymar Jean Christian. 

See you tomorrow at #OTVtonight  (Screening: Open TV Tonight). If you can't make it in person, tune into the livestream: www.opentelevision.live",,,,04/03/2019 02:26:27 PM, ,456,456,0,703,703,0,17,12,15,0,0,467,279,0,0,15,0,0,0,0,0,0,0,0,0,0,8,1.0,2.0,9,1.0,6.0,9,,5.0,,10,,5.0,,,,,,OTV
357045034501999_1003461173193712,https://www.facebook.com/weareotv/posts/1003461173193712,"Kyra Jones &amp; Juli Del Prete of The Right Swipe talk their most memorably (bad) dates, being intersectional in the world of online dating, and a quick five of must-avoids in your dating profile with Scapi Magazine! 

Their show premieres TOMORROW at Screening: Open TV Tonight!",Link,,,04/03/2019 12:43:50 PM, ,252,252,0,326,326,0,9,4,4,0,0,290,218,0,0,7,0,0,0,0,0,0,0,0,0,0,6,,,6,,,4,,,,4,,,,,,,,TRS|OTV
357045034501999_1002368969969599,https://www.facebook.com/weareotv/posts/1002368969969599,"Thank you Fox 32 Chicago for having us! We love this interview with our founder Aymar Jean Christian and FOBia Series creator and star Priya Mohanty. 

#OTVTonight is THIS THURSDAY Y'ALL! For more info check out the facebook event Screening: Open TV Tonight. 

If you can't make it or aren't in Chicago, follow along with the LIVEstream at www.opentelevision.live",Link,,,04/01/2019 12:42:47 PM, ,2204,2204,0,3485,3485,0,308,110,144,0,0,1789,1029,0,0,171,0,0,0,0,0,0,0,0,0,0,267,10.0,20.0,290,10.0,27.0,97,,21.0,,122,,22.0,,,,,,FOB|OTV
