Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - share,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,
357045034501999_381529565386879,https://www.facebook.com/weareotv/posts/381529565386879,"How do we feel about this? 

#media #performers #performanceart #digitalage 

http://www.tubefilter.com/2015/04/23/destorm-facebook-video-star/?mc_cid=7153a3d36b&amp;mc_eid=cd072f0530",Link,,,04/30/2015 12:57:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_381529325386903,https://www.facebook.com/weareotv/posts/381529325386903,"Join Honey Pot Performance and Aymar Jean Christian this evening at The Center for the Study of Race Politics and Culture for an open discussion that expands upon past and recent projects to provide insight into their multidisciplinary approach to performance-based work. https://www.facebook.com/events/941583979215248/944995635540749/

#chicago #performanceart #feminism #race",Link,,,04/29/2015 10:55:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_378964698976699,https://www.facebook.com/weareotv/posts/378964698976699,"Listen to the new song from Whatever Spectrum featured in &quot;Chapter Three&quot; of You're So Talented today: 
https://soundcloud.com/whatever-spectrum/dotdotdot",Link,,,04/24/2015 12:21:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,YST
357045034501999_378964095643426,https://www.facebook.com/weareotv/posts/378964095643426,"&quot;There are a lot of opportunities as long as you have a voice, as long as you have a passion, and it's something you really want to do, there’s space for it. -Carlo Lorenzo Garcia on suggestions for up and coming #directors in the #OpenTVCommunity. 

http://www.weareopen.tv/open-tv-community//spotlight-on-carlo-lorenzo-garica",Link,,,04/23/2015 10:18:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,10.0,None
357045034501999_379718502234652,https://www.facebook.com/weareotv/posts/379718502234652,"The 4th chapter of You're So Talented is live on Vimeo and ready for you to share, like and comment! Bea's friends help her have some fun, but in the end she gets a shock!",Link,,,04/22/2015 10:13:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,1.0,YST
357045034501999_376599569213212,https://www.facebook.com/weareotv/posts/376599569213212,"KollideTV is developing 'The Wire' spin-off that you've been patiently waiting for (W8:https://vimeo.com/41497348), check out their pitch and support their efforts!",Link,,,04/21/2015 01:33:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,1.0,None
357045034501999_378967488976420,https://www.facebook.com/weareotv/posts/378967488976420,"We're so thrilled by the opportunity to showcase &quot;Chapter Four&quot; of You're So Talented exclusively through Tribeca Film Festival. 

Tribeca N.O.W. is a program that aims to discover, highlight, and celebrate New Online from independent storytellers who choose to create and share their work in the online space. 

#TFF2015 #filmfestival #nyc 
Watch &quot;Chapter Four&quot; today: https://tribecafilm.com/online/tribecanow/youre-so-talented",Link,,,04/21/2015 09:37:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,YST
357045034501999_376599462546556,https://www.facebook.com/weareotv/posts/376599462546556,"Have you heard of #FUTUREWOMEN? This powerful performance is brought to you by Honey Pot Performance and documents women of color creating, through dialogues, story circles and performance workshops, a collective heroine who must adapt to oppressive environs and circumstances. Learn more about the project here:
 http://www.weareopen.tv/open-tv-originals/2015/2/5/future-women-an-alternate-reality-series

#womenofcolor #blackisbeautiful #feminism #performanceart",Link,,,04/20/2015 01:32:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,FW
357045034501999_376599829213186,https://www.facebook.com/weareotv/posts/376599829213186,"We approve of Erykah Badu releasing an 'All-Star Cast Black Western' Film on TIDAL and you should too: 
http://www.billboard.com/articles/columns/the-juice/6524218/erykah-badu-they-die-by-dawn-western-short-film-tidal?mobile_redirection=false

#blackisbeautful #art #film #western",Link,,,04/19/2015 11:35:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,None
357045034501999_376599599213209,https://www.facebook.com/weareotv/posts/376599599213209,#Chicago: How do we feel about this? http://www.chicagotribune.com/entertainment/chi-spike-lee-filming-in-chicago-chiraq-column.html,Link,,,04/17/2015 02:33:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_376600359213133,https://www.facebook.com/weareotv/posts/376600359213133,"Add this event to your calendar right now! JRV MAJESTY Productions presents &quot;Post-Q,&quot;  a performance series exploring the collaborative multidisciplinary works of 10 queer artists discussing the politics of a post-queer world.  
https://www.facebook.com/events/644999795601492/",Link,,,04/17/2015 01:50:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_376600065879829,https://www.facebook.com/weareotv/posts/376600065879829,"Make sure to keep up with our latest #Spotlight feature, Jeez Loueez- The Powerhouse of the Midwest over at: http://thejeezloueez.tumblr.com/",Link,,,04/17/2015 12:38:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2.0,None
357045034501999_376599889213180,https://www.facebook.com/weareotv/posts/376599889213180,Do yourself a favor and add this event to your agenda this weekend: https://www.facebook.com/events/658779797567055/,Link,,,04/16/2015 04:36:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_376601972546305,https://www.facebook.com/weareotv/posts/376601972546305,"&quot;Alternative networks like BLACK&amp;SEXY.TV, tello, Open TV, and others, give people who want to tell different stories (and the people who want to watch them) a chance to find each other.&quot; - Julie Keck
Thanks for such kind words PBS! http://www.pbs.org/mediashift/2015/04/the-line-blurs-between-web-series-and-tv-shows/",Link,,,04/16/2015 11:50:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,OTV
357045034501999_376592975880538,https://www.facebook.com/weareotv/posts/376592975880538,This video is GOLDEN! Faheem Majeed at the Museum of Contemporary Art Chicago!,Link,,,04/15/2015 03:51:23 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36106,2,,,None
357045034501999_376511895888646,https://www.facebook.com/weareotv/posts/376511895888646,"It's official! Our original series, You're So Talented is an honoree at this year's Tribeca Film Festival - part of its 2nd annual New Online Work program! &quot;Chapter 4&quot; will premiere exclusively on TribecaFilm.com. Congrats to the entire YST team! 
https://tribecafilm.com/online/tribecanow/youre-so-talented",Link,,,04/15/2015 10:00:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,2.0,YST
357045034501999_373694676170368,https://www.facebook.com/weareotv/posts/373694676170368,"Check out Samantha Bailey in this lovely interview/review of You're So Talented: &quot;Bailey is a nimble and strong performer, and not surprisingly, she inhabits the role with ease. Time constraints might limit how much we can learn about the other characters, but I think the audience will connect quickly with Bea and process right along with her.&quot; 
http://chicagoliterati.com/2015/04/04/samantha-bailey-of-youre-so-talented-talks-about-the-exciting-new-season-of-her-web-series-with-elena-colas/",Link,,,04/10/2015 02:32:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,YST
357045034501999_373694196170416,https://www.facebook.com/weareotv/posts/373694196170416,It's no secret. Blockbusters helps sell blockbusters. How can we change this narrative in #mainstream #media? http://www.polygon.com/2015/3/30/8314773/walking-dead-terminator-jurassic-park-halo-omg-frenzy,Link,,,04/09/2015 02:31:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_373694996170336,https://www.facebook.com/weareotv/posts/373694996170336,"More developments on #NUPITAOBAMACREATESVOGUA coming soon, till then... http://www.weareopen.tv/open-tv-presents/2015/2/5/nupita-obama-creates-vogua",Link,,,04/09/2015 01:33:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
357045034501999_374138806125955,https://www.facebook.com/weareotv/posts/374138806125955,"&quot;Chapter Three&quot; of You're So Talented is here. Dive in and explore: https://vimeo.com/opentv/youre-so-talented-chapter-three 
#makeyourown #indie #webseries",Link,,,04/08/2015 11:38:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,2.0,YST
357045034501999_373693912837111,https://www.facebook.com/weareotv/posts/373693912837111,"&quot;Chapter Three&quot; of You're So Talented is here. Dive in and explore: https://vimeo.com/opentv/youre-so-talented-chapter-three 
 #makeyourown #indie #webseries",Status,,,04/08/2015 10:05:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,3.0,YST
357045034501999_373692986170537,https://www.facebook.com/weareotv/posts/373692986170537,"&quot;The Unsung Legacy of #Black Characters on Soap Operas&quot; 

http://www.theatlantic.com/entertainment/archive/2015/03/soap-operas-the-forgotten-birthplace-of-complex-black-characters-on-tv/388907/

#blackisbeautiful #makeyourown #mainstream #media #indie",Link,,,04/07/2015 01:23:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
357045034501999_373693646170471,https://www.facebook.com/weareotv/posts/373693646170471,"We're premiering &quot;Chapter Three&quot; of You're So Talented tomorrow at noon. Till then, catch up with some of Sam Bailey's #Viewpoints published in the #OpenTVCommunity. 

http://www.weareopen.tv/open-tv-community//viewpoints-by-sam-bailey",Link,,,04/07/2015 12:27:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,YST
357045034501999_371696529703516,https://www.facebook.com/weareotv/posts/371696529703516,Based on your feedback we've published some new #content for you to explore in the #OpenTVCommunity. Thanks for your continued support and keep the feedback coming! We love hearing from you! Phttp://www.weareopen.tv/open-tv-community,Link,,,04/03/2015 02:56:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
