Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_672353946304438,https://www.facebook.com/weareotv/posts/672353946304438,"#Spotlight on Rashayla Marie Brown is now available! 

Learn more about #RealityIsNotGoodEnough.

&quot;I was very intrigued by the idea of making a reality inspired show that didn't really make a lot of sense or disrupted our typical notions of how that show should go, especially one featuring an all-Black female cast.&quot;",Link,,,07/31/2017 03:28:55 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,20.0,,,,,,,,,,None
357045034501999_671958256344007,https://www.facebook.com/weareotv/posts/671958256344007,"#Spotlight on Kayla Ginsburg and Ruby Western of Afternoon Snatch is now available! 

&quot;Ruby started asking herself how she could get over heartbreak and Kayla started asking herself what a lesbian feminist magazine would look like today, so when we started throwing around ideas it just came together: a breakup story set at a fictional feminist periodical--Snatch Magazine.&quot;",Link,,,07/30/2017 01:43:08 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,9.0,,,,,,,,,,AS
357045034501999_669882243218275,https://www.facebook.com/weareotv/posts/669882243218275,"&quot;Imagine the style and wit of &quot;Atlanta&quot; or &quot;Insecure,&quot; with a proudly queer cast and creative team&quot;

So excited to see more 195 Lewis!",,,,07/25/2017 02:56:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,11.0,,,,,,,,,,None
357045034501999_669354886604344,https://www.facebook.com/weareotv/posts/669354886604344,"You may have heard the news by now that Brown Girls may be coming to a little network called HBO. 

Check out this episode of the newly released, Two Queens in a Kitchen starring Brown Girls star, Rashaad Hall, and Kissing Walls star, Nathaniel Tenebaum. The two chat about keeping it real, respecting your self-worth and the importance of diversity within the arts while making overnight oats and strawberry bruschetta.",Link,,,07/24/2017 03:26:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,16.0,,,,,,,,,,TQIK
357045034501999_667419263464573,https://www.facebook.com/weareotv/posts/667419263464573,"Brown Girls co-creator Samantha Bailey discusses the burden of representation with Mic: 

“I would love the day when there’s all these shows that are diverse so that not every show has to have this burden of representing all of these things,” Bailey said. “I feel like that happens a lot — you have one show that’s diverse and so people want to see all of these things in it. It puts an unfair pressure on diverse stories because there are still so few.”

#browngirlstv #opentvoriginals #weareopentv",Link,,,07/20/2017 04:07:14 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,30.0,,,,,,,,,,BG
357045034501999_666910776848755,https://www.facebook.com/weareotv/posts/666910776848755,"Two Queens in a Kitchen Season Two is finally here!!! 

There are four episodes in season two featuring  Eli Micky, Aymar Jean Christian, Kristen Kaza, Cori Dave, Rashaad Hall, and Nathaniel Tenenbaum. 

There have been three exclusive preview showings, but now check out this NEVER before screened episode with Felicia Holman and Oli Rodriguez! 

Oli Rodriguez and Felicia Holman chat about how to develop transferable skills, the power of the young mind and how queer economies impact art and culture while making a Miami salad a fresh berry and shaved coconut salad.

#2QIK",Link,,,07/19/2017 01:39:30 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,23.0,1.0,,,,,,,,,TQIK
357045034501999_666452423561257,https://www.facebook.com/weareotv/videos/666452423561257/,"Two Queens in a Kitchen (#2QIK) Season Two is now available! 
Season two stars Eli Micky, Aymar Jean Christian, Cori Dave, Kristen Kaza, Rashaad Hall, Nathaniel Tenenbaum, Felicia Holman, and Oli Rodriguez!

Watch the full season here: https://vimeo.com/album/4686090/video/225923760
Created/Directed by Elijah McKinnon
Produced by VAM 
Original music by Hijo Pródigo",Video,,,07/18/2017 02:57:18 PM, ,5131,928,2591,7925,1521,3147,193,151,239,1,1,2700,998,1064,593,105,88,98,56,57,508,619,480,514,0,42473,4,77.0,14.0,4,91.0,15.0,25,128.0,13.0,25,199.0,13.0,1,1,TQIK
357045034501999_666406286899204,https://www.facebook.com/weareotv/posts/666406286899204,"🔥BOOM🔥 
We know y'all have been ravenous so here's a little nibble to tide you over! Enjoy episode one of Two Queens in a Kitchen- Season 2, directed by our own Eli Micky, exclusive preview only at Out Magazine. 

The second season explores topics like the power of intersectional feminism, how to seek moments of pleasure in hostile climates, and the inter-workings of pursuing joy as a marginalized person―over banana oatmeal chocolate chip cookies, tossed chicken salad, and strawberry bruschetta. It features Eli Micky, Aymar Jean Christian, Kristen Kaza, coriama couture, Rashaad Halll, Nathaniel Tenenbaum, Felicia Holman, and Oli Rodriguez. 

#2QIK
#weareopentv #OpenTVCommunity",Link,,,07/18/2017 12:29:29 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,10,55.0,1.0,,,,,,,,,TQIK
357045034501999_666369703569529,https://www.facebook.com/weareotv/videos/666369703569529/,Two Queens in a Kitchen Season Two is dropping any minute! Refresh your memory with season one. Episode one features our very own Aymar Jean Christian and Eli Micky!,Video,,,07/18/2017 10:50:35 AM, ,1410,1076,0,2433,1828,0,54,32,45,4,4,1284,703,0,0,31,5,5,0,0,212,233,0,0,0,472809,1,24.0,1.0,1,24.0,3.0,10,25.0,,10,34.0,,4,4,TQIK
