"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
2039,0,7707,231,vimeo.com,,2764,65,317,647727,1077910,990
1357,0,2198,223,weareo.tv,,506,61,311,422455,773257,389
980,0,1163,186,browngirlswebseries.com,,262,76,329,322789,513735,238
660,34,4212,113,unknown,,644,28,99,65573,338650,265
154,0,503,14,thetwebseries.com,,62,67,245,37730,61005,41
106,0,1833,8,templeu.instructure.com,,123,55,461,48894,99103,54
77,0,300,27,shoreline.instructure.com,,27,66,96,7427,11195,11
66,0,167,8,onemorelesbian.com,,56,65,308,20374,32890,46
59,0,60,4,youresotalented.net,,9,81,288,17030,23688,8
41,0,85,3,lesbianmedia.tv,,29,77,534,21924,28263,22
34,0,180,4,kingisafink.com,,30,84,346,11778,14439,11
33,0,293,0,justcallmeripley.com,,6,71,268,8846,12818,3
27,0,42,1,otvstudio.com,,21,38,1,27,182,18
26,0,39,1,bing.com,,24,40,202,5267,16566,21
23,0,340,1,indiewire.com,,133,40,111,2558,7659,12
16,0,18,2,derrickwoodsmorrow.com,,14,43,349,5589,14768,12
15,0,978,1,remezcla.com,,135,57,248,3720,6901,9
13,0,20,2,yastatic.net,,10,43,312,4063,9878,9
13,0,24,1,yahoo.com,,7,36,65,845,7895,4
12,0,22,0,smilefart.com,,7,24,14,170,1657,6
11,0,29,1,chicagofilmmakers.org,,9,61,321,3532,5745,8
10,0,81,4,theguardian.com,,37,90,128,1284,1420,9
10,0,790,2,reelchicago.com,,89,48,170,1706,3489,6
9,0,69,3,sonideni.com,,24,56,80,720,1278,7
9,0,160,0,teens.ms,,44,72,395,3561,4915,4
9,0,266,1,dewayneperkins.com,,45,77,72,649,1901,1
8,0,138,1,kemifatoba.com,,23,58,17,141,480,3
8,0,85,0,www-indiewire-com.cdn.ampproject.org,,28,54,113,908,2664,1
7,0,7,2,fullspectrumfeatures.com,,7,75,54,381,504,7
6,0,6,0,mateo-gonzales.com,,1,0,0,1,2396,1
6,0,7,0,freethebid.com,,5,32,60,364,1703,5
6,0,14,0,quarelifetv.com,,2,60,254,1529,3762,1
5,0,8,0,headmastermagazine.com,,5,57,530,2650,4615,4
5,0,66,4,thedailybeast.com,,8,94,117,585,617,4
5,0,22,0,thehavenweb.com,,3,30,194,974,3827,2
5,0,16,0,rashidakhanbeymiller.com,,5,46,634,3173,6880,2
5,0,158,1,avclub.com,,53,57,32,164,710,2
4,0,631,0,safe.txmblr.com,,58,27,122,488,1782,2
