"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
3567,0,11252,756,vimeo.com,,0,65,296,1058686,1869261,0
1685,2,4652,83,unknown,,0,12,23,39303,846391,0
1660,0,2266,339,browngirlswebseries.com,,0,81,372,617732,874720,0
951,0,1483,185,weareo.tv,,0,59,266,253287,491620,0
260,0,755,46,thetwebseries.com,,0,79,314,81787,108563,0
125,0,4839,9,indiewire.com,,0,44,117,14704,41625,0
108,0,119,0,vimeo-chromecast-prod.s3.amazonaws.com,,0,0,0,0,60358,0
86,0,225,7,onemorelesbian.com,,0,60,367,31579,55918,0
69,0,1182,5,seedsseries.com,,0,69,269,18590,29025,0
67,0,74,20,youresotalented.net,,0,85,339,22721,27558,0
59,0,1640,15,remezcla.com,,0,74,248,14663,20475,0
39,0,416,2,reclaimingyoursexy.com,,0,49,610,23802,53664,0
35,0,2623,1,instinctmagazine.com,,0,64,4,149,3290,0
34,0,48,5,bing.com,,0,77,199,6787,13035,0
31,0,70,7,lesbianmedia.tv,,0,65,394,12220,19438,0
21,0,497,0,ijoc.org,,0,66,52,1106,3773,0
20,0,177,2,kingisafink.com,,0,80,316,6332,9229,0
18,0,39,3,m.lesbianmedia.tv,,0,58,290,5230,10175,0
15,0,944,3,www-indiewire-com.cdn.ampproject.org,,0,49,121,1821,4995,0
11,0,50,1,velvetwebseries.com,,0,69,477,5252,8281,0
11,0,278,3,vice.com,,0,71,650,7158,9943,0
11,0,1329,0,safe.txmblr.com,,0,28,150,1658,6543,0
10,0,13,1,smilefart.com,,0,50,20,203,1232,0
9,0,9,3,samqbailey.com,,0,68,91,823,1209,0
7,0,168,1,cdn.embedly.com,,0,44,230,1612,3654,0
7,0,153,2,vod-server.wix.com,,0,65,185,1296,1993,0
7,0,16,1,yahoo.com,,0,85,219,1536,3050,0
6,0,109,1,shadowandact.com,,0,40,146,876,2140,0
6,0,9,0,twitter.com,,0,10,35,215,2320,0
6,0,232,0,fatimahasghar.com,,0,64,266,1596,2466,0
5,0,18,2,shoreline.instructure.com,,0,36,175,879,2382,0
5,0,14,2,midwestfilm.com,,0,86,61,306,355,0
5,0,84,0,candorarts.com,,0,71,461,2309,4025,0
4,0,173,0,teens.ms,,0,25,138,552,2302,0
4,0,36,0,theverge.com,,0,46,190,761,1644,0
4,0,15,0,lesbian-lips.com,,0,75,107,428,568,0
4,0,36,2,oembed.vice.com,,0,79,46,184,232,0
3,0,11,2,startrek.com,,0,94,99,299,318,0
3,0,6,0,chicagotribune.com,,0,1,6,18,1392,0
3,0,18,0,theaerogram.com,,0,0,0,0,1296,0
3,0,3,0,kimberlymichellevaughn.com,,0,72,265,797,1638,0
3,0,36,0,billboard.com,,0,49,124,372,759,0
3,0,8,0,yastatic.net,,0,54,160,480,1954,0
3,0,19,1,girlsinfilm.net,,0,68,386,1158,1697,0
3,0,25,0,queerfudanshi.com,,0,36,150,452,1233,0
3,0,31,1,buzzfeed.com,,0,71,204,613,852,0
2,0,64,0,indiegogo.com,,0,33,95,191,564,0
