"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
2614,0,6374,354,6,2,/videos/158069617,"Full Out -- Episode 4",566,2016-03-07T19:39:45+00:00,Array,0,81,431,1128619,1540054,0
1692,0,8083,247,2,0,/videos/152854976,"Full Out -- Episode 1",903,2016-01-24T03:25:13+00:00,Array,0,71,601,1017189,1576766,0
1616,0,3792,80,0,0,/videos/143933380,"Open TV Presents: Southern for Pussy",283,2015-10-28T22:38:55+00:00,Array,0,72,141,228935,479885,0
1498,0,5014,184,1,0,/videos/156421353,"Full Out -- Episode 3",688,2016-02-23T15:24:23+00:00,Array,0,75,513,768783,1098605,0
1362,0,4581,123,1,0,/videos/154795991,"Full Out -- Episode 2",1349,2016-02-09T23:59:39+00:00,Array,0,76,973,1325356,1930887,0
1147,0,2349,158,5,0,/videos/160115755,"Full Out -- Episode 5",1202,2016-03-23T16:14:37+00:00,Array,0,78,877,1006587,1389524,0
842,0,5613,401,2,0,/videos/147648438,"Full Out -- Season One Trailer",105,2015-12-02T21:48:19+00:00,Array,0,81,80,68064,92910,0
395,5,909,60,0,0,/videos/157297665,"You're So Talented, Season Two - Chapter Three",555,2016-03-01T15:34:39+00:00,Array,0,68,336,132957,241625,0
304,0,603,30,2,0,/videos/154200807,"You're So Talented, Season Two -- Chapter One",521,2016-02-04T16:44:07+00:00,Array,0,66,296,90254,170240,0
249,0,578,22,3,0,/videos/159158733,"You're So Talented, Season Two - Chapter Four",546,2016-03-16T02:57:07+00:00,Array,0,72,358,89346,143464,0
236,0,499,18,0,0,/videos/155827723,"You're So Talented, Season Two -- Chapter Two",668,2016-02-18T14:25:09+00:00,Array,0,68,390,92148,175684,0
172,0,628,41,2,0,/videos/121810540,"You're So Talented, Chapter One",341,2015-03-10T18:04:57+00:00,Array,0,77,244,42007,61331,0
102,0,193,24,0,0,/videos/123121866,"You're So Talented, Season One -- Chapter Two",459,2015-03-24T18:39:13+00:00,Array,0,79,333,34030,50490,0
101,1,344,25,0,0,/videos/143466703,"You're So Talented: Season 2 Official Trailer",119,2015-10-24T13:58:49+00:00,Array,0,63,67,6840,13512,0
92,0,171,10,0,0,/videos/160747140,"You're So Talented, Season Two - Chapter Five",520,2016-03-29T14:20:48+00:00,Array,0,68,341,31457,48321,0
86,0,181,2,0,0,/videos/134807299,"Open TV Presents: Nupita Obama Creates Vogua",731,2015-07-29T04:46:53+00:00,Array,0,48,323,27857,65737,0
83,0,162,16,0,0,/videos/124849631,"You're So Talented, Season One -- Chapter Four",295,2015-04-13T17:46:12+00:00,Array,0,75,196,16280,24447,0
66,0,100,10,0,0,/videos/124357625,"You're So Talented, Season One -- Chapter Three",397,2015-04-07T22:23:45+00:00,Array,0,79,304,20120,26982,0
54,0,120,22,0,0,/videos/160749794,"/Shift/ -- A Fundraiser for Honey Pot Performance",263,2016-03-29T14:37:47+00:00,Array,0,75,184,9965,13649,0
54,0,98,11,0,0,/videos/128319423,"You're So Talented, Season One -- Chapter Six",266,2015-05-19T23:04:13+00:00,Array,0,84,196,10609,14875,0
52,0,89,14,1,0,/videos/126932556,"You're So Talented, Season One -- Chapter Five",292,2015-05-05T15:32:57+00:00,Array,0,85,236,12295,17217,0
46,0,89,11,0,0,/videos/129668799,"You're So Talented, Season One -- Chapter Seven",477,2015-06-03T14:13:37+00:00,Array,0,91,437,20119,23841,0
39,0,146,2,0,0,/videos/146666127,"Open TV Presents: Let Go and Let God",1376,2015-11-23T17:13:07+00:00,Array,0,45,528,20608,72907,0
21,0,110,2,0,0,/videos/150002138,"Futurewomen: The Quest -- Episode 3",842,2015-12-25T07:13:40+00:00,Array,0,29,175,3682,45584,0
14,0,78,1,0,0,/videos/140615202,"Futurewomen, The Characters -- Episode 2",915,2015-09-28T02:11:20+00:00,Array,0,44,382,5349,21045,0
9,0,64,0,0,0,/videos/136670475,"Futurewomen, The Origins -- Episode 1",805,2015-08-18T23:17:14+00:00,Array,0,40,291,2625,11263,0
