"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
4720,7,21308,1004,desktop,0,64,320,1513842,2565407,0
3144,0,11304,395,mobile,1,44,228,717864,1860085,1
411,0,1333,86,tablet,0,67,314,129134,223907,0
195,0,222,1,tv,0,68,21,4261,85971,0
5,0,2773,0,unknown,0,86,241,1209,0,0
"
",,,,,,,,,,
