"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
38343,34,94021,11180,desktop,0,74,348,13373634,17933566,0
14680,0,62929,2470,mobile,0,68,311,4568575,6628431,0
2501,0,8727,713,tablet,0,77,373,933214,1205305,0
412,0,497,52,tv,0,82,108,44878,54313,0
120,0,2064,30,unknown,0,75,174,22360,0,0
"
",,,,,,,,,,
