"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
3609,17,30553,752,desktop,10764,67,317,1147620,1871301,1313
2512,0,29596,249,mobile,7921,56,209,525909,1136752,1150
282,0,363,7,tv,11,81,51,14577,103802,7
251,1,2544,38,tablet,649,66,244,61441,120524,104
8,0,2698,0,unknown,0,85,451,3608,0,0
"
",,,,,,,,,,
