"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
3437,31,17044,705,desktop,1,67,326,1121160,1851151,1
2534,0,13019,298,mobile,0,52,259,657755,1425553,0
347,0,1269,92,tablet,0,71,340,118114,214861,0
323,0,345,0,tv,0,47,11,3674,145010,0
2,0,2390,0,unknown,0,89,1214,2428,0,0
"
",,,,,,,,,,
