"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
548,0,1297,106,desktop,0,64,283,155374,282050,0
130,0,304,23,mobile,0,61,290,37720,71518,0
25,0,52,1,tablet,0,68,233,5847,11185,0
0,0,141,0,unknown,0,0,0,0,0,0
0,0,1,0,tv,0,0,0,0,0,0
"
",,,,,,,,,,
