"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
9353,6,25926,2379,desktop,0,73,330,3088817,4388949,0
5520,0,20180,664,mobile,0,57,198,1098244,2222101,0
679,0,2646,140,tablet,0,72,294,199850,298207,0
324,0,547,33,tv,0,78,96,31361,100752,0
17,0,2668,2,unknown,0,49,143,2433,7992,0
"
",,,,,,,,,,
