"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
14604,34,36776,2633,desktop,0,68,223,3271242,4799560,0
5188,0,18802,1010,mobile,0,46,196,1019777,2182490,0
946,0,2714,175,tablet,0,68,252,238712,346896,0
123,0,184,26,tv,0,70,192,23660,33634,0
102,0,2140,10,unknown,0,46,10,18438,0,0
"
",,,,,,,,,,
