"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
29803,47,62845,8222,desktop,0,74,350,10445983,13975709,0
12137,0,38214,2003,mobile,0,71,313,3808946,5364452,0
2012,0,4981,624,tablet,0,77,386,777061,1000743,0
418,0,470,42,tv,0,75,85,35629,47233,0
130,0,2012,30,unknown,0,79,289,49462,0,0
"
",,,,,,,,,,
