"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
3963,15,17478,916,desktop,3026,66,323,1283209,2120292,1223
2046,0,8726,221,mobile,1735,50,216,442522,1050461,914
403,0,1224,100,tablet,204,64,331,133395,241946,111
273,0,293,1,tv,11,59,17,4850,108633,5
4,0,2865,1,unknown,0,85,401,1605,0,0
"
",,,,,,,,,,
