"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
4908,8,19083,1167,desktop,0,67,296,1453227,2532049,0
3283,0,12352,325,mobile,0,50,148,487866,1580121,0
362,1,1613,98,tablet,0,72,281,102022,186314,0
304,0,339,1,tv,0,59,11,3362,142109,0
1,0,1878,0,unknown,0,63,180,180,284,0
"
",,,,,,,,,,
