"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
10130,27,30983,2750,desktop,0,72,297,3016673,4184675,0
6121,0,17432,1183,mobile,0,55,164,1007456,1828383,0
952,0,2263,241,tablet,0,73,269,256546,348358,0
193,0,331,52,tv,0,73,246,47606,64769,0
13,0,3447,6,unknown,0,90,430,5590,6198,0
"
",,,,,,,,,,
