"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
15635,37,45961,3260,desktop,0,65,205,3215831,4906026,0
8613,0,35999,899,mobile,0,50,124,1075355,2139664,0
886,0,3602,146,tablet,0,70,208,185002,262977,0
168,0,435,10,tv,0,61,51,8658,14056,0
26,0,2756,1,unknown,0,77,57,1487,1923,0
"
",,,,,,,,,,
