Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,
357045034501999_595744787298688,https://www.facebook.com/weareotv/posts/595744787298688,"Three hours until the premiere of #BrownGirlsTV, creator Fatimah Asghar talks about the importance of representation behind the camera: &quot;I think that diversity in the crew is incredibly important. The crew controls the mechanics of how the show is shot and seen. And when I worked in theater, even if there was a racially diverse show onstage, that diversity was rarely represented by the crew. The excuse I heard over and over again was, “Oh we can’t find talented enough people from diverse backgrounds.” That’s just completely false. What we wanted to do was create an amazing crew, all masters in their own craft, on this show. We wanted to have a crew that reflected the diversity of the cast and story, as well as the people creating art from various communities in Chicago. And so we did. And I think it’s a real testament to how amazing the crew is that they were able to work on a limited budget to create such a high-end project.&quot;",Link,,,02/15/2017 03:00:46 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,None
357045034501999_595697323970101,https://www.facebook.com/weareotv/posts/595697323970101,"Warning: this article contains some small spoilers but is a very thoughtful and in depth piece on #browngirlsTV. Thank you Jezebel and Lakshmi Ramgopal!

&quot;Brown Girls uses speech as a prism through which visibility and acceptance are refracted. Crucially, it identifies—and sometimes elides—the boundaries between self-love and one’s place among friends and family. When Leila speaks to her aunt, her voice bears the telltale accent that South Asian Americans reserve for conversations with immigrant relatives and family friends. It reemerges when she tries to convince Mussarat that she knows how to make dhal and roti, then vanishes in the company of Patricia and their friend Victor, who watch in horror as she clocks her ex’s new girlfriend in the face. This code-switching allows Leila to frame and reframe her identity as she moves between relationships and communities. Sometimes subtle and often awkward, this reframing allows both her and Patricia to achieve a deeper knowledge of themselves and their communities.&quot;",Link,,,02/15/2017 01:06:46 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,1.0,,,,,,None
357045034501999_595633333976500,https://www.facebook.com/weareotv/posts/595633333976500:0,"Tonight we are kicking off our first installment of #OpenTVWednesdays with the Brown Girls Release Party at the Chicago Art Department at 6pm!

#OpenTVWednesdays is a series of premieres in our second cycle of programming that is all original content made for us by us.

#BrownGirlsTV is an intimate story of the friendship between two women of color. While the two women come from completely different backgrounds, their friendship is ultimately what they lean on to get through the messiness of their mid-twenties. 
-
-
Next Wednesday, February 22nd, join us for the Afternoon Snatch Premiere at the Chicago Cultural Center at 6pm, followed by an after party at the Chicago Athletic Association Hotel.

Afternoon Snatch is an unapologetically queer web comedy about heartbreak and the importance of community. 
-
-
Then the following Wednesday, March 1st, we will be hosting the Brujos Chicago Premiere at the Chicago Cultural Center at 6pm followed by an after party at Club Kaliente. 

Brujos is a queer-of-color, radically politicized web series following four gay Latino doctoral candidates-- that are also witches. They navigate magic, sexuality, and surviving a witch-hunt led by a secret society of white heteronormative male descendants of the first new world colonizers. 

After the premieres, all of the web series will be available for viewing on their channel pages:

weareopen.tv/open-tv-originals/browngirls
weareopen.tv/open-tv-originals/afternoonsnatch
weareopen.tv/open-tv-originals/brujos",Photo,,,02/15/2017 10:54:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,1.0,,,,,,BG|AS|AS|B|B
357045034501999_595582943981539,https://www.facebook.com/weareotv/posts/595582943981539,"The day is finally here! The Brown Girls Release Party is tonight at 6pm at the Chicago Art Department in partnership with amfm. The event WILL hit capacity and we don't want to turn you away so please be on time fam. 

The event is FREE and there is no RSVP necessary, but reminder that there will be a ca$h bar and multiple vendors so bring your coins!

Brown Girls is a new web series by Fatimah Asghar that follows Leila, a South Asian-American writer just now owning her queerness and her best friend Patricia, a sex-positive Black-American musician who is struggling to commit to anything: job, art and relationships. While the two women come from completely different backgrounds, their friendship is ultimately what they lean on to get through the messiness of their mid-twenties.

Watch the Brown Girls trailer in the comments section.",Status,,,02/15/2017 09:00:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1.0,,,,,BG|BG|BG
357045034501999_595581480648352,https://www.facebook.com/weareotv/posts/595581480648352,"Surprise! We are premiering the first episode of #BrownGirlsTV exclusively on ELLE Magazine (US)! Click to watch the episode and read the beautiful story by the incomparable Brittany Julious, who writes: &quot;Brown Girls is quietly breaking stereotypes about what it means to be a young woman of color: by putting the charismatic, independent, individual Leila and Patricia front and center, and encouraging us to look.&quot;",Link,,,02/15/2017 08:11:46 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,17.0,,,,,,None
357045034501999_595290320677468,https://www.facebook.com/weareotv/posts/595290320677468,"Check out this interview with Nabila Hossain and Sonia Denis of Brown Girls ! See you tomorrow at the Brown Girls Release Party. 

#BrownGirlsTV",Link,,,02/14/2017 05:03:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,BG|BG
357045034501999_595201557353011,https://www.facebook.com/weareotv/posts/595201557353011,"We are ONE day away from the Brown Girls Release Party and the world premiere of Brown Girls! 

If you can't make it to the Chicago Art Department tomorrow and/or are in a different city, check out the Brown Girls twitter @BGWebseries for extensive information on the other screenings. Atlanta, Miami, and Montreal were all added as recently as yesterday!

If you can't make them, follow @eveewing as she live tweets the premiere and join in on the conversation using #browngirlstv. Tune into http://www.weareopen.tv/browngirlstv. 

Reminders: get there EARLY ! The love is real and it's definitely going to fill up so make sure you slide in, because once we hit capacity, the doors will close. 

Bring $$ for the cash bar and vendors like Jasmine Alexandria Barber who will be doing tarot readings! See you soon &lt;3",Photo,,,02/14/2017 11:41:49 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,1.0,,,,,,BG|BG|BG
357045034501999_595188437354323,https://www.facebook.com/weareotv/posts/595188437354323,"This is tonight y'all! Instead of spending money this v-day, learn how to make some. Gain invaluable insight from Julie Keck of Seed&amp;Spark. This workshop is dedicated to connecting filmmakers with their audience.",Link,,,02/14/2017 10:57:54 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,1.0,,,,,None
357045034501999_594812500725250,https://www.facebook.com/weareotv/posts/594812500725250,"&quot;Writing this came out of seeing my friends at Black Lives Matter protests, fighting tirelessly against this machine you feel like you can’t win against. I think the whole mission of writing this is providing joy — seeing a room full of my friends laughing for an hour. Having joy is what arms you to fight.”

FUBU. Thank you to The FADER for this write up! See you at the Brown Girls Release Party.",Link,,,02/13/2017 05:40:35 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,3.0,,,,,,BG
357045034501999_594650227408144,https://www.facebook.com/weareotv/posts/594650227408144,"Chicago magazine profiles #BrownGirlsTV director &amp; producer Samantha Bailey: “These characters rarely get to exist on their own terms... We fight, we mess up, we fuck stupid dudes. Just let us be normal, you know?”

Bailey also curates 4 web series you should know including Zak Payne's Kissing Walls (part of #OpenTVRePresents!), BLACK&amp;SEXY.TV's #TheCouple, cecile emeke's #AckeeAndSaltfish and Amelia Umuhire's #Polyglot. Check this out!",Link,,,02/13/2017 02:13:52 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,1.0,1.0,,,,,None
357045034501999_594497650756735,https://www.facebook.com/weareotv/posts/594497650756735:0,"If you can't make it to the Brown Girls Release Party or any of the other screenings, follow the conversation online!

Essayist, poet, and sociologist Eve Ewing (@eveewing) will be hosting and livetweeting with #BrownGirlsTV, don't forget to follow @bgwebseries and @weareopentv !",Photo,,,02/13/2017 11:28:40 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,BG
357045034501999_593614854178348,https://www.facebook.com/weareotv/posts/593614854178348:0,"We put our love for Brown Girls on top. We are also obsessed with this tender photo of creator Fatimah Asghar and their best friend and musical director for the show, Jamila Woods.

Thank you to the Chicago Reader for this piece ! Grab a copy to read on and come to the #browngirlstv Release Party Wednesday, Feb 15th at the Chicago Art Department at 6pm! Link to event in comments.",Photo,,,02/11/2017 01:36:20 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,1.0,1.0,,,,,BG
357045034501999_593614330845067,https://www.facebook.com/weareotv/posts/593614330845067,"#BrownGirlsTV on NPR's Code Switch podcast: Creator Fatimah Asghar says of the characters in Brown Girls: &quot;They are struggling and they are messy. They can't get a grip on their lives sometimes. But at the end of the day, their love for each other and the joy in their lives and communities keeps them going....I think that joy can be a real savior and real weapon.&quot;",Link,,,02/11/2017 01:33:21 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5.0,,,,,,CS|BG
357045034501999_593171974222636,https://www.facebook.com/weareotv/posts/593171974222636,"Admission is free but make sure you bring your coins. We will have goods from Mashallah, Bronze Chicago, and Sugar and Scrub, and tarot readings from Jasmine Alexandria Barber at the Brown Girls Release Party! 

We're less than a week away from the first installment in our #opentvwednesdays series of premieres. Wouldn't want to kick it off any other way.",Link,,,02/10/2017 12:20:57 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,1.0,,,,,BG
357045034501999_592775804262253,https://www.facebook.com/weareotv/posts/592775804262253,"Thank you BET for the shout out!

Brown Girls premieres on February 15th. If you're in Chicago, head down to the Brown Girls Release Party at Chicago Art Department for a screening of the entire first season, performances from muse and musical director Jamila Woods, co-star Sonia Denis, co-star Nabila Hossain, Swati Tawari, Lisa Mishra Music, and Po'Chop.  

There are screenings happening in major cities all over the world, check out the Brown Girls page for more details on other release parties and follow #browngirlsTV to be a part of the conversation. 

Brown Girls will be available exclusively on weareopen.tv",SharedVideo,,,02/09/2017 11:54:12 AM, ,319,118,0,535,210,0,36,28,46,0,0,438,239,0,0,34,0,0,0,0,63,69,0,0,0,141502,12,12,,,28,2.0,44,2.0,BG|BG|BG|BG
357045034501999_592757817597385,https://www.facebook.com/weareotv/posts/592757817597385,The Chicago Tribune recognizes the innovation of #BrownGirlsTV!,Link,,,02/09/2017 10:28:37 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,24.0,,,,,,None
357045034501999_592388627634304,https://www.facebook.com/weareotv/posts/592388627634304,"Brown Girls screenings will be happening across the WORLD y'all. We international. 

If you're in Chicago, come through to the Brown Girls Release Party at the Chicago Art Department on February 15th. We're officially one week away, don't sleep!",Photo,,,02/08/2017 12:52:06 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,,,,,,BG|BG
357045034501999_592003787672788,https://www.facebook.com/weareotv/posts/592003787672788,"#ICYMI check out the official recap of #opentvtonight from the Museum of Contemporary Art Chicago! It features interviews with Ricardo Gamboa and Reshmi Hazra Rustebakke of Brujos, Minita Gandhi and Hannah Welever of Brown Girls, and Kayla Ginsburg and Ruby Western of Afternoon Snatch. 

Stay tuned for the Brown Girls Release Party on February 15th at the Chicago Art Department, the first in our #opentvwednesdays series of premieres. Shondaland may have Thursdays but we gotchu on hump day. Let us be the best part of your week.",Link,,,02/07/2017 01:24:15 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,1.0,,,,,,B|BG|AS|BG
357045034501999_591581851048315,https://www.facebook.com/weareotv/posts/591581851048315,Mark your calendars for the Brown Girls Release Party on February 15th! That's next Wednesday y'all.,Link,,,02/06/2017 11:10:17 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,1.0,,,,,,BG
357045034501999_591572481049252,https://www.facebook.com/weareotv/posts/591572481049252,"Thank you to Museum of Contemporary Art Chicago for hosting this cute guest spot on your blog! Read on for interviews with the creators of Afternoon Snatch and Brown Girls. 

We've got an exciting season full of premieres, catch us at the Brown Girls Release Party on Feb 15th and the Afternoon Snatch Premiere on Feb 22nd. See you soon!",Link,,,02/06/2017 10:31:23 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2,,,,,,,AS|BG|BG|AS
357045034501999_591566837716483,https://www.facebook.com/weareotv/posts/591566837716483,"So you came to #OpenTVTonight and got hype for Afternoon Snatch and then realized it wasn't out yet.

Never fear, join us for the Afternoon Snatch Premiere at the beautiful Claudia Cassidy Theater in the Chicago Cultural Center on February 22nd! We will open the evening with a dazzling performance by Darling Squire, screen the entire first season, and close out that portion of the night with a Q&amp;A from the creators Kayla Ginsburg and Ruby Western. Then we will head over to the Chicago Athletic Association Hotel for the after party!

Watch their Q&amp;A from #OpenTVTonight below and don't forget to mark your calendars for the Afternoon Snatch Premiere.",SharedVideo,,,02/06/2017 10:05:15 AM, ,56,43,0,85,67,0,2,2,2,0,0,66,42,0,0,2,0,0,0,0,16,18,0,0,0,661328,2,2,,,2,,2,,AS|AS|AS
357045034501999_591193731087127,https://www.facebook.com/weareotv/posts/591193731087127,"Couldn't make it to #opentvtonight? Join us for the official world premiere of Afternoon Snatch and binge on the entire first season with us at the Chicago Cultural Center on February 22nd featuring a special live performance from Darling Squire. 

Don't forget to follow us into the night at the after party at the Chicago Athletic Association Hotel starting at 8:00pm!",Link,,,02/05/2017 01:59:54 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,AS
357045034501999_590481024491731,https://www.facebook.com/weareotv/posts/590481024491731,"Thank you to Brianna Wellen and Chicago Reader for one of the most in depth Brown Girls interviews to date! 

&quot;Fatimah Asghar and Jamila Woods met as freshmen at Brown University in 2007 after connecting on Facebook through a shared interest in poetry. They instantly hit it off, attending on-campus events together, studying together, and eventually moving in together. While living with two other college friends in Providence, they built a meaningful support system. After graduation, the pair moved to Woods's hometown, Chicago, to explore the city's artistic community. That time in their lives and the bond they formed is at the center of Brown Girls.&quot;

To learn more about the love story behind Brown Girls and their intentional hiring and casting process, read on below.",Link,,,02/04/2017 11:52:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,1.0,,,,,,BG|BG
357045034501999_589381941268306,https://www.facebook.com/weareotv/posts/589381941268306,"Y'all have a good time at #OpenTVTonight? Want more greatness? 

Join us for the Brown Girls release party where you can ask creator Fatimah Asghar and director Samantha Bailey all the questions you've been saving from the Q&amp;A. 

This is just the first release party in a series of premieres we have lined up for you. Next up is Afternoon Snatch February 22nd at the Chicago Cultural Center and then we've got Brujos comin in hot on March 1st. 

Like our page and keep an eye out for the event pages! Shonda may have Thursdays but OPEN TV - beta owns Wednesdays. See you soon 😘",Link,,,02/02/2017 02:00:08 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,,,,,,BG|AS|B|OTV
357045034501999_589372271269273,https://www.facebook.com/weareotv/posts/589372271269273,"Congratulations Shea Couleé, creator, writer and star of #OpenTVPresents: #LipstickCity, on being cast in season 9 of RuPaul's Drag Race! The competition better watch out. #SLAY",Photo,,,02/02/2017 01:28:39 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,,,,,,,None
357045034501999_589326724607161,https://www.facebook.com/weareotv/posts/589326724607161,"We are SO incredibly grateful and still reeling from the beauty and glory that was #OpenTVTonight at the Museum of Contemporary Art Chicago. 

HUGE thank yous and hugs to everyone that made Tuesday possible. 

Shout out to Humboldt House for the fly set, thank you to Letherbee for keeping the turn up cute and Free Write Arts &amp; Literacy and Hijo Pródigo for keeping the beats tasty all night. Thank you Bradley Murray for documenting this important step in our journey. 

Big ups to our sponsors Northwestern University, Project RSP, and #peoplewhocare 

Thank you to the brilliant minds that worked on Afternoon Snatch, Brown Girls, and Brujos. Special thank you to Ruby Western and Kayla Ginsburg, Hannah Welever and Minita Gandhi, and Reshmi Hazra Rustebakke and Ricardo Gamboa for your amazing interviews that truly made that night extra special. 

If you missed the event, all of the interviews were livestreamed and saved so check out our video section!

Thank you to our beautiful #opentvcommunity that PACKED the house!! We were FULL and the love was very much in the air. 

Thank you to Party Noire for making the after kiki SO CUTE as always and filling Reunion Chicago to the brim. It was lit. Thank you to our hard working PAs that keep our lives together. Aisha, Croak Proveda, and Monet you are seen and appreciated. 

We love you all! Stay tuned because this is just the beginning.",Photo,,,02/02/2017 11:19:14 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,3.0,,,,,,AS|BG|B
357045034501999_588795047993662,https://www.facebook.com/weareotv/posts/588795047993662,"Fatimah Asghar tells Brown Girl Magazine: &quot;I view art as deeply political, and as a way of resistance.&quot;",Link,,,02/01/2017 06:48:56 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,None
