Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,
357045034501999_598777130328787,https://www.facebook.com/weareotv/posts/598777130328787,"ONE DAY AWAY! 

Join us for the premiere of Afternoon Snatch, an unapologetically queer web comedy about heartbreak and the importance of community. 
The night will begin with a performance from the incomparable Darling Squire, followed by a screening of the entire first season of #afternoonsnatch, then a Q&amp;A with the creators of the series Kayla Ginsburg and Ruby Western. We will close out the evening with an after party at the Chicago Athletic Association Hotel. 

The Afternoon Snatch premiere is the second installment in our #OpenTVWednesdays series. Stay tuned for the Brujos Chicago Premiere next Wednesday. March 1st !",Link,,,02/21/2017 12:18:05 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,,,,,,AS|AS|B
357045034501999_598279223711911,https://www.facebook.com/weareotv/posts/598279223711911,"Two days until the Afternoon Snatch Premiere! We're so excited for this webseries from the minds of Kayla Ginsburg and Ruby Western.

Afternoon Snatch is an unapologetically queer webseries about heartbreak. 

Join us on Wednesday, Feb 22nd for the premiere at the Chicago Cultural Center. Afternoon Snatch is the second installment in our #opentvwednesdays series.",Photo,,,02/20/2017 10:00:19 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,,,,,,AS|AS|AS
357045034501999_597740863765747,https://www.facebook.com/weareotv/posts/597740863765747,"Cameron Glover at ThinkProgress discusses #BrownGirlsTV in relation to the history of TV representations of queer people of color: &quot;There’s an underrated power that media holds, and allowing queer people of color to exist will do more than just promote better diversity on screen — it will give queer people permission to be themselves, in a society that thrives on conforming instead.&quot;",Link,,,02/19/2017 06:50:22 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4.0,,,,,,None
357045034501999_596900977183069,https://www.facebook.com/weareotv/posts/596900977183069,"&quot;I think in an era where a Muslim ban can happen, shows like this are incredibly important. I don’t think I’ve ever seen a character like Leila on TV and I think that in terms of being queer and Muslim, drinking and doing that stuff, it’s important to know that there are Muslim people who are like that and are not super hard to find. I think that changes what it means to be Muslim in the mainstream kind of sense and I think that’s really great.&quot; - Fatimah Asghar 
#browngirlsTV",Link,,,02/17/2017 03:00:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,6.0,,,,,,None
357045034501999_596893267183840,https://www.facebook.com/weareotv/posts/596893267183840,#BrownGirlsTV creators Samantha Bailey and Fatimah Asghar on live TV! Thanks Windy City LIVE.,Link,,,02/17/2017 02:34:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,,,,,,,None
357045034501999_596847757188391,https://www.facebook.com/weareotv/posts/596847757188391,"Ask and you shall receive! 
We've compiled a playlist of all the tracks featured in Brown Girls currently available on Soundcloud. 

The soundtrack features a beautiful collection of brown girls from Chicago and beyond including Jamila Woods, Lisa Mishra Music, drea smith, Daryn Alexus, Ashni Davé, Ayanna Woods and more.

#browngirlsTV",Link,,,02/17/2017 12:35:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,4.0,,,,,,BG|BG
357045034501999_596713577201809,https://www.facebook.com/weareotv/posts/596713577201809,"Thanks McKenzie Chinn and Blavity for this recap of the #BrownGirlsTV Chicago premiere! &quot;Brown girls have stories to tell too, and, like Leila, we’re tired of hiding. With Brown Girls, we get to fully see, experience, and identify with a dynamic diversity of women of color, presented without special packaging or comment.&quot;",Link,,,02/17/2017 06:52:24 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,1.0,,,,,,BG
357045034501999_596367377236429,https://www.facebook.com/weareotv/posts/596367377236429,Thank you MTV ! #browngirlsTV,Link,,,02/16/2017 04:14:55 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,,,,,,,None
357045034501999_596360990570401,https://www.facebook.com/weareotv/posts/596360990570401,"The #BrownGirlsTV release party last night was in a word - incredible. But we're just getting started. This was the first release in our series of #opentvwednesdays premieres. Shondaland may have Thursdays, but OPEN TV - beta owns Wednesdays. 

Next week on 2/22 come to the Afternoon Snatch Premiere at the Chicago Cultural Center at 6pm. Afternoon Snatch is an unapologetically queer web comedy about heartbreak and the importance of community. 

Then join us on 3/1 for the Brujos Chicago Premiere at the Chicago Cultural Center followed by an after party at Club Kaliente. Brujos is a queer-of-color, radically politicized web series following four gay latino doctoral candidates-- that are also witches.",Photo,,,02/16/2017 03:57:21 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,,,,,,OTV|AS|AS|B|B
357045034501999_596286860577814,https://www.facebook.com/weareotv/posts/596286860577814,"The complete Brown Girls series is up on the site ! So in love with this important series and its brilliant creators. 

Our hearts are full, thank you Fatimah Asghar, Samantha Bailey, Jamila Woods, and the massive amount of beautiful folks that made this possible.
#browngirlsTV",Link,,,02/16/2017 12:34:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,,,,,,BG
357045034501999_596269293912904,https://www.facebook.com/weareotv/posts/596269293912904,New York! We got another one! #browngirlsTV,Photo,,,02/16/2017 11:52:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,None
357045034501999_596253287247838,https://www.facebook.com/weareotv/posts/596253287247838,"#BrownGirlsTV in TIME! &quot;With Trump, with the election there's just so much more weight on stuff,&quot; Fatimah Asghar said. It feels like a really important time to have a different representation of Muslims in the world. Seeing more complicated images will really help.&quot;",Link,,,02/16/2017 10:59:28 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,1.0,,,,,,None
357045034501999_596248633914970,https://www.facebook.com/weareotv/posts/596248633914970,"Don't 👏🏾  sleep 👏🏾  on 👏🏾  #browngirlsTV 

Watch the entire first series: https://vimeo.com/album/4416896/video/203924325 …",Link,,,02/16/2017 10:42:32 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,,,,,,None
357045034501999_596164413923392,https://www.facebook.com/weareotv/posts/596164413923392,"Brown Girls is LIVE!

Thank you to everyone who came out and made the Brown Girls Release Party such a magical evening. The love in the room was so strong last night.
#browngirlsTV",Link,,,02/16/2017 07:13:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,23.0,,,,,,BG|BG
357045034501999_595746107298556,https://www.facebook.com/weareotv/posts/595746107298556,The Guardian covers #BrownGirlsTV and queer women of color telling their own stories online!,Link,,,02/15/2017 03:03:28 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1.0,,,,,,None
