Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_983760615163768,https://www.facebook.com/weareotv/posts/983760615163768,"Announcing our team, with lots of new members and a new office downtown! 

OTV is a collective effort to reimagine TV from the bottom up. What if network executives looked like us?

Stay tuned: we're back with a whole new slate of shows in April! See you in spring!

#WEAREOTV

Thank you Felton Kizer for these beautiful photos!

Not pictured: Aalisha Sheth, our amazing script development intern.",Photo,,,02/25/2019 08:40:45 AM, ,4523,4523,0,6786,6786,0,837,617,1073,1,1,1680,895,0,0,259,0,0,0,0,0,0,0,0,0,0,10,475.0,50.0,11,528.0,56.0,533,203.0,,823,250.0,,1,1,None
357045034501999_982290541977442,https://www.facebook.com/weareotv/posts/982290541977442,"Catch our Head of Marketing, Eli Micky on this panel curated by Chicago Filmmakers and Chicago Digital Media Production Fund featuring friends from Scrappers Film Group, Sprout Social, Inc and more. Learn how to maximize social impact through narrative or documentary work that stimulates engagement and leads to action! 

The event will conclude with a short info session and Q&amp;A about the application process and grant guidelines for the Chicago Digital Media Production Fund.",Link,,,02/22/2019 03:47:58 PM, ,356,356,0,448,448,0,21,8,14,0,0,396,313,0,0,17,0,0,0,0,0,0,0,0,0,0,,17.0,,,17.0,,7,,3.0,11,,3.0,,,None
357045034501999_980700712136425,https://www.facebook.com/weareotv/posts/980700712136425,&lt;3 #OTVCommunity &lt;3,Link,,,02/19/2019 07:25:47 PM, ,209,209,0,260,260,0,5,2,2,0,0,209,166,0,0,5,0,0,0,0,0,0,0,0,0,0,,3.0,,,3.0,,2,,,2,,,,,None
357045034501999_973673076172522,https://www.facebook.com/weareotv/posts/973673076172522,"In observance of National Black HIV/AIDS Awareness Day we're releasing the trailer for GOOD ENOUGH, our newest original series created by Eli Micky, co-written by Aasia LaShay Bullock and Dewayne Perkins and executive produced by Aymar Jean Christian — all developed in collaboration with a team of researchers at UNC/Emory Center for Innovative Technology - iTech U19 for a new research study exploring #PrEP adherence amongst young LGBTQ folks of color!

Unlock the full series in P3: PrEPared, Protected, emPowered, the research study app to help you take #PrEP. Find out more and see if you are eligible for P3: https://t.co/UlPwQnfsns. #NBHAAD #BHM19",Link,,,02/07/2019 12:27:44 PM, ,287,287,0,417,417,0,35,24,47,0,0,332,214,0,0,29,0,0,0,0,0,0,0,0,0,0,,11.0,3.0,2,11.0,6.0,19,,9.0,38,,9.0,,,GE
357045034501999_970873243119172,https://www.facebook.com/weareotv/posts/970873243119172,Talk shows can be funny and politically daring! Check out this feature on Brujos creator Ricardo Gamboa's The Hoodoisie!,Link,,,02/02/2019 07:50:35 PM, ,819,819,0,1168,1168,0,59,39,50,0,0,862,560,0,0,57,0,0,0,0,0,0,0,0,0,0,2,23.0,,2,23.0,,17,,25.0,24,,26.0,,,B|HD
357045034501999_970237286516101,https://www.facebook.com/weareotv/posts/970237286516101,"Congratulations to the T - Web Series and #BrownGirlsTV for your #Queerties2019 nominations! VOTE for these gems from now for the next three weeks:

THE T: https://www.queerty.com/Queerties2019/vote-1908

BROWN GIRLS: https://www.queerty.com/Queerties2019/vote-1909",Link,,,02/01/2019 05:42:37 PM, ,807,807,0,1245,1245,0,52,23,29,1,1,811,433,0,0,41,0,0,0,0,0,0,0,0,0,0,1,39.0,,1,51.0,,12,,11.0,18,,11.0,1,1,TT|TT|BG
