Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Project ID
357045034501999_744641895742309,https://www.facebook.com/weareotv/posts/744641895742309,"🚨MUSICIANS!🚨 Get your music on an #opentvoriginal web series! 

#GeetasGuide #opentvrewind",Link,,,01/25/2018 11:02:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,1.0,4.0,,,,,,,None
357045034501999_743767812496384,https://www.facebook.com/weareotv/posts/743767812496384,"In the second episode of Geeta's Guide To Moving On, our heroine finally starts opening up to the group and best friend Akua ( Danielle Pinnock-Wallace of Afternoon Snatch!) puts a positive spin on the depressingly-named &quot;Divorce Dialogue&quot; group. 

#GeetasGuide #opentvrewind",Link,,,01/25/2018 08:00:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,GGMO|AS
357045034501999_743754249164407,https://www.facebook.com/weareotv/posts/743754249164407,"The show is about “finding the beauty and the messiness of life, discovering the opportunity for growth in our toughest and most disappointing experiences.”

Watch the first 3 episodes of Geeta's Guide to Moving On by Puja Mohindra here: https://vimeo.com/channels/geetasguide

#opentvrewind #GeetasGuide",Link,,,01/24/2018 02:08:25 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,GGMO
357045034501999_743606989179133,https://www.facebook.com/weareotv/posts/743606989179133,"It's a classic story, boy meets girl, girl falls for boy, girl gets dumped. 

Geeta Gidwani is an all-American girl hopelessly in love with her Indian-American Prince Charming until one day, he dumps her--after 10 years of dating. She's totally heartbroken, moves in with her Indian parents, and learns to move on with the help of her family and her best friend.

Geeta's Guide To Moving On is created by and stars Puja Mohindra. 

#GeetasGuide #opentvrewind",Link,,,01/24/2018 11:00:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,GGMO
357045034501999_743608492512316,https://www.facebook.com/weareotv/posts/743608492512316,Thank you to InPathways: The Chicago Track for having us on Saturday for The Chicago Track : Web Series 101 with Open TV (beta)!,Photo,,,01/24/2018 09:22:43 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,1.0,,,,,,,OTV
357045034501999_743551059184726,https://www.facebook.com/weareotv/posts/743551059184726,Our head of marketing is busy giving our website a facelift but they still make time to #SpreadTingle and educate the girls about the pleasure principle. Read the full story between Eli Micky and Vasilios Papapitsios on MEL Magazine.,Link,,,01/24/2018 08:11:53 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,13,,,,,,,,,None
357045034501999_742846929255139,https://www.facebook.com/weareotv/posts/742846929255139,"It's so annoying when they start jogging after the break-up.
 
In the #IRL season finale, meet Charlie's (Liza Summers) ex, Nick who she was &quot;practically married to&quot; in real life. 

#opentvrewind

In Real Life is written and directed by Kate Royal and follows four millennial best friends as they stumble their way into adulthood amidst shifting identities, relationships, and questions of what it means to be there for your friends and community.",Link,,,01/23/2018 03:15:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,IRL|IRL
357045034501999_742839049255927,https://www.facebook.com/weareotv/posts/742839049255927,"&quot;I'm not judging, I'm fascinated as a scholar.&quot; 

How many times have you felt your boundaries pushed under the guise of &quot;research&quot;? What does the porn you watch say about you? 

Explore this interesting interplay between roommates Cleo (played by Theo Germaine) and their roommate 'Jer-bear' (played by Grant Cordes) in this episode of In Real Life. 

#opentvrewind",Link,,,01/23/2018 01:56:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,IRL
357045034501999_742834485923050,https://www.facebook.com/weareotv/posts/742834485923050,"Is lesbian bed death fact or fiction? Keeping the spark alive is hard for Erin (played by Marybeth Kram) and her girlfriend (played by Celeste Riddle) in real life. 

In Real Life, written and directed by Kate Royal, is about four millennial best friends stumble their way into adulthood amidst shifting identities, relationships, and questions of what it means to be there for your friends and community.

#opentvrewind",Link,,,01/23/2018 11:06:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,IRL|IRL
357045034501999_741856162687549,https://www.facebook.com/weareotv/posts/741856162687549,"Have you ever come out to a friend and been underwhelmed by their response? Do you have friends or family that don't believe in bisexuality? 

Oscar and his friends are struggling with both of these questions in this episode of #InRealLife written and directy by Kate Royal.

#opentvrewind",Link,,,01/22/2018 02:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,None
