Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_815347002005131,https://www.facebook.com/weareotv/posts/815347002005131,"In 2017, Derrick Woods-Morrow (one of this year's Windy City Times 30 under 30 recipients!) returned home to Greensboro, NC to reconnect with a police officer, who was once just another feral young boy on the playgrounds much like himself. Throughout a 72-hour period, they return to past moments of play, in an attempt to build a future were they could be like they once were – two young boys, searching for each other, deep into the bushes, one white &amp; one unaware of his blackness,  Woods-Morrow knowing his body and mind could never truly return to that past.

The Roach is Coming will be on OTV for A LIMITED TIME ONLY until August 1. So watch it NOW! 

Watch #TheRoachisComing right here or at http://www.weareo.tv/presents/the-roach-is-coming

https://vimeo.com/275901309 

#pride #blackpride",Link,,,06/20/2018 01:19:25 PM, ,139,139,0,180,180,0,18,12,16,0,0,142,113,0,0,15,0,0,0,0,0,0,0,0,0,0,8,,2.0,8,,2.0,7,,7.0,,9,,7.0,,,,RIC
357045034501999_815222612017570,https://www.facebook.com/weareotv/posts/815222612017570,"Everyone has a hair story. We change our hair after a break-up, for a job, before balding, or to prep for a big event. Very few TV series focus on hair! Hair Story follows residents of a Chicago co-op as they try to get along and as they narrate wild dreams and stories to Gia, the hair stylist of the house. Hearing their stories inspires her to break her hiatus and return to her first love, the art of drag and gender transformation! 

Watch Hair Story now, right here or on #OTV: http://www.weareo.tv/presents//hair-story

Directed by Aymar Jean Christian, written by Roger Fierro, Felicia Holman, Abra Johnson, Philly Bigx Philly, Niki Madison, Eli Micky, Meida Teresa McNeal, Saya Naomi, Jordy Palmer, Ashley Ray, Erik Lamar Wallace II.",Link,,,06/20/2018 10:23:15 AM, ,1782,1782,0,2979,2979,0,197,139,244,0,0,955,431,0,0,90,0,0,0,0,0,0,0,0,0,0,93,13.0,9.0,122,16.0,17.0,97,,69.0,,159,,85.0,,,,HS|HS|HS
357045034501999_815129588693539,https://www.facebook.com/weareotv/posts/815129588693539,"On the heels of #Juneteenth, check out these three blackity-black film pieces that redefine #BlackPride, now streaming on #OTV.  

1: &quot;Hair Story&quot; by Aymar Jean Christian, Felicia Holman, Roger Fierro, Abra Johnson, Phillip Lambert, Jr., Niki Madison, Eli Micky, Meida Teresa McNeal, Saya Naomi, Jordy Palmer, Ashley Ray, and Erik Lamar Wallace II. Residents of an artsy Black co-op tell their wild stories to an out-of-work drag queen as she styles their hair to pay her rent.

2: &quot;Sur La Nuit&quot; by ALEXA GRÆ, Jon Wes, and Matthew Ozawa. A soliloquy to the night, reflecting on love, loss, and identity.

3: &quot;The Roach Is Coming&quot; by Derrick Woods-Morrow. A reflection on the artist's racially charged upbringing in North Carolina. 

#pridemonth #pride",Link,,,06/20/2018 08:21:30 AM, ,1095,1095,0,1530,1530,0,74,47,56,0,0,360,225,0,0,33,0,0,0,0,0,0,0,0,0,0,27,8.0,3.0,29,8.0,5.0,35,,14.0,,42,,14.0,,,,None
357045034501999_814342842105547,https://www.facebook.com/weareotv/posts/814342842105547,"We're diving back into #OTVrewind visiting the queens of #2QIK past and seeing what their beat is these days. 

Rapbrarian (rapper + librarian) Roy Kinsey is a Chicago native whose 11-track album &quot;Blackie: A Story by Roy Kinsey&quot; was released this spring. The album tells a cohesive story focused on the Great Migration beginning with his grandmother's birth in Mississippi in 1943. A fitting soundtrack to celebrate your #Juneteenth. 

He was also one of the stars of Two Queens in a Kitchen in its very first season, alongside MSMRJR, speaking on political demonstrations vs. protests and creating access to the resources that people need while making a shaved asparagus salad and guacamole. 

Watch his episode here: https://bit.ly/2taBmlD.

Join our studio audience at the LIVE taping of Two Queens in a Kitchen (LIVE) at Reunion happening Saturday June 30th. RSVP link in event.",Link,,,06/19/2018 12:07:48 PM, ,205,205,0,242,242,0,5,1,1,0,0,137,112,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1.0,,4,1.0,,1,,,,1,,,,,,TQIK
357045034501999_814197332120098,https://www.facebook.com/weareotv/posts/814197332120098,"“As a trans woman myself, and for Daniel Kyri Madison as a queer black man, we’re all too acquainted with the stories people tell about us that are tragic and reductive and that often come as a punchline to someone else’s story,” Bea Cordelia Sullivan-Knoff told The Daily Beast “We wanted to create something that was more sincere to our experiences.”

the T - Web Series is now LIVE and available to stream, watch the entire first season now: http://www.weareo.tv/originals/the-t

#TheTTV #TeamT",Link,,,06/19/2018 08:13:56 AM, ,1476,1476,0,2174,2174,0,163,95,142,0,0,606,331,0,0,58,0,0,0,0,0,0,0,0,0,0,91,10.0,4.0,109,10.0,6.0,52,,58.0,,75,,67.0,,,,TT
357045034501999_813539012185930,https://www.facebook.com/weareotv/posts/813539012185930,"If you couldn't gather your edges fast enough to RSVP to the T World Premiere, never fear, we've got more queer as fuck programming for you. 

Finish #pridemonth right and be a part of our studio audience for the LIVE taping of Two Queens in a Kitchen season 3! RSVP: https://bit.ly/2JQ85pU",Link,,,06/18/2018 02:22:38 PM, ,366,366,0,447,447,0,22,8,9,0,0,402,330,0,0,17,0,0,0,0,0,0,0,0,0,0,15,,1.0,16,,1.0,8,,,,9,,,,,,TQIK
357045034501999_813392432200588,https://www.facebook.com/weareotv/posts/813392432200588,"The day has finally come! 

the T World Premiere rolls this evening at Chicago Cultural Center.  Doors are at 6pm (registration is sold out so come on time!) Screening starts at 7pm. Although it's sold out, there is a waitlist that we highly recommend signing up for. https://bit.ly/2MA03jq

Then slide through to the after party at Broken Shaker at Freehand Chicago starting at 9pm with performances by Ariel Zetina and Growing Concerns Poetry Collective. No RSVP required for the after party.",SharedVideo,,,06/18/2018 09:56:10 AM, ,154,154,0,174,174,0,21,18,21,0,0,162,145,0,0,20,0,0,0,0,96,111,0,0,0,70782,4,,,4,,,17,,1.0,,20,,1.0,,,,TT
357045034501999_811158725757292,https://www.facebook.com/weareotv/posts/811158725757292,See McKenzie Chinn perform at the T World Premiere on Monday!,Link,,,06/15/2018 04:03:53 PM, ,82,82,0,89,89,0,4,3,4,0,0,79,74,0,0,3,0,0,0,0,0,0,0,0,0,0,2,,,2,1.0,,3,,,,4,,,,,,TT
357045034501999_810242002515631,https://www.facebook.com/weareotv/videos/810242002515631/,"Today we’re checking in on the queens of seasons past to peep their current slay. 

First up is Coriama whose docu-web series, Queer The Air, came out this past fall.  The show is centered around interviews with black queer folx and covers everything from gender identity and relationships to body image and self-care. 

You can watch the pilot on our Vimeo vimeo.com/opentelevision, season one features comic and writer Ashley Ray and Keon Dillon of http://millennialsoulfood.com/. Watch the pilot here: https://vimeo.com/244731429

Two Queens in a Kitchen (LIVE) at Reunion is coming for you June 30th! Check out the Facebook event for more info on our LIVE taping of season 3 and join our studio audience.",Video,,,06/14/2018 03:00:00 PM, ,193,193,0,241,241,0,14,10,16,0,0,195,157,0,0,9,8,8,0,0,17,17,0,0,0,7520,5,,,5,,,6,,1.0,7.0,7,,1.0,8.0,,,TQIK
357045034501999_809519342587897,https://www.facebook.com/weareotv/posts/809519342587897,OTV - Open Television,Link,,,06/13/2018 02:29:26 PM, ,49,49,0,58,58,0,2,2,3,0,0,47,40,0,0,2,0,0,0,0,0,0,0,0,0,0,1,,,1,,,2,,,,3,,,,,,OTV
357045034501999_808762079330290,https://www.facebook.com/weareotv/posts/808762079330290,"Mark your calendars for the LIVE filming of Two Queens in a Kitchen season three! #2QIK

Be a part of the magic at Reunion Chicago on Saturday June 30th. If you're not in Chicago, the entire event will be livestreamed in partnership with Mainstream Media, LLC so be sure to tune in! More details and livestream link to come.",Link,,,06/12/2018 03:23:54 PM, ,354,354,0,460,460,0,9,5,5,0,0,423,324,0,0,8,0,0,0,0,0,0,0,0,0,0,5,,,5,,,5,,,,5,,,,,,TQIK
357045034501999_808269072712924,https://www.facebook.com/weareotv/posts/808269072712924,"The countdown begins! 

SEVEN short days away from this groundbreaking event - the premiere of #TheTTV, a dramedy following Jo and Carter, a young trans woman and queer Black man, as they learn how to be best friends in the wake of their romantic relationship and Jo's transition.

Make sure to RSVP! Eventbrite: https://bit.ly/2sz0vX2",Link,,,06/11/2018 04:33:22 PM, ,552,552,0,695,695,0,28,20,29,0,0,647,516,0,0,26,8,8,0,0,120,0,0,0,0,0,15,,,15,,,17,,4.0,,25,,4.0,,,,None
357045034501999_806460812893750,https://www.facebook.com/weareotv/posts/806460812893750,"SEEN by ALEXA GRÆ has arrived! Dive into this incredibly rich masterpiece and join us this evening to experience the visual counterpart to Sur La Nuit at Open Television Premieres: New Black TV. 

Program begins at 7:30pm at Black Cinema House.",Link,,,06/08/2018 09:38:25 AM, ,133,133,0,174,174,0,5,3,3,0,0,136,103,0,0,3,0,0,0,0,0,0,0,0,0,0,2,,,2,,,3,,,,3,,,,,,None
357045034501999_805931552946676,https://www.facebook.com/weareotv/posts/805931552946676,OTV - Open Television,Link,,,06/07/2018 09:54:10 AM, ,63,63,0,69,69,0,4,3,3,0,0,52,49,0,0,4,0,0,0,0,0,0,0,0,0,0,1,,,1,,,3,,,,3,,,,,,OTV
357045034501999_805926006280564,https://www.facebook.com/weareotv/posts/805926006280564,"Thank you AFROPUNK for this feature of Sex Is A God Thing - The Webseries! 

Production of this sexy, powerful series from Rashida KhanBey Miller begins next month. Help them bring the project to life and support them and learn more on their Seed&amp;Spark page: https://www.seedandspark.com/fund/sexisagodthing#story",Link,,,06/07/2018 09:32:21 AM, ,217,217,0,295,295,0,13,5,5,0,0,256,186,0,0,11,0,0,0,0,0,0,0,0,0,0,9,,,9,,,3,,2.0,,3,,2.0,,,,None
357045034501999_805511196322045,https://www.facebook.com/weareotv/videos/805511196322045/,"Sur La Nuit is a soliloquy to the night, reflecting on love, loss, and identity. The short film, composed by ALEXA GRÆ, is presented thru the lens of otherness - queer identity, race, familial dynamics, gender, and access into classical art forms. Submerge yourself in all of this delicious darkness this Friday at Open Television Premieres: New Black TV at Black Cinema House.  

Jon Wes - Creator/Videographer/Editor
Matthew Ozawa - Creator/Director
Grayson Elliott Taylor - Audio Engineer
erin kilmurray/projects - Choreographer
Connie Edgemon - Poet
Valerie Edgemon- French Translation
Marisa Allison - Costume Design

#SurLaNuit",Video,,,06/06/2018 01:25:36 PM, ,788,788,0,1096,1096,0,65,50,81,0,0,482,374,0,0,32,42,46,0,0,248,286,0,0,0,44350,28,5.0,1.0,29,8.0,1.0,38,,,18.0,61,,,20.0,,,None
