"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
803,0,1222,2,3,0,/videos/404625206,"Open Television x MCA Chicago: #OTVtonight Live Stream",8073,2020-04-06T14:35:19+00:00,Array,397,63,2899,2328405,3803368,260
711,0,3929,123,1,0,/videos/203924325,"Brown Girls -- Episode 1",410,2017-02-14T00:43:46+00:00,Array,1202,70,244,173881,292152,372
571,0,982,25,0,0,/videos/143933380,"Open TV Presents: Southern for Pussy",283,2015-10-28T22:38:55+00:00,Array,558,44,90,51517,161826,387
402,0,2215,54,2,0,/videos/189724238,"Brown Girls -- Trailer",141,2016-11-01T01:03:06+00:00,Array,953,57,56,22878,57009,230
399,0,1934,72,0,0,/videos/204010747,"Brown Girls -- Episode 2",874,2017-02-14T14:31:09+00:00,Array,507,72,546,218009,349102,196
302,0,1123,71,0,0,/videos/204008552,"Brown Girls -- Episode 7",628,2017-02-14T14:15:33+00:00,Array,277,72,375,113476,189656,174
290,0,1696,57,0,0,/videos/204010519,"Brown Girls -- Episode 3",636,2017-02-14T14:29:31+00:00,Array,448,78,429,124551,184709,145
247,0,1077,54,1,0,/videos/204009737,"Brown Girls -- Episode 6",476,2017-02-14T14:24:17+00:00,Array,218,75,318,78713,117572,141
232,6,1131,37,0,0,/videos/204010226,"Brown Girls -- Episode 4",770,2017-02-14T14:27:31+00:00,Array,233,79,541,125548,178860,114
213,0,967,47,0,0,/videos/204010026,"Brown Girls -- Episode 5",508,2017-02-14T14:26:06+00:00,Array,201,84,381,81288,108204,113
209,0,311,28,0,0,/videos/328313520,"OTV Super Trailer - Cycle 4 2019",381,2019-04-04T00:14:48+00:00,Array,147,40,113,23739,79813,121
196,0,535,7,0,0,/videos/152854976,"Full Out -- Episode 1",903,2016-01-24T03:25:13+00:00,Array,218,43,283,55517,177078,113
137,0,535,9,0,0,/videos/206503473,"BRUJOS -- Episode 1 -- Aries",492,2017-03-03T00:46:07+00:00,Array,226,68,316,43424,67529,108
136,0,1330,13,1,0,/videos/275714604,"the T - Episode 1",333,2018-06-18T21:13:09+00:00,Array,366,53,157,21451,45288,82
108,0,791,10,2,0,/videos/402718970,"Virtual Screening: #OTVtonight (LIVE)",93,2020-03-31T21:07:02+00:00,Array,327,65,56,6070,10110,88
97,0,313,8,0,0,/videos/275932364,"HAIR STORY (Pilot Concept)",933,2018-06-19T22:51:12+00:00,Array,169,52,433,42003,90592,82
96,0,438,2,2,0,/videos/400440357,"Open Television presents #OTVTonight (2019)",9269,2020-03-25T00:05:10+00:00,Array,191,27,1968,188984,889824,57
74,0,212,7,0,0,/videos/154795991,"Full Out -- Episode 2",1349,2016-02-09T23:59:39+00:00,Array,110,39,443,32836,99826,51
63,0,110,3,0,0,/videos/260143645,"Yogma -- Episode 1",455,2018-03-14T22:26:17+00:00,Array,74,62,258,16288,28723,53
62,0,343,9,0,0,/videos/206503243,"BRUJOS -- Episode 2 -- Taurus",637,2017-03-03T00:43:42+00:00,Array,112,71,439,27235,39548,49
61,0,111,8,0,0,/videos/275711167,"the T - Episode 2",473,2018-06-18T20:50:41+00:00,Array,51,76,363,22199,28913,36
54,0,122,2,1,0,/videos/329967024,"The Right Swipe - Pilot",896,2019-04-12T06:42:16+00:00,Array,54,57,476,25746,48432,35
54,0,147,6,0,0,/videos/262325137,"VELVET - Episode 1",734,2018-03-29T03:41:27+00:00,Array,73,41,258,13965,39683,39
47,0,66,8,0,0,/videos/275682633,"the T - Episode 6",441,2018-06-18T18:02:14+00:00,Array,32,79,329,15497,20771,30
46,0,85,13,0,0,/videos/275708467,"the T - Episode 3",373,2018-06-18T20:33:17+00:00,Array,49,86,321,14767,17158,33
