"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
3325,18,15162,553,desktop,2944,64,314,1045191,1798471,1192
1868,0,7693,207,mobile,1583,53,240,449137,953139,839
225,0,249,0,tv,11,96,15,3493,107976,5
184,3,604,34,tablet,140,69,352,64793,105634,66
4,2,2279,0,unknown,0,60,125,376,0,0
"
",,,,,,,,,,
