"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
13,0,297,5,desktop,0,67,407,5297,11346,0
6,0,15,1,mobile,0,75,100,602,2409,0
0,0,2,0,unknown,0,0,0,0,0,0
"
",,,,,,,,,,
