"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
15014,7,34185,3417,desktop,0,68,296,4447006,6465122,0
4577,0,17431,667,mobile,0,64,298,1367573,2125752,0
969,0,2628,231,tablet,0,76,338,327773,427709,0
150,0,270,48,tv,0,68,305,45778,66974,0
49,0,2270,1,unknown,0,25,17,6632,0,0
"
",,,,,,,,,,
