"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
12432,15,31389,3717,desktop,0,67,174,2174398,3239600,0
9892,0,34665,1787,mobile,0,78,138,1374512,1755701,0
990,0,2952,263,tablet,0,69,212,210040,301241,0
79,0,108,5,tv,0,52,106,8411,16125,0
38,0,1150,6,unknown,0,76,85,3369,0,0
"
",,,,,,,,,,
