"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
20048,8,61696,5199,desktop,0,70,327,6574242,9303283,0
7988,0,44555,1146,mobile,0,64,298,2384835,3669001,0
1411,0,4888,327,tablet,0,72,348,491433,679589,0
242,0,423,58,tv,0,62,210,50829,81042,0
43,0,2106,9,unknown,0,66,231,9969,0,0
"
",,,,,,,,,,
