"plays","downloads","loads","finishes","device_type","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
14052,13,46420,3145,desktop,0,58,286,4027104,6932306,0
12599,0,28330,1002,mobile,0,39,113,1433022,3608705,0
1120,0,2563,236,tablet,0,67,264,296086,439257,0
216,0,413,16,tv,0,67,152,32862,48576,0
35,0,2666,4,unknown,0,34,122,4295,12322,0
"
",,,,,,,,,,
