"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
10,0,44,3,vimeo.com,,0,69,90,903,2910,0
5,0,5,0,bing.com,,0,57,606,3033,8805,0
2,0,70,1,unknown,,0,56,48,97,172,0
1,0,10,1,culturebot.org,,0,99,106,106,107,0
1,0,1,1,yahoo.com,,0,99,1760,1760,1761,0
0,0,3,0,search.daum.net,,0,0,0,0,0,0
0,0,170,0,khadijahwhite.com,,0,0,0,0,0,0
0,0,1,0,safe.txmblr.com,,0,0,0,0,0,0
0,0,1,0,ctindie.com,,0,0,0,0,0,0
0,0,9,0,atomculture.wordpress.com,,0,0,0,0,0,0
"
",,,,,,,,,,,
