Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
357045034501999_583049061901594,https://www.facebook.com/weareotv/videos/583049061901594/,"Now presenting: The Open TV Trailer! The trailer includes a look back at some of our best moments from the First Cycle and a sneak peak at the Second Cycle featuring Afternoon Snatch, Brown Girls, and Brujos.",Video,,,01/20/2017 12:11:26 PM, ,13977,3235,6571,23974,3709,11047,430,331,483,0,0,3902,737,2273,546,156,89,90,87,90,1545,1751,2107,2806,0,184574,185,29.0,15.0,248,32.0,16.0,111,244.0,7.0,114,351.0,12.0,OTV|AS|BG|B
357045034501999_582968728576294,https://www.facebook.com/weareotv/posts/582968728576294,"Thank you Out Magazine for covering this exclusive sneak peek of Brown Girls!

Creator Fatimah Asghar says: &quot;I hope that it shows the complications of communities of color and queer communities. So many times American media is shown in binary fashion. I hope this show helps show that's not the reality for many of us. We exist across racial lines all the time, across lines of queerness and sexuality. We are real people who make complicated relationships with each other.&quot;

Full interview with Asghar and Samantha Bailey here: http://www.out.com/out-exclusives/2017/1/19/watch-exclusive-preview-brown-girls-new-queer-web-series-about-two-women-color",SharedVideo,,,01/20/2017 08:00:37 AM, ,646,122,0,978,206,0,53,46,60,0,0,451,264,0,0,32,0,0,0,0,107,110,0,0,0,83390,13,,1.0,13,,1.0,,44.0,3.0,,57.0,3.0,BG
357045034501999_582631501943350,https://www.facebook.com/weareotv/posts/582631501943350,"Did you check the sneak peak of Brown Girls that came out ?? Check it on our page and come to the Brown Girls Release Party! There's an unbelievably stacked lineup featuring Jamila Woods Sonia Denis Nabila Hossain Swati Wangnoo Tiwari Lisa Mishra Music and Po'Chop! You don't want to miss this, RSVP today.",Link,,,01/19/2017 12:55:59 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,,,,BG|BG
357045034501999_582630791943421,https://www.facebook.com/weareotv/posts/582630791943421,Check the sneak peak though!! #nodirtybutt2017,Link,,,01/19/2017 12:52:11 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,None
357045034501999_581652228707944,https://www.facebook.com/weareotv/posts/581652228707944,Check out the world premiere of &quot;I Ain't Got It&quot; by Daryn Alexus with Jamila Woods and Po'Chop directed by Samantha Bailey of Brown Girls and produced by VAM !! &lt;3 #blackgirlmagic #veryrelatable #newphonewhodis,Link,,,01/17/2017 08:55:38 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,1.0,,,,,,,,BG
357045034501999_581204892086011,https://www.facebook.com/weareotv/posts/581210995418734:0,"#2QIK Season Two is a wrap! Thank you to Rain Studio for being such gracious and welcoming hosts, shout out to VAM for turning it out as usual, thank you to all of the incredible artists that donated their work: Leah Ball Ceramics, Laura Paola, Karmen Elaine, Darien R Wendell, Rashaad Hall, Alexandria Eregbu, Jasmine Clark, Janice Bond, Zakkiyyah Najeebah, Taylor Mauch, Jacquelyn Carmen Guerrero. 

MASSIVE thank you to our brilliant guest stars: Oli Rodriguez, Felicia Holman, Rashaad Hall, Nathaniel Tenenbaum, Kristen Kaza &amp; coriama couture. 

And of course to our phenomenal PAs Croak Proveda and Zac Hall. 

Look out for the release of Two Queens in a Kitchen Season Two this spring! We did the damn thang y'all. 

Watch Season One now: www.weareopen.tv/open-tv-originals/2qik

photo credit: Chris Walker",Photo,,,01/16/2017 08:56:27 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,12,1.0,,,,,,,,TQIK
357045034501999_580395975500236,https://www.facebook.com/weareotv/posts/580395975500236:0,Rolling! Filming of #2QIK Season Two is in the works. Shout out to VAM for rolling deep with the flyest squad.,Photo,,,01/14/2017 12:54:09 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,None
357045034501999_579564522250048,https://www.facebook.com/weareotv/posts/579564522250048,"Power couple in art and in love, step into the home of Jordan Phelps and Vincent Martell, cofounders and woke baes of VAM.  The VAM crew will be filming Two Queens in a Kitchen (LIVE) this Saturday! There are only a couple tickets left to sit in the live audience, so grab em rull quick 😘",Link,,,01/12/2017 03:15:28 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,,3.0,,,,,,,TQIK
357045034501999_578955772310923,https://www.facebook.com/weareotv/posts/578955772310923,Calling all artists: Both Threewalls and Links Hall have supported many of our artists so consider staging a performance for their fundraiser! Threewalls also has a separate call for visual artists: http://three-walls.org/thawalls-is-coming,Link,,,01/11/2017 07:34:10 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,,,None
357045034501999_578577592348741,https://www.facebook.com/weareotv/posts/578577592348741,"Join us as we premiere a new slate of original pilots and series in the Museum of Contemporary Art Chicago 's Edlis Neeson Theater! 

Open TV will screen new projects from the upcoming 2017 season, interview the creators, and take questions and feedback from the audience in the iconic style of The Late Show with Stephen Colbert, all while DJ Hijo Pródigo spins original beats. Featuring appearances by Fatimah Asghar &amp; Samantha Bailey (Brown Girls), Kayla Ginsburg &amp; Ruby Western (Afternoon Snatch), Ricardo Gamboa (Brujos), and more!",Link,,,01/10/2017 02:10:12 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,OTV|BG|AS|B
357045034501999_578291939043973,https://www.facebook.com/weareotv/posts/578291939043973,&quot;We are calling it: 2017 is gonna be the year for POC-created media.&quot;,Link,,,01/09/2017 06:56:40 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,18,,,,,,,,,None
357045034501999_578282419044925,https://www.facebook.com/weareotv/posts/578282419044925,"Photos from Canvas' #VoyagerNYE are in! Catch some of folx from the #OpenTVCommunity front and center! 

cc: Cqqchifruit Eli Micky, Jen Delos Reyes and Kristen Kaza, Audio Jack and many more! &lt;3 &lt;3 &lt;3",Photo,,,01/09/2017 06:32:41 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,None
357045034501999_578184282388072,https://www.facebook.com/weareotv/posts/578184282388072,"Welcome to the second development report for Open TV!

This is your opportunity to get the inside scoop on how Open TV is developing innovative queer television. If you’re new to Open TV, you might want to read our origin story and the previous report from halfway cycle one. The first report includes what I look for when I receive pitches and how we develop programming.

This report marks the end of the first cycle of programming. What’s a cycle? It’s kind of like a “season” of TV. Increasingly, TV is released all year round, not in seasons, but I still think there’s value in taking a break.

Open TV’s first cycle of original programming ran from March 2015 to July 2016 as we built up our content library. The second cycle begins January 31st at the Museum of Contemporary Chicago, where we will screen the pilots for our new original series! Before then we are going into “re-runs” with the debut of Open TV Re-Presents, starting with Kalup Linzy’s epic MoMA-set black queer drama, Melody Set Me Free!",Link,,,01/09/2017 12:00:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,4.0,,,,,,,,OTV|OTV|OTV|OTV|OTV|MSMF
357045034501999_578183522388148,https://www.facebook.com/weareotv/posts/578183522388148,"Now presenting: How to Develop with Open TV. 

At its core, Open TV - beta is indeed a research project and aims to be as transparent as possible with its development process. To aid in this, Aymar Jean Christian writes annual development reports and this segment, How to Develop with Open TV.",Link,,,01/09/2017 11:23:59 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,,,,OTV|OTV|OTV
357045034501999_577565379116629,https://www.facebook.com/weareotv/posts/577565379116629,Thank you VICE for recommending #FullOutSeries!,Link,,,01/07/2017 04:12:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,,1.0,,,,,,,None
357045034501999_577138909159276,https://www.facebook.com/weareotv/posts/577138909159276,"You can catch most of the Open TV fam in this video introducing People Who Care, a non-for-profit and grassroots consultancy specializing in creative direction, campaign development &amp; management, community organization and cultural productions led by our very own Eli Micky. 

Check out www.peoplewho.care to get hip to all of this goodness.",Link,,,01/06/2017 12:19:12 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,1.0,,,,,,,OTV
357045034501999_577116492494851,https://www.facebook.com/weareotv/posts/577116492494851,"#FlashbackFriday to this great coverage from Out Magazine on Brujos, a series by Ricardo Gamboa! Check out our instagram @weareopentv for a behind the scenes shot from a live reading of Season One from last night. 

Series premiere is this spring-- get hype!",Link,,,01/06/2017 11:15:48 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,5.0,4.0,,,,,,,B
357045034501999_576426079230559,https://www.facebook.com/weareotv/posts/576426079230559,The Chicago Onscreen Local Film Showcase - Events | Chicago Park District,,,,01/04/2017 02:46:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,None
357045034501999_576376152568885,https://www.facebook.com/weareotv/posts/576376152568885,"Check out our VAM fam building the capacity &lt;3 . These folks have been glowing up so hard and putting out beautiful work, 2017 is bound to be a huge year for them and for YOU if you get in there.",Link,,,01/04/2017 10:50:48 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,1.0,,,,,,,None
357045034501999_575639795975854,https://www.facebook.com/weareotv/posts/575639795975854,"Happy new year cuties! 

Wishing you all an empowering 2017. 

Heads up, you have 3 MORE DAYS to submit your artwork for consideration for the second season of Two Queens in a Kitchen! Fill out the form here goo.gl/forms/r5Oa1uxROYSmfpYd2.",,,,01/02/2017 12:17:31 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1.0,1.0,,,,,,,TQIK
