Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Project ID
357045034501999_370202386519597,https://www.facebook.com/weareotv/posts/370202386519597,"We just #released &quot;Chapter Two&quot; of You're So Talented on #OpenTV. After Bea's show closes early due to bad reviews, she tries a different medium and ends up speaking a little too honestly at an art gallery. Are you ready for the story that unfolds? 
#watch and #share: https://vimeo.com/123121866",Link,,,03/25/2015 10:10:03 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.0,1.0,YST
357045034501999_369960599877109,https://www.facebook.com/weareotv/posts/369960599877109,"Did you know that Whatever Spectrum created and produced all of the music for our original series, You're So Talented? Stay tuned for our #Spotlight and make sure you like their page to stay updated when new songs are released!",Link,,,03/24/2015 12:52:38 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,YST
357045034501999_369674289905740,https://www.facebook.com/weareotv/posts/369674289905740,Our #website is doing that thing that we like. Check it out and tell us what you think: http://buff.ly/1DPFicc #design,Link,,,03/24/2015 11:39:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,1.0,None
357045034501999_369674903239012,https://www.facebook.com/weareotv/posts/369674903239012,"We're really digging, GENDER TALENTS, a new web-based project by artist Carlos Motta that engages movements and discourses for gender self-determination within #trans and #intersex communities internationally. http://gendertalents.info/about/",Link,,,03/24/2015 10:42:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,None
357045034501999_369674549905714,https://www.facebook.com/weareotv/posts/369674549905714,"Did you miss the screening of &quot;The Myth of Cqqchifruit&quot; over the weekend? Don't fret, here's a link to the trailer which we highly recommend that you spend a couple of minutes checking out. Much more to follow: https://vimeo.com/122386736",Link,,,03/23/2015 12:40:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,None
357045034501999_368774446662391,https://www.facebook.com/weareotv/posts/368774446662391:0,"Do you want to learn how the #OpenTV platform was conceived? Check out one of our first &quot;#Viewpoints&quot; published in the #OpenTVCommunity which details how it all began: 

http://www.weareopen.tv/open-tv-community/2015/2/9/viewpoints-by-aymar-christian",Photo,,,03/20/2015 11:38:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_368229663383536,https://www.facebook.com/weareotv/posts/368229663383536,Please Stand By: www.weareopen.tv,Link,,,03/19/2015 01:51:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,None
357045034501999_368229860050183,https://www.facebook.com/weareotv/posts/368229860050183,"America Ferrera is fed up with the lack of #diversity in #hollywood: &quot;As a member of our society and as an audience member, I take it very personally when I see depictions of modern day that make me feel invisible.&quot;-America Ferrera 

http://fusion.net/story/58219/america-ferrera-very-upset-by-the-lack-of-diversity-in-hollywood-i-take-it-personally/?utm_source=facebook&amp;utm_medium=social&amp;utm_campaign=fusionnetwork #media #mainstream",Link,,,03/19/2015 11:51:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_368225786717257,https://www.facebook.com/weareotv/posts/368225786717257,"We're enamored by the overwhelming response that the first teaser for #OpenTVPresents #NUPITAOBAMACREATESVOGUA has received! Thanks for sharing with care. Please do continue to support our efforts as we cook up some more delectable treats for your viewing pleasure. 

A special thanks to Myra Boone, Mister Wallace, IamKiam Studios, Miss Queen Saya Naomi Sarah McClain, and Under the Spell Productions, Inc.. Open TV Presents: Nupita Obama Creates Vogua will #premiere late Spring/early Summer. Follow the production here: 
http://www.weareopen.tv/open-tv-presents/2015/2/5/nupita-obama-creates-vogua",Link,,,03/18/2015 02:37:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,,NOCV
357045034501999_368222320050937,https://www.facebook.com/weareotv/posts/368222320050937,"Seven days till we #debut &quot;Chapter Two&quot; of You're So Talented. Till that goes live make sure you are connecting with crew behind YST over at http://www.youresotalented.tumblr.com/ 

Magical things are happening over there!",Link,,,03/18/2015 12:23:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,YST
357045034501999_368223196717516,https://www.facebook.com/weareotv/posts/368223196717516,"Can you do us a favor? We’re looking for #marketing and #production #interns for the Spring/Summer. Tell your sister, best-friend and that sassy guy at the bar who probably is a filmmaker on the side to hit us up: www.weareopen.tv/intervene 

#Share with care. Please and thank you!",Link,,,03/18/2015 10:25:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,None
357045034501999_368245746715261,https://www.facebook.com/weareotv/posts/368245746715261,One week till we #premiere &quot;Chapter Two&quot; of You're So Talented. Are you even ready for the story that is about to unfold? #indie #webseries,Status,,,03/18/2015 09:58:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,YST
357045034501999_367953983411104,https://www.facebook.com/weareotv/posts/367953983411104,"Today we're shining the #spotlight on Po’ Chop, a burlesque artist who is constantly pushing the boundaries of #performanceart and gender norms. She continues to challenge us to #create outside the box and define our own lanes. Originally published over at You're So Talented: http://buff.ly/1MGqYSK #blackisbeautiful #natural #makeyourown",Link,,,03/17/2015 03:02:05 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,YST
357045034501999_367932520079917,https://www.facebook.com/weareotv/posts/367932520079917,"Join Honey Pot Performance tonight at the Dance Center of Columbia College Chicago for 'Dance Matters: An Intimate Conversation with Urban Bush Women and Honey Pot Performance'.
e http://buff.ly/1O0OihB  #embodied #process #community",Link,,,03/17/2015 01:02:09 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_367792680093901,https://www.facebook.com/weareotv/posts/367792680093901,Univision incident reignites questions about diversity in latino #media. We need to intervene current state of mainstream #media now more than ever http://buff.ly/1x8ukMJ #equality #diversity #latino,Link,,,03/17/2015 12:44:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_367593253447177,https://www.facebook.com/weareotv/videos/367593253447177/,"Are you ready for the future of indie #television? Check out the first teaser from #OpenTVPresents: &quot;Nupita Obama Creates Vogua&quot; starring the ultra-cunty Mister Wallace. Premiering soon! 

**Open TV Presents are independent pilots about artists exploring alternative relationships. More sassy updates coming your way. Be excited. #queer #makeyourown #voguing #yoga

Watch the episode now! https://vimeo.com/134807299

Music by: Mister Wallace",Video,,,03/16/2015 09:10:31 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54888,47,34.0,12.0,
357045034501999_366826073523895,https://www.facebook.com/weareotv/posts/366826073523895,"Who is ready for the #premiere of &quot;Cucumber and Banana&quot; next month? This new series explores the complexities associated with being young and gay today! Here's a little sneak peek of what is in store for your viewing pleasure. 
http://buff.ly/1F44niN #queer #television",Link,,,03/13/2015 01:45:08 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,3.0,None
357045034501999_366215106918325,https://www.facebook.com/weareotv/posts/366215106918325,"A Special cheers to the premiere of Sam Bailey's story, exquisitely crafted by her writing, Sam Lee’s music, Vincent Martell’s styling, and Artful Enough Pictures’ photography. We're currently in the process of developing season two! Much more to follow! Get involved over at www.weareopen.tv/intervene #youresotalented #opentv #opentvoriginals #indieTV #makeyourown #blackisbeautiful #naturalhair
https://vimeo.com/121810540",Link,,,03/11/2015 03:38:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,None
357045034501999_366216313584871,https://www.facebook.com/weareotv/posts/366216313584871,Netflix attempts to change the way we stream online #content. We believe in inspiring people not to binge television but rather take pride in exploring well-crafted bits of life that motivate us to seek other forms of engagement. What are your thoughts on binge watching? How can we make TV more open? http://buff.ly/1AjQWEW via Cinema Blend #opentv #indie #television #network #audience #development,Link,,,03/11/2015 02:43:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_366213176918518,https://www.facebook.com/weareotv/posts/366213176918518,"Today we debuted #OpenTVOriginals with You're So Talented ! Join us as we celebrate this beautiful slice of life story about a young artist struggling creatively and romantically. What are you waiting for? Watch it! SHARE it! Ring the alarm and make sure to keep up with Bae's life every other Wednesday! We're currently streaming &quot;Chapter One&quot; exclusively over at http://buff.ly/1aXM6It

 #YoureSoTalented #OpenTV #makeyourown #blackisbeautiful #naturalhair #weareopentv #indie #webseries",Link,,,03/11/2015 12:25:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,YST
