Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_1048247662048396,https://www.facebook.com/weareotv/posts/1048247662048396,"Just Call Me Ripley is a coming out story where nobody cries! This comedic web series centers on Ripley who’s group of diverse, queer, wacky friends will support her no matter what she decides about her sexuality - but that doesn’t always make things easier... (Ok maybe there’s a little crying).

The series is created by Shannon Noll and is #nowstreaming at https://www.weareo.tv/originals/justcallmeripley",Video,,,06/14/2019 10:55:36 AM, ,301,301,0,414,414,0,14,10,12,0,0,362,268,0,0,9,1,1,0,0,95,97,0,0,6417,90473,,7.0,,,7.0,,6,3.0,,3.0,6,3.0,,3.0,,,,,JCMR
357045034501999_1047622928777536,https://www.facebook.com/weareotv/posts/1047622928777536,"&quot;I’m shouting from the rooftops about the rest of the Cycle 4 OTV Season, because there’s so much to love.&quot; - Mia McCullough does a fantastic overview of our 2019 slate!",Link,,,06/13/2019 02:48:35 PM, ,807,807,0,1093,1093,0,62,31,44,0,0,700,517,0,0,46,0,0,0,0,0,0,0,0,0,0,5,40.0,,5,42.0,,19,18.0,,,26,18.0,,,,,,,None
357045034501999_1047594432113719,https://www.facebook.com/weareotv/posts/1047594432113719,"In Night Night, a series by Nyne Blackmon, a recovering alcoholic gets blackmailed into contract killing to save his family from scandal, shaking his hold over his sobriety and his life in general.

You can stream #NightNightseries now are weareo.tv/originals/nightnight",Video,,,06/13/2019 01:40:47 PM, ,434,434,0,597,597,0,30,22,33,0,0,282,190,0,0,12,28,31,0,0,198,237,0,0,10728,51731,2,10.0,4.0,2,14.0,7.0,16,3.0,,7.0,23,3.0,,7.0,,,,,NN
357045034501999_1046898378849991,https://www.facebook.com/weareotv/posts/1046898378849991,"Conspiracy Theorist Webseries premieres Wednesday, June 12 at 7pm CST! Join our watch party live or join us in person at Reunion Chicago.

In Conspiracy Theorist Webseries, Renee Hawthorne is a third year doctoral candidate enrolled in a top ranked (neuro)psychology program when her life is derailed by a psychotic breakdown.

The series is created by Rebba Amaris and directed by Kelechi Agwuncha.",Status,,,06/12/2019 05:02:50 PM, ,290,290,0,454,454,0,19,12,27,0,0,281,167,0,0,14,0,0,0,0,44,0,0,0,0,0,1,9.0,1.0,1,9.0,1.0,12,,,,27,,,,,,,,RN
357045034501999_2386027611678331,https://www.facebook.com/weareotv/videos/2386027611678331/,"Conspiracy Theorist Webseries premieres Wednesday, June 12 at 7pm CST! Join our watch party live or join us in person at Reunion Chicago. 

In Conspiracy Theorist, Renee Hawthorne is a third year doctoral candidate enrolled in a top ranked (neuro)psychology program when her life is derailed by a psychotic breakdown.

The series is created by Rebba Amaris and directed by Kelechi Agwuncha.",Video,,,06/12/2019 05:00:06 PM, ,2511,2511,0,4031,4031,0,263,236,395,0,0,1082,378,0,0,75,23,27,0,0,822,1194,0,0,29580,1063123,12,60.0,9.0,13,94.0,22.0,138,,,118.0,247,,,148.0,,,,,RN
357045034501999_1046887465517749,https://www.facebook.com/weareotv/posts/1046887465517749,"“I started the project to solve this issue: Why, if we can watch an artist’s work online from anywhere, does an artist have to go to LA to work in television?” said Aymar Jean Christian, OTV founder and assistant professor of communication studies at Northwestern University.&quot;

Thank you The Field Foundation of Illinois for awarding us this amazing $50,000 grant!",Link,,,06/12/2019 04:39:50 PM, ,1818,1818,0,2825,2825,0,390,212,280,0,0,2214,1396,0,0,267,0,0,0,0,0,0,0,0,0,0,16,246.0,18.0,16,263.0,19.0,118,122.0,,,159,121.0,,,,,,,None
357045034501999_1046843605522135,https://www.facebook.com/weareotv/posts/1046843605522135,"We're celebrating the end of a cycle with an evening chock full of programming! Tonight we have the premiere of Kissing Walls, Yogma season 2, Conspiracy Theorist Webseries, and Aliens in America. 

As always, this event is completely free. We will also have a donations based bar with beer and wine and some snacks. See you in an hour and don't forget to RSVP!",Link,,,06/12/2019 02:57:02 PM, ,68,68,0,106,106,0,2,0,0,0,0,90,59,0,0,2,0,0,0,0,0,0,0,0,0,0,,2.0,,,2.0,,,,,,,,,,,,,,YMA
357045034501999_1046795965526899,https://www.facebook.com/weareotv/posts/1046795965526899,"Created by Rebba Amaris and directed by Kelechi Agwuncha. 

Renee Hawthorne is a third year doctoral candidate enrolled in a top ranked (neuro)psychology program when her life is derailed by a psychotic breakdown.",Status,,,06/12/2019 01:17:16 PM, ,321,321,0,416,416,0,3,2,3,0,0,238,176,0,0,2,0,0,0,0,0,0,0,0,0,0,1,,,1,,,2,,,,3,,,,,,,,RN
357045034501999_1044569072416255,https://www.facebook.com/weareotv/posts/1044569072416255,"Just Call Me Ripley is LIVE! Enjoy this joyful coming out story 🌨☁️🌈🌤☀️✨

https://www.weareo.tv/originals/justcallmeripley",Link,,,06/09/2019 08:33:25 AM, ,415,415,0,553,553,0,12,8,9,0,0,515,385,0,0,11,0,0,0,0,0,0,0,0,0,0,,7.0,,,7.0,,2,6.0,,,3,6.0,,,,,,,JCMR
357045034501999_1041872109352618,https://www.facebook.com/weareotv/posts/1041872109352618,"The Chicago Reader gives Shannon Noll a massive profile about them and their series premiering Saturday! Info: Just Call Me Ripley Premiere

&quot;I've been realizing how that gray area that a lot of human sexuality and gender fits in isn't really represented in media,&quot; Noll says. &quot;I'm hoping this series starts to fill that gap in some way.&quot;

Brianna Wellen writes &quot;Noll describes the series as a coming-out story without the tears. Well, there are some tears, and some moments that tug at your heartstrings, but those are offset with over-the-top characters, nonsensical jokes, and moments of awkwardness. Each episode is charming and authentic, but there's always a punch line that keeps things from getting too sappy and plenty of delightfully hilarious digs at the world of improv comedy.&quot;",Link,,,06/05/2019 11:27:10 AM, ,612,612,0,873,873,0,69,53,88,0,0,821,576,0,0,67,0,0,0,0,0,0,0,0,0,0,3,24.0,,3,25.0,,38,17.0,,,70,18.0,,,,,,,JCMR
357045034501999_1041095512763611,https://www.facebook.com/weareotv/posts/1041095512763611,"In #NightNight created by Nyne Blackmon, a recovering alcoholic gets blackmailed into contract killing to save his family from scandal, shaking his hold over his sobriety and his life in general.

It premieres tomorrow at 7pm CST on weareo.tv. Join us at the premiere party at Reunion Chicago tomorrow.",Link,,,06/04/2019 09:17:51 AM, ,115,115,0,157,157,0,6,5,6,0,0,126,93,0,0,6,6,7,0,0,22,0,0,0,0,0,,1.0,,,1.0,,5,1.0,,,5,1.0,,,,,,,None
357045034501999_1028056147400881,https://www.facebook.com/weareotv/posts/1028056147400881,"Head out to The Doc Talk Show tomorrow (Sunday) to see and meet Sarah Minnie, the fantastic co-producer of the The Right Swipe!",Link,,,06/01/2019 09:00:01 AM, ,534,534,0,727,727,0,32,21,24,0,0,323,220,0,0,14,0,0,0,0,0,0,0,0,0,0,2,14.0,,2,15.0,,13,9.0,,,15,9.0,,,,,,,TRS
