Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
357045034501999_408011419405360,https://www.facebook.com/weareotv/posts/408011419405360:0,"TOMORROW at NOON! 

&quot;#NUPITAOBAMA Creates Vogua&quot; makes her way to a screen near you. 

www.weareopen.tv",Photo,,,07/28/2015 10:00:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_408009612738874,https://www.facebook.com/weareotv/posts/408009612738874,"Do yourself a favor and check out Whatever Spectrum on SoundCloud. These musical delights are the masterminds behind the soundtrack of our original series, You're So Talented! https://soundcloud.com/whatever-spectrum",Link,,,07/28/2015 08:29:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,YST
357045034501999_406737499532752,https://www.facebook.com/weareotv/posts/406737499532752,"Our head of communications and design wrote this beautiful piece on QUEER, ILL, &amp; OKAY! Tonight is the last night for you to see this spectacular event. DO NOT MISS OUT! http://www.aidschicago.org/page/news/inside-story/two-artists-from-queer-ill-okay-share-their-truths-about-navigating-taboo",Link,,,07/25/2015 12:39:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,None
357045034501999_406740802865755,https://www.facebook.com/weareotv/posts/406740802865755,"A special thanks to Saya Naomi and Latham Owen Zeafross for hosting a beautiful evening w/ Miss #NUPITAOBAMA at Canvas! 

These photos are golden! YAAAAASSS to disposable cameras, bougie nail stations and a series of shady events.",Photo,,,07/24/2015 12:50:35 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,None
357045034501999_406738799532622,https://www.facebook.com/weareotv/posts/406738799532622:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:36:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_406738802865955,https://www.facebook.com/weareotv/posts/406738802865955:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:36:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_406738796199289,https://www.facebook.com/weareotv/posts/406738796199289:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:36:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_406738406199328,https://www.facebook.com/weareotv/posts/406738792865956:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:34:20 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,None
357045034501999_406737719532730,https://www.facebook.com/weareotv/posts/406737719532730:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:30:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_406737722866063,https://www.facebook.com/weareotv/posts/406737722866063:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:30:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
