Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_484484085091426,https://www.facebook.com/weareotv/posts/484484085091426,"&quot;We see a black girl rising to womanhood as she tries to define her art in her own voice. Bea Freeman has proven to be the next big spokeswoman for the carefree alternative black girl since Issa Rae as she tries to find her niche within the independent art industry where everyone’s trying to make it.&quot; -- Deja Jones, Blavity #youresotalented #weareopentv",Link,,,04/30/2016 02:42:39 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,6.0,,,,,,,,,,None
357045034501999_483620405177794,https://www.facebook.com/weareotv/posts/483620405177794,Windy City Times says #LipstickCity &quot;features the majority of Chicago's finest drag performers.&quot; Don't miss the premiere and the stars Sunday at Smartbar Chicago/GMan Tavern!,Link,,,04/28/2016 07:00:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,8.0,,,,,,,,,,None
357045034501999_483520958521072,https://www.facebook.com/weareotv/posts/483520958521072,"King is a Fink Productions and Off Center Project team up to bring you #OnTheVerge! 

On the Verge explores gender, race, class, and labor through an unconventional pas de deux in which two women - one black, one white - dance together in a gritty, post-industrial landscape.

Watch &amp; Share video below! 
#opentvcommunity #weareopentv #kingisafink #offcenterproject

Choreographed by Paige Cunningham Caldarella
Directed &amp; Edited by Jessica King
Starring: Keesha Beckford &amp; Jess Duffy
Produced by Off Center Chicago &amp; King is a Fink Productions

https://vimeo.com/160674297",Link,,,04/27/2016 09:27:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,4.0,,,,,,,,,,OV
357045034501999_483164291890072,https://www.facebook.com/weareotv/posts/483164291890072,"The series finale of BRONX CUNT TOUR is LIVE on #OpenTV!

Tune in as emerging artist NIC Kay takes solo performance #lilBLK on the road in the BRONX CUNT TOUR.

Stream Episodes 1-5 at: 
www.weareopen.tv/open-tv-originals/thebronxcunttour

Watch Episode 5 below! 
#weareopentv #OpenTVOriginals #OpenTVCommunity",Link,,,04/26/2016 07:58:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,4.0,,,,,,,,,,BCT|BCT
357045034501999_482939298579238,https://www.facebook.com/weareotv/posts/482939298579238,"TOMORROW(4/26)! 
Watch the series final of NIC Kay's series BRONX CUNT TOUR exclusively at weareopen.tv/bct!

Catch up with Episodes 1-4 here:
www.weareopen.tv/open-tv-originals/thebronxcunttour

#lilblk #weareopentv #opentvoriginals #opentvcommunity",Link,,,04/25/2016 12:57:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,6.0,,,,,,,,,,BCT
357045034501999_482901705249664,https://www.facebook.com/weareotv/videos/482901705249664/,"This Sunday (5/1) we're debuting the world premiere of Shea Couleé's short-film, #LipstickCity at Soho House Chicago.  

Special guests will be invited for a special screening in the music room at Soho House from 7-11pm along with featured performances by Valentine Addams, Lucy Stoole, DidaRitz and the inimitable Shea Couleé. Beats will provided by the one and only Ariel Zetina.

You should obviously join us at the official after party, where we will be screening the film at GMan Tavern at 11PM, 11:30PM and 12AM before we dance at Queen! the Lipstick City After Party with Michael Serafini / Garrett David / Hosts Lucy Stoole &amp; Jojo Baby / Shea Coulee / Valentine Addams  &lt;3 &lt;3 &lt;3 

#opentvpresents #weareopentv #opentvcommunity",Video,,,04/25/2016 09:32:19 AM, ,11473,7091,0,18243,8995,0,647,581,957,1,1,2160,465,0,0,76,403,438,0,0,1691,2051,0,0,0,50835,36,220.0,25.0,39,308.0,32.0,98,521.0,3.0,110,816.0,3.0,1,1,LC
357045034501999_481101582096343,https://www.facebook.com/weareotv/posts/481101582096343,"Episodes 1-4 of BRONX CUNT TOUR are LIVE on #OpenTV!

Tune in as emerging artist NIC Kay takes solo performance #lilBLK on the road in the BRONX CUNT TOUR.

Stream Episodes 1-4 at: 
http://www.weareopen.tv/open-tv-originals/thebronxcunttour

Watch Episode 4 below: 
#weareopentv #OpenTVOriginals #OpenTVCommunity",Link,,,04/22/2016 08:04:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1.0,,,,,,,,,,BCT|BCT
357045034501999_481735702032931,https://www.facebook.com/weareotv/posts/481735702032931,"Thanks WUSSY MAG for covering NIC Kay and #lilBLK! 

&quot;I am a mover....

I am interested in the symbolic nature of the performative act of moving ones body.

I am deeply invested in and often obsessed with the act and process of moving, the change of place, production of space, position, and the clarity/meaning gleaned from the shifting of perspective. My practice is rooted in harnessing the power of movement as a mode of reclamation: of the body, story, identity, and truth.&quot;",Link,,,04/21/2016 09:14:21 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2.0,,,,,,,,,,None
357045034501999_481102262096275,https://www.facebook.com/weareotv/posts/481102262096275,"YOU'VE BEEN MAKING WEB SERIES IN CHICAGO PERHAPS LONGER THAN ANYONE ELSE. WHAT HAS KEPT YOU MAKING WORK HERE? 

Here in #Chicago, we have an excellent crew: they’re like a small extended family, and there is such a wealth of talent in terms of actors, comedians, and dancers. We also like that, at least in terms of independent projects, there are more open ways of doing things here than in other cities.

We once hosted a group of L.A. actors for a shoot, and they were completely flummoxed by the way we worked, from our small yet effective crews, to the fact that everyone on set was considered (and treated) equally. In more rigidly codified environments, it’s harder to alter the system. Though, I hear Jill Soloway is dismantling the way things are done quite a bit on the set of Transparent, and we hope to see more of that: sets that are inclusive and supportive, making the most of each person’s true skills rather than labeling them and keeping them in a certain role.

Spotlight on King is a Fink Productions in the #OpenTVCommunity 

Watch Season One of #FullOutSeries exclusively on #OpenTV. 
http://www.weareopen.tv/open-tv-originals/fullout",Link,,,04/20/2016 09:08:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9.0,,,,,,,,,,None
