Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Project ID
357045034501999_654050304801469,https://www.facebook.com/weareotv/posts/654050304801469,OTV - Open Television,Photo,,,06/22/2017 11:08:20 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,OTV
357045034501999_653178618221971,https://www.facebook.com/weareotv/posts/653178618221971,Welcome Ashley Ray and Jordy Marilyn! So excited to share what you've come up with!,Photo,,,06/20/2017 11:07:16 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,,,,,None
357045034501999_653172424889257,https://www.facebook.com/weareotv/posts/653172424889257,No Coast Cinema does a deep dive into Afternoon Snatch with creators Ruby Western and Kayla Ginsburg! #AfternoonSnatch,Link,,,06/20/2017 10:42:36 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,10,,,,,,,,,,,AS
357045034501999_652857708254062,https://www.facebook.com/weareotv/posts/652857708254062,OTV - Open Television,Photo,,,06/19/2017 04:16:07 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,OTV
357045034501999_652796428260190,https://www.facebook.com/weareotv/posts/652796428260190,"We gettin academic up in this piece. Get you a girl who can do both. 

&quot;In this free workshop, Dr. Aymar Jean Christian, founder of Open TV (beta), introduces researchers to a framework for crafting arts- and community-based projects that provide robust data and narratives for scholarly publication, meaningful resources to communities, experimentation in artistry, the possibility for critique in both method and theory. 

The session will use Open TV (beta), a platform for web-based, local, intersectional television as a springboard to discussing the practice of public, engaged, and critical research. &quot;",Link,,,06/19/2017 12:03:07 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1.0,,,,,,,,,,OTV|OTV
357045034501999_652770401596126,https://www.facebook.com/weareotv/posts/652770401596126,"Catch us for one our last events of the season before our annual hiatus! 

Join OPEN TV - beta for the first public preview of the second season of Two Queens in a Kitchen (#2QIK), a turn-to-relevance cooking show featuring Chicago’s queens and queers discussing family, home, politics, culture, and art while making a healthy snack. Expect to feel right at home as we close out Pride&amp;Power, Reunion Chicago’s monthlong celebration of queer-centered programming. Bring a snack, a bottle of your favorite booze, and your Summer boo and lets Kiki down with Chicago’s most fly queers and queens on the scene!",Link,,,06/19/2017 10:33:23 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,TQIK
357045034501999_652021365004363,https://www.facebook.com/weareotv/posts/652021365004363,"#BrownGirlsTV screens this week at the #Frameline41 film festival! The festival graciously reviewed it: 

&quot;From expert exiting of dates with the skill of a thousand unapologetic, sex-positive, no-time-for-nonsense black feminists, to coming for your sorta-ex-bae’s date at a party, to deciding just when you’re going to fight for your own happiness, Brown Girls features layered and personal storylines. With moments of laugh-out-loud hilarity coupled with challenging conversations with chosen and blood family, the season ultimately strikes a steady note throughout episodes that are as varied as the main characters themselves.&quot;",Link,,,06/17/2017 03:23:29 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,1.0,,,,,,,,,,BG
357045034501999_651538398385993,https://www.facebook.com/weareotv/posts/651538398385993,"Thank you to our latest backers taking us over $5K, including Open TV advisory committee member Christopher Audain, along with Allison Glenn, Miles Grier, Mark Thiel​, Patrick Hilsman, Michael Smith, Adrienne Shaw, Alexandrina Agloro, Andrew Griffin, &amp; Kevin Gotkin!

Thank you for supporting our experimental TV show #SerialDreamer! 3arts.org/projects/serial-dreamer",SharedVideo,,,06/16/2017 02:04:26 PM, ,133,59,0,220,101,0,10,7,17,0,0,134,78,0,0,8,0,0,0,0,44,53,0,0,0,172670,3,,,3,,,7,1.0,,16,1.0,,,,OTV
357045034501999_651007108439122,https://www.facebook.com/weareotv/posts/651007108439122,"WTTW - Chicago PBS explores what the Brown Girls/HBO deal means for Chicago and Hollywood's openness to diversity. Thanks Nicole Cardos!

On #Hollywood:
“The industry, historically, has been so afraid of identities that can’t be easily translated to a mainstream narrative,” Aymar Jean Christian said. “The lesson is to tell a good story with interesting characters who ring true to the people who are represented. It’s actually that simple.”

On #Chicago:
“I feel like Chicago has always been a place where you can semi-afford it still, still do your art outside of your day job in the way that LA and New York kind of doesn’t allow that,” Samantha Bailey said. “Chicago kind of sets that up and gives those characters a chance to figure things out in a way that if they lived in one of the cities we’re used to seeing on TV, it wouldn’t be as authentic.”",Link,,,06/15/2017 10:36:16 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,8,,,,,,,,,,,None
357045034501999_650984721774694,https://www.facebook.com/weareotv/posts/650984721774694,OTV - Open Television,SharedVideo,,,06/15/2017 10:05:39 AM, ,181,88,0,353,180,0,14,13,16,0,0,342,171,0,0,14,0,0,0,0,29,31,0,0,0,172670,3,,,4,,,13,1.0,,15,1.0,,,,OTV
