Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
357045034501999_618870671652766,https://www.facebook.com/weareotv/posts/618876231652210:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:15:48 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618870588319441,https://www.facebook.com/weareotv/posts/618876241652209:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:15:44 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618870444986122,https://www.facebook.com/weareotv/posts/618876248318875:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:15:33 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618870144986152,https://www.facebook.com/weareotv/posts/618876181652215:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:15:08 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618870021652831,https://www.facebook.com/weareotv/posts/618876184985548:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:14:56 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1.0,,,,,,,,FR
357045034501999_618869701652863,https://www.facebook.com/weareotv/posts/618876228318877:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:14:33 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,,,FR
357045034501999_618869324986234,https://www.facebook.com/weareotv/posts/618876261652207:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:14:11 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618869191652914,https://www.facebook.com/weareotv/posts/618876188318881:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:14:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618868931652940,https://www.facebook.com/weareotv/posts/618876204985546:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:45 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,FR
357045034501999_618868831652950,https://www.facebook.com/weareotv/posts/618876208318879:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:41 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618868748319625,https://www.facebook.com/weareotv/posts/618876211652212:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:37 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618868578319642,https://www.facebook.com/weareotv/posts/618876221652211:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:32 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,FR
357045034501999_618868534986313,https://www.facebook.com/weareotv/posts/618876281652205:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:30 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,FR
357045034501999_618868514986315,https://www.facebook.com/weareotv/posts/618876178318882:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,FR
357045034501999_618868498319650,https://www.facebook.com/weareotv/posts/618876278318872:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,FR
357045034501999_618868458319654,https://www.facebook.com/weareotv/posts/618876258318874:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:26 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,FR
357045034501999_618868371652996,https://www.facebook.com/weareotv/posts/618876174985549:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:23 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618868328319667,https://www.facebook.com/weareotv/posts/618876264985540:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:22 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,FR
357045034501999_618868238319676,https://www.facebook.com/weareotv/posts/618876201652213:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:18 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,FR
357045034501999_618868071653026,https://www.facebook.com/weareotv/posts/618876218318878:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:10 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,FR
357045034501999_618867961653037,https://www.facebook.com/weareotv/posts/618876224985544:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:05 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,FR
357045034501999_618867871653046,https://www.facebook.com/weareotv/posts/618876268318873:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:13:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,FR
357045034501999_618867768319723,https://www.facebook.com/weareotv/posts/618876238318876:0,"The Furies Premiere March 29, 2017",Photo,,,04/05/2017 10:12:58 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,FR
357045034501999_615880528618447,https://www.facebook.com/weareotv/posts/615880528618447,"Now Presenting: The Furies by King is a Fink Productions, a series of 5 dance films that explore how social prohibitions against female anger limit self-actualization for women.

EPISODE 5: ELLE starring Jess Duffy

Elle’s about to go on stage. There’s a critic in the audience. There’s an old instructor and an ex boyfriend. Her past is in the the audience. Her future could be in the audience. And in her mouth, there’s a shard of tooth. Elle’s molar broke this morning. She knew it was coming, knew she should see her dentist, had meant to make an appointment, but then she hadn’t, and then her tooth broke. In class. Her tooth broke while she was teaching Intermediate Ballet to middle schoolers in the Northern suburbs. Elle didn’t make a sound. She didn’t make a face. She didn’t miss a step. She held that tooth shard in her mouth, tonguing the sharp edges until the end of class, through the thank yous and goodbyes, through the conversation with her manager, through the talk with the new girl who she needs to train. Then on the train, not to the dentist but to her second job, this job, the one that’s putting her on stage, because the show must go on. She could spit out the tooth shard, but she doesn’t. She could put it in a piece of tissue, but she doesn’t. Elle holds her tooth under her tongue, the taste of metal and rot spreading all of the way through the performance, all of the way to the applause. When the show is over, Elle will do an interview with her disaster tucked between cheek and gums. The more she talks, the more the shard slices, carnage of the most private order. She will sign autographs and relish the coppery tang of blood. And after everyone else is gone, as she’s leaving, the costume mistress will ask if everything is all right, and Elle will say yes.

#FuriesDance",Link,,,03/30/2017 12:16:12 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,,,FR
357045034501999_615880175285149,https://www.facebook.com/weareotv/posts/615880175285149,"Now Presenting: The Furies by King is a Fink Productions, a series of 5 dance films that explore how social prohibitions against female anger limit self-actualization for women.

EPISODE 4: HANNAH starring Gabrielle Del Re

Hannah’s stomach is in knots. Maybe it’s because her youngest daughter hasn’t slept in three weeks. Maybe it’s because Hannah hasn’t slept in six. Yes. So perhaps it’s because she’s tired, and there’s barely enough time to drop off her eldest at school and then her youngest at daycare before she has to be at work so that she can teach all the other mothers’ children. Maybe it’s because she’s tired and she doesn’t have enough time, and she doesn’t even like that work. Yes. It may be because she’s tired and doesn’t have enough time and doesn’t have enough money, and all she wanted to be was a dancer, and then all she wanted to be was a mother, and now she doesn’t have to time to be either. Maybe it’s because on the one day that her husband promised to watch the kids while she took class for herself, he showed up mid-class and dropped off the kids because they were too fussy. Maybe it’s because she’s tired, and she’s driving, and she’s putting carrots into baggies and begging the babysitter not to let her daughter sleep all day. Maybe it’s because she’s on the move but not moving. Hannah is a thing that needs to be moving in the world, constantly, spinning on her feet and feeling air on her face, dancing, dancing, not driving. Maybe it’s because she’s not dancing. Yes.

#FuriesDance",Link,,,03/30/2017 12:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,,,,FR
357045034501999_615879785285188,https://www.facebook.com/weareotv/posts/615879785285188,"Now Presenting: The Furies by King is a Fink Productions, a series of 5 dance films that explore how social prohibitions against female anger limit self-actualization for women.

EPISODE 3: SYDNEY starring Porscha Spells

Sydney heard the woman scream in the alley. Her boyfriend said it was more of a yelp than a scream. He told her to calm down. But how do you calm down when you hear someone being hurt? While they bickered over the meaning of words, Sydney heard a man call the woman a bitch, the woman cry as if struck, the man tell the woman to get up and stop causing a scene, the woman say ‘ow,’ weakly, then silence. By the time Sydney got to the window, there was no woman in the alley, no man, no evidence of a crime, nothing to call the police about. By the time Sydney got to the window, she knew her boyfriend wasn’t the one, that this would be their last night together, perhaps her last night with anyone. By the time Sydney got to the window, she knew that the price of being right is often being alone.

#FuriesDance",Link,,,03/30/2017 11:45:20 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,1.0,,,,,,,,FR
357045034501999_615884378618062,https://www.facebook.com/weareotv/posts/615884378618062,"#TeamShea ! 

See more of her brilliance in her short film #LipstickCity 

IN THE WORLD OF LIPSTICK CITY MISS COULEÉ AND SHEA EXACT REVENGE ON MISS COULEÉ'S UNFAITHFUL HUSBAND. http://www.weareopen.tv/open-tv-presents/lipstickcity",Link,,,03/30/2017 11:33:13 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,11,,,,,,,,,LC
357045034501999_615878518618648,https://www.facebook.com/weareotv/posts/615878518618648,"Now Presenting: The Furies by King is a Fink Productions, a series of 5 dance films that explore how social prohibitions against female anger limit self-actualization for women.

EPISODE 2: DANI starring Kaitlin Webster

There’s a moment in the life of each hermit crab when they outgrow their shells, all of a sudden: one moment they fit, one moment they don’t. Shell-less. Home-less. Naked. They abandon their former shells to look for a new shell, not because they planned to, but because they have no choice but to. They are slightly bigger now, more them than they were before, and this requires a bigger shell, slightly, one that will allow them room to breathe, the ability to look a little stronger, a little less like prey. And for this to work, several hermit crabs need to abandon their shells at the exact same time. A literal shell-game ensues, like musical chairs only without the music and with shells instead of chairs. And just like in musical chairs, there’s always one hermit crab who will end up shell-less. Dani? She’s between shells.

#FuriesDance",Link,,,03/30/2017 11:25:11 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,FR
357045034501999_615878115285355,https://www.facebook.com/weareotv/posts/615878115285355,"Now Presenting: The Furies by King is a Fink Productions, a series of 5 dance films that explore how social prohibitions against female anger limit self-actualization for women.

EPISODE 1: GEMMA starring Kate Kislingbury 

Physicists of the quantum mechanic variety, not the Einstein variety - get with the program - posit that where there is time, there is heat. Per this way of thinking, if you were to film the moon traveling around the earth and then play it in reverse, both versions would appear to adhere equally to the laws of physics, and thus exist outside of time. No heat, no time. Alternately, if you were to film a notebook being tossed onto a table and then watch that movie in reverse, what you’d see is something startling — a notebook possessed, leaping into someone’s hand. This, physicist Carlo Rovelli claims, is about time. When the notebook stops, it heats the table, because there’s friction, and thus, “the direction of time has to do with the presence of heat.” That moon movie is cold; the notebook, that inconsequential, oft abandoned thing, is white hot, at least in the context of this example. Einstein would not approve.

And so. Gemma, who had spent years avoiding heat, gliding forward as prescribed and predestined, meeting expectations but not exceeding them, in a life that looked the same forward or backward, is now flying, and therefore, causing heat, and therefore, causing time to fly. Gemma decided to speak. Gemma decided to demand to be heard. Gemma decided not to hide in the back, or to make herself small, or to make herself too scared to ask a question, or to make herself too scared to say exactly what her time was worth. And now, for the first time, Gemma is a happening in time. She is friction. She is heat. She has hurled herself toward change, toward chance, toward a better life, and she has hit the floor face first. Gemma is skidding, floor-burning to a stop. If you reverse this footage of her, she is not a bird flying backward: she is a witch. Gemma just might burn through the floor and through the other side of the world, she is so heavy with time.

#FuriesDance",Link,,,03/30/2017 11:04:40 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,FR
357045034501999_615828958623604,https://www.facebook.com/weareotv/posts/615828958623604,"The Furies by King is a Fink Productions is LIVE on our site now! Enjoy this series of five dance films about female rage. 

Thank you to everyone who came out last night to the Furies Premiere, the recorded livestreams of the performances featuring  Jess Duffy Kaitlin Webster, Alyssa A. Gregory, Porscha Spells, and Kelsey Reiter and the Q&amp;A are in the videos section of our page. 

Stay tuned for our next screening on April 11th: Open TV Presents: 195 Lewis Chicago Preview ft. Nappy Nina &amp; YCA

#FuriesDance",Link,,,03/30/2017 08:29:12 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,4.0,,,,,,,FR|FR
357045034501999_615543258652174,https://www.facebook.com/weareotv/videos/615543258652174/,,Video,,,03/29/2017 05:31:13 PM, ,511,479,0,810,760,0,13,13,33,0,0,446,247,0,0,9,1,1,0,0,54,68,0,0,0,1454166,2,1.0,,3,2.0,,6,7.0,,15,9.0,,
357045034501999_615533365319830,https://www.facebook.com/weareotv/videos/615533365319830/,The Furies Premiere,Video,,,03/29/2017 04:52:19 PM, ,580,542,0,922,866,0,13,13,18,0,0,526,302,0,0,11,7,8,0,0,72,85,0,0,0,165120,3,1.0,,4,1.0,,5,9.0,,6,11.0,,FR
357045034501999_615479715325195,https://www.facebook.com/weareotv/posts/615479715325195:0,Inertia Premiere,Photo,,,03/29/2017 12:44:26 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,IN
357045034501999_615474651992368,https://www.facebook.com/weareotv/posts/615474651992368,"Watch Inertia by Brandon Markell Holmes now!

Inertia is an exploration of black thought, existence &amp; trauma ; through the lens of [MODERN Technological Narcissism]&amp;[The Civil Rights Movement] - into the premature journey of Black JOY , acceptance, Existential tyranny , Religion , Binary Codes and digital spaces of the Queer Black future.",Link,,,03/29/2017 12:29:19 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,IN|IN
357045034501999_615469771992856,https://www.facebook.com/weareotv/posts/615469771992856,The pictures from the Open TV Presents: Inertia Premiere are here! All photos by Alexus McLane!,Photo,,,03/29/2017 12:07:03 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,IN
357045034501999_614197618786738,https://www.facebook.com/weareotv/posts/614197618786738,"Great profile of the team behind 195 Lewis, which we'll be previewing exclusively in Chicago April 11! 

RSVP: Open TV Presents: 195 Lewis Chicago Preview ft. Nappy Nina &amp; YCA",Link,,,03/26/2017 10:58:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,9,,5.0,,,,,,,
357045034501999_613421045531062,https://www.facebook.com/weareotv/posts/613421045531062,OTV - Open Television,Link,,,03/24/2017 10:34:17 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,,,OTV
357045034501999_613317342208099,https://www.facebook.com/weareotv/videos/613317342208099/,Brandon Markell Holmes Inertia Q&amp;A,Video,,,03/24/2017 05:41:32 PM, ,546,538,0,849,835,0,10,9,21,0,0,434,247,0,0,6,1,1,0,0,30,36,0,0,0,1022720,1,1.0,,1,1.0,,6,6.0,,9,8.0,,IN
357045034501999_613199822219851,https://www.facebook.com/weareotv/posts/613199822219851,"See you tonight for the Inertia Premiere! 

Hello Lauren Ash of Party Noire and Black Girl In Om will be kicking off the evening with a short introduction. Stay tuned for a performance from Brandon Markell Holmes, a short documentary on Sam Harris, the screening of Inertia and a Q&amp;A!",Link,,,03/24/2017 10:28:50 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,IN|IN
