Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_756854444521054,https://www.facebook.com/weareotv/posts/756854444521054,"Kate Royal, creator and writer of #InRealLife, will debut a new play as a reading tomorrow at the Den Theatre!",Link,,,02/18/2018 06:48:14 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,,,,,,,,,,None
357045034501999_756811064525392,https://www.facebook.com/weareotv/posts/756811064525392,"&quot;Chicago artists do it for the love. We do it for the passion. We do it because it makes us who we are. And that’s so cool. Nowadays, so much is about status and money, but in Chicago people are still being creative and ego-less. It’s very beautiful to see.&quot; - Brandon Markell Holmes",Link,,,02/18/2018 03:58:03 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.0,,,,,,,,,,None
357045034501999_754828008057031,https://www.facebook.com/weareotv/posts/754828038057028:0,OTV - Open Television,Photo,,,02/14/2018 04:32:05 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7.0,,,,,,,,,,OTV
357045034501999_754778704728628,https://www.facebook.com/weareotv/posts/754778704728628,OTV - Open Television updated their website address.,Link,,,02/14/2018 01:17:16 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,,,,,,,,,,OTV
357045034501999_754698238070008,https://www.facebook.com/weareotv/posts/754698238070008,"Happy Valentine's Day to all of y'all. Live your best life today and always. Shout out to #opentvcommunity fam Aasia LaShay Bullock for this 🔥🔥🔥

See more of her brilliance in her web series #StarvingArtists co-created with Dewayne Perkins here: https://vimeo.com/channels/starvingartists.

Keep up with our news and premieres here: weareopen.tv/program
#BlackHistoryMonth",SharedVideo,,,02/14/2018 10:14:48 AM, ,84,84,0,135,135,0,5,0,0,0,0,99,57,0,0,4,0,0,0,0,30,34,0,0,0,178067,,5.0,,,6.0,,,,,,,,,,None
357045034501999_754357061437459,https://www.facebook.com/weareotv/posts/754357061437459,"#BlackHistoryMonth spotlight on M Shelly Conner:

When Shelly's not working on Quare Life Web Series - premiering this cycle!- she runs Quare Square. Quare Square is a collective of black queer creatives in Chicago, and Quare Square Open Mic, a weekly night of stand up and other artists at The Jeffery Pub in South Shore.

Watch the trailer for Quare Life here, written by M Shelly Conner, directed by Jessica King of King is a Fink Productions: https://www.youtube.com/watch?v=EBJf9Nh16E4",Photo,,,02/13/2018 07:02:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,4.0,,,,,,,,,,QL|QL
357045034501999_754351628104669,https://www.facebook.com/weareotv/videos/754351628104669/,,Video,,,02/13/2018 04:31:39 PM, ,80,80,0,100,100,0,1619,1617,3592,0,0,52,36,0,0,515,548,1190,0,0,1528,3254,0,0,0,22313,,2.0,1.0,,2.0,1.0,1617,1.0,,3591,1.0,,,,
357045034501999_754341058105726,https://www.facebook.com/weareotv/posts/754341058105726,"Happy #blackhistorymonth, this week we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity. 

M Shelly Conner is a Chicago-based writer, scholar and humorist. She is the executive director of Quare Square Inc., a nonprofit for queer artists of color and the curator of the dapper queer lifestyle website DapperVista.com. She is also the creator of Quare Life Web Series which will premiere on Open TV - beta this cycle! 

#QuareLife revolves around Michelle Jones who is living the Black American dream. She has a nice home, a girlfriend, and a foot on the rung of professional ascension. When her marriage proposal is rejected and work contract ends, Michelle must rely on her close friends, twin brother, and formerly homophobic mother for support.",Link,,,02/13/2018 04:04:19 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,3.0,,,,,,,,,,QL|OTV
357045034501999_753757798164052,https://www.facebook.com/weareotv/posts/753757798164052,"Happy #blackhistorymonth. As we gear up for our 3rd cycle, we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity. 

Rashi Bey is a Transdisciplinary Artist,  Intimacy Coach, Motivational Speaker &amp; Writer. She is the Creator, Executive Producer, and Lead Actor in &quot;Let Go and Let God&quot;

&quot;This film is dedicated to people who are struggling with the grips of depression and wondering if there is a way out. In Let Go and Let God she finds her release through dance. The movement stirs her soul to the point where it brings her back to life and she makes a commitment to live again, to take back her power and move forward walking in the joy that God intended her to have for her life&quot; -- Rashida KhanBey

Hear about our releases and events first by signing up for the #opentvprogram: weareopen.tv/program",Link,,,02/12/2018 01:12:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.0,,,,,,,,,,LGLG
357045034501999_753753554831143,https://www.facebook.com/weareotv/posts/753753554831143,"As we gear up for our third cycle of premieres, we are shining a light on some of our brilliant black artists in honor of #BlackHistoryMonth. 

Rashi Bey, Transdisciplinary Artist,  Intimacy Coach, Motivational Speaker &amp; Writer, is on a mission to help women rediscover radical body love, shameless &amp; passionate sex and visceral forgiveness in their intimate relationships.

Rashida is the Creator, Executive Producer &amp; Lead Actor in micro films &quot;Let Go &amp; Let God&quot; produced by Open TV - beta and &quot;Sex Is A God Thing&quot; produced by Woman Untamed with Rashida Khanbey (Rashida's Chicago based Film/TV Production Co)., Her 2014 film &quot;Sex Is A God Thing&quot; has now accumulated over 10 million views across all social media platforms. Production for the &quot;Sex Is A God Thing&quot; web series began earlier this month in Chicago in collaboration with Open TV.",Photo,,,02/12/2018 10:43:54 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,,,,,,,,,,OTV|OTV
