Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
357045034501999_558782927661541,https://www.facebook.com/weareotv/posts/558782927661541,"#OpenTVRewind - #2QIK

Today will be a complicated day for a lot of us whether you're headed home to a difficult family, thinking about the irony of the whitewashed history of Thanksgiving versus the atrocities at happening at Standing Rock, or maybe you've decided to be low key and separate yourself from it all as an attempt to recenter.  

No matter what's going on with you, we hope that you are surrounded by love, cultivating joy, and eating something delicious. Two Queens in a Kitchen is more than a cooking show, the kitchen is a magical and important gathering place for many blood and chosen families. 

Enjoy Episode 4 featuring Samantha Bailey of You're So Talented  and Brown Girls and visual and performance artist and holistic healer, Kiam Marcelo Junio discussing their projects and hunger for diverse content.",Link,,,11/24/2016 11:17:20 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,TQIK
357045034501999_558491924357308,https://www.facebook.com/weareotv/posts/558491924357308,"Head of marketing and designer, Eli Micky on the design of Open TV: 

&quot;Since I see the world through a strategic design lens I think that problems are pleasant opportunities waiting to be discovered. Aymar Jean Christian, the creator of Open TV approached me with a specific design problem in the late fall of 2014. As I reference my notes from the brief phone call I instantly remember resonating with a particular question that he posed: &quot;How can we build a television network that is completely open, yet sustainable?&quot; &quot;

Read on about Elijah's design philosophy, inspiration, and the core of Open TV in this iteration of #VIEWPOINTS. 

Read more #VIEWPOINTS here:",Link,,,11/23/2016 05:44:19 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,OTV|OTV|OTV
357045034501999_558448134361687,https://www.facebook.com/weareotv/posts/558448134361687,#Futurewomen's Felicia Holman lays out the stakes for artists after the recent election.,SharedVideo,,,11/23/2016 03:09:44 PM, ,124,20,0,209,50,0,19,17,27,0,0,186,104,0,0,17,0,0,0,0,11,12,0,0,0,196903,4,,,4,,,17,,,27,,,None
357045034501999_558373037702530,https://www.facebook.com/weareotv/posts/558373037702530,"#OpenTVRewind presents - #2QIK

Episode 3: Writer, performer, and filmmaker, Ricardo Gamboa with podcaster, podcast producer, and co-founder of podcast collective Postloudness, James T. Green . 

In part one of this delicious episode, Ricardo &amp; James chat about the intersection between art and activism while making melon brochettes and a spicy shrimp cocktail.",Link,,,11/23/2016 11:32:39 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2.0,,,,,,,,TQIK
357045034501999_557959267743907,https://www.facebook.com/weareotv/posts/557959267743907,"#BrownGirls writer Fatimah Asghar tells Wear Your Voice Mag why she created the series: 

“Friendships with women of color have literally saved my life … The show is loosely based off of me and my best friend, Jamila. My friendship with Jamila is one of the most important relationships that I have ever had. I really wanted to create something that highlighted that love, because I feel like friendship/sisterhood love is not talked about as much as romantic love.”",Link,,,11/22/2016 10:59:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,11,6.0,,,,,,,,None
357045034501999_557950797744754,https://www.facebook.com/weareotv/posts/557950797744754,"#OpenTVRewind - #2QIK 

Check out Season 1: Episode 2 queen, Darling Squire as she moves and shakes around town. 

Catch her tomorrow night when she goes on at 10 with JC Brooks &amp; the Uptown Sound  and Krystal Metcalfe",Link,,,11/22/2016 10:26:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,TQIK
357045034501999_557920384414462,https://www.facebook.com/weareotv/posts/557920384414462,"#OpenTVRewind presents: #2QIK 

Jump into episode 2 of #2QIK featuring Cqqchifruit, a Chicago-based queer, afr@cubarican DJ, performance artist, and designer originally from Miami, FL and Darling Squire, a dancer, healer, story teller, teacher, and student.

Cqqchifruit &amp; Darling Shear chat about the power of a home cooked meal and the flow of capitalism while making a tostones de Cqqchifruit and Caprese Lox.",Link,,,11/22/2016 10:15:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,1.0,,,,,,,,DS
357045034501999_557912584415242,https://www.facebook.com/weareotv/posts/557912584415242,"#OPENTVREWIND - Two Queens in a Kitchen 

#2QIK is much more than a cooking show, read on in this RedEye piece by Heather Schröering:

&quot; 'Historically in a lot of black and brown communities, coming together around the kitchen is a very holistic and spiritual experience,' said Eli Micky... The concept for the show made a lot of sense to [Aymar Jean Christian and McKinnon]: Film two artists from different backgrounds in a kitchen doing the things we all do in kitchens, hanging out, making snacks and having challenging conversations.

--

The most natural form of activism to McKinnon doesn’t live on the internet. It’s about gathering and celebrating black lives, something Two Queens in a Kitchen does well. 'Those true moments of healing don’t come from a tweet in my perspective,' they said. 'They come from those intimate, raw moments that can’t be edited or distilled.' &quot;

#OpenTVRewind is a six-week feature focusing on six original webseries. Get caught up on Season One of TWO QUEENS IN A KITCHEN, a turn-to-relevance cooking show featuring Chicago’s queens and queers of color discussing family, home, politics, culture, and art while making a healthy snack.",Link,,,11/22/2016 08:16:12 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,9,4.0,,,,,,,,TQIK
357045034501999_557654064441094,https://www.facebook.com/weareotv/posts/557654064441094,"#OpenTVRewind - #2QIK 

Check out episode one featuring Open TV's very own creator and head of development, Aymar Jean Christian, alongside head of marketing and creator of #2QIK,  Eli Micky, as they discuss the conception of Open TV and future of artistic incubation. 

Want to know more about the beating heart of Open TV? This is the perfect place to start. If you want to take a deep dive check out http://www.weareopen.tv/development/",Link,,,11/21/2016 03:21:47 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,11,2.0,,,,,,,,TQIK
357045034501999_557550544451446,https://www.facebook.com/weareotv/videos/557550544451446/,"#OpenTVRewind Presents: Two Queens in a Kitchen 

We're back at it with week 2 of Open TV Rewind! This week's feature begs the question: what revolutions have started over stovetops? Sip some tea (careful, it's hot) and settle in for this treat.

#2QIK is a turn-to-relevance cooking show featuring Chicago’s queens and queers of color discussing family, home, politics, culture, and art while making a healthy snack.

#OpenTVRewind is a 6 week feature focusing on six original webseries.

Trailer beats by: Hijo Pródigo

Season one queens: 
Eli Micky + Aymar Jean Christian
Cqqchifruit + Darling Squire
Gutiérrez Al + Roy Kinsey  
James T. Green + Ricardo Gamboa
Samantha Bailey + Kiam Marcelo Junio",Video,,,11/21/2016 08:27:49 AM, ,1169,860,0,1814,1233,0,26,21,30,0,0,480,194,0,0,16,11,11,0,0,95,105,0,0,0,83566,8,2.0,2.0,8,2.0,2.0,14,7.0,1.0,16,7.0,1.0,TQIK
