Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_782298498643315,https://www.facebook.com/weareotv/posts/782298498643315,Come get all of this black brilliance this #OTVWednesday. Don't forget to RSVP! https://bit.ly/2qBQx67,Link,,,04/16/2018 06:29:00 PM, ,625,625,0,792,792,0,32,28,35,0,0,747,583,0,0,31,5,6,0,0,164,0,0,0,0,0,6,,2.0,7,,3.0,28,,,,35,,,,,,,,None
357045034501999_782297351976763,https://www.facebook.com/weareotv/posts/782297351976763,"FCK YES &quot;Highlights how affirmative consent is not only vital — but can be a really awesome turn on.&quot; - Huffington Post. 

In this episode #otvcommunity and co-creator of #TheTTV  Daniel Kyri Madison stars as half of a couple negotiating a threesome. 

FCK YES season 2 is written by Julie Keck and Jessica King of King is a Fink Productions.",Link,,,04/16/2018 03:12:53 PM, ,151,151,0,194,194,0,13,8,10,0,0,116,90,0,0,12,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0,7,1.0,1.0,5,4.0,,,6,4.0,,,,,,,FY|FY
357045034501999_782235128649652,https://www.facebook.com/weareotv/posts/782235128649652,"April is #SexualAssaultAwarenessMonth, we're participating with the release of FCK YES, a modern sex-ed series showing all the ways consent can be fun and very sexy. Spice up your lunch break🤯🔥🔥

FCK YES is directed by Emily Best and written by Julie Keck and Jessica King of King is a Fink Productions. &quot;Fingers&quot; stars Marnie Alton and Erica C. Anderson. 

#SAAM",Link,,,04/16/2018 10:53:01 AM, ,206,206,0,293,293,0,21,17,22,0,0,222,148,0,0,19,0,0,0,0,0,0,0,0,0,0,9,1.0,,10,1.0,,12,7.0,,,13,9.0,,,,,,,FY|FY
357045034501999_782189141987584,https://www.facebook.com/weareotv/posts/782189141987584,"Relationships are containers for growth. Geeta's Guide To Moving On Season One premieres April 25, 2018! 

Event page: OTV Presents: Geeta’s Guide to Moving On &amp; Quare Life
RSVP: https://bit.ly/2H2KB0d",Link,,,04/16/2018 08:28:20 AM, ,73,73,0,92,92,0,3,0,0,0,0,84,66,0,0,3,0,0,0,0,0,0,0,0,0,0,3,,,3,,,,,,,,,,,,,,,GGMO|QL
357045034501999_781053048767860,https://www.facebook.com/weareotv/posts/781053048767860,"In case you missed it - check out the live Q&amp;A with the OTV Presents: F*ck Yes &amp; The Roach is Coming creators! From left to right: Julie Keck, Derrick Woods-Morrow, and Jessica King King is a Fink Productions. 

See you next time at OTV Presents: Hair Story Sneak Preview + The North Pole Premiere on 4/18. Don't forget to RSVP: https://bit.ly/2qrrphA",SharedVideo,,,04/13/2018 02:24:10 PM, ,31,31,0,38,38,0,0,0,0,0,0,24,18,0,0,0,0,0,0,0,14,14,0,0,0,1438834,,,,,,,,,,,,,,,,,,,FY|RIC|HS|TNP
357045034501999_780578602148638,https://www.facebook.com/weareotv/videos/780578602148638/,"Hair Story premieres this cycle! Stay tuned. 

“Hair Story” is a pilot for a web series that follows a group of Chicagoans in their everyday lives as they try to keep their co-op open and in their dreams, blending sitcom and music video.

// SONG //
CHAE BUTTUH - &quot;Shady Phat&quot;
Released on Futurehood -- futurehood.net",Video,,,04/12/2018 10:37:28 AM, ,3471,3471,0,5527,5527,0,481,428,669,0,0,1118,550,0,0,127,341,364,0,0,1275,1549,0,0,0,46931,154,11.0,17.0,194,12.0,19.0,393,4.0,93.0,,559,4.0,106.0,,,,,,HS|HS
357045034501999_780297545510077,https://www.facebook.com/weareotv/videos/780297545510077/,,Video,,,04/11/2018 05:33:44 PM, ,197,197,0,258,258,0,15,10,11,0,0,226,171,0,0,12,0,0,0,0,89,106,0,0,0,1438834,8,1.0,,8,2.0,,3,,8.0,,3,,8.0,,,,,,
357045034501999_779881925551639,https://www.facebook.com/weareotv/posts/779881925551639,"Tomorrow, come see the web series Refinery29 calls &quot;the sex-ed you wish you learned in high school&quot;. 

Join us on #OTVWednesday, we're screening FCK YES from King is a Fink Productions alongside Derrick Woods-Morrow's &quot;The Roach Is Coming&quot;.

OTV Presents: F*ck Yes &amp; The Roach is Coming
Don't forget to RSVP: https://bit.ly/2GRBCLe",Link,,,04/10/2018 06:57:44 PM, ,170,170,0,222,222,0,16,10,11,1,1,196,151,0,0,13,0,0,0,0,0,0,0,0,0,0,10,,,12,,,6,5.0,,,6,5.0,,,1,,1,,FY|FY|RIC
357045034501999_779463055593526,https://www.facebook.com/weareotv/posts/779463055593526,OTV - Open Television updated their status.,Status,,,04/09/2018 06:28:06 PM, ,93,93,0,151,151,0,3,3,6,0,0,141,84,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,3,,,,6,,,,,,,,OTV
357045034501999_779448115595020,https://www.facebook.com/weareotv/posts/779448115595020,"#OTVWednesday is back this week with &quot;F*CK YES&quot; by King is a Fink Productions and &quot;The Roach is Coming&quot; by Derrick Woods-Morrow. See you there, doors open at 6pm. 

Don't forget to RSVP: https://www.eventbrite.com/e/otv-presents-fck-yes-the-roach-is-coming-premiere-tickets-44484861418",Link,,,04/09/2018 05:26:37 PM, ,81,81,0,107,107,0,3,1,1,1,1,91,68,0,0,3,0,0,0,0,0,0,0,0,0,0,2,,,3,,,1,,,,1,,,,,1.0,,1.0,None
357045034501999_776657579207407,https://www.facebook.com/weareotv/posts/776657579207407,Our friends at ACRE TV are producing a livestreaming Telethon to support local Chicago experimental apartment cinema The Nightingale!  Attend in person or watch from home via ACRETV.org or Facebook Live. It's going to be wild!,SharedVideo,,,04/06/2018 11:00:00 AM, ,187,187,0,237,237,0,4,2,4,0,0,216,171,0,0,3,0,0,0,0,23,23,0,0,0,0,3,,,3,,,2,,,,4,,,,,,,,None
357045034501999_776658855873946,https://www.facebook.com/weareotv/posts/776658855873946,"There's no #OTVWednesday tonight (love you, miss you), we'll see you next Wednesday 4/11 for OTV Presents: F*ck Yes, Hair Story &amp; The Roach is Coming. 

While we wait, please support our friends at ACRE TV who are producing a livestreaming Telethon to support local Chicago experimental apartment cinema The Nightingale! Attend in person or watch from home via ACRETV.org or Facebook Live.",Link,,,04/04/2018 10:33:00 AM, ,270,270,0,333,333,0,13,6,7,0,0,299,238,0,0,12,1,1,0,0,10,0,0,0,0,0,7,,,7,,,6,,,,7,,,,,,,,FY|HS|RIC
357045034501999_776662419206923,https://www.facebook.com/weareotv/posts/776662419206923,"No #OTVWednesday this week, use that time to catch up on some fresh releases you may have missed, like Seeds Series created by Deja Harrell and C.J. Thomas. 

Centered around the friendship of four college-aged black girls, Seeds is a bold and dynamic narrative that explores the conversations between them through a hilariously authentic lens.

#SeedsSeries",Link,,,04/03/2018 10:36:00 AM, ,434,434,0,612,612,0,113,9,10,0,0,300,214,0,0,25,0,0,0,0,0,0,0,0,0,0,94,15.0,2.0,95,16.0,3.0,5,5.0,,,5,5.0,,,,,,,SDS|SDS
357045034501999_776278359245329,https://www.facebook.com/weareotv/posts/776278359245329,"We're taking a quick breather! There's no #OTVWednesday this week, take advantage of this time and catch up with all the excellent shows we've premiered this cycle, and take a look at what else is to come at weareo.tv.

At work and can't watch anything right now? Listen to this great, short interview with OTV founder Aymar Jean Christian on the inspiration for OTV and Chicago's fire web series scene.",Link,,,04/02/2018 02:00:00 PM, ,1011,1011,0,1682,1682,0,72,49,69,0,0,989,443,0,0,54,0,0,0,0,0,0,0,0,0,0,35,4.0,4.0,36,4.0,7.0,40,13.0,,,56,13.0,,,,,,,None
