plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
67,0.0,178.0,12.0,0.0,0.0,/videos/156421353,Full Out -- Episode 3,688.0,2016-02-23T15:24:23+00:00,Array,0.0,76.0,485.0,32512.0,42656.0,0.0,FO
65,0.0,124.0,15.0,0.0,0.0,/videos/205064630,Afternoon Snatch -- Episode 2,527.0,2017-02-21T15:51:55+00:00,Array,0.0,65.0,302.0,19631.0,30091.0,0.0,AS
62,0.0,126.0,1.0,1.0,0.0,/videos/221622032,Open TV Presents - ambivert by ester alegria,1013.0,2017-06-14T17:38:32+00:00,Array,0.0,33.0,316.0,19630.0,57741.0,0.0,AV
59,0.0,307.0,20.0,0.0,0.0,/videos/147648438,Full Out -- Season One Trailer,105.0,2015-12-02T21:48:19+00:00,Array,0.0,68.0,70.0,4140.0,6035.0,0.0,FO
58,0.0,116.0,11.0,0.0,0.0,/videos/218732878,Geeta's Guide To Moving On -- Episode 3,470.0,2017-05-24T03:55:26+00:00,Array,0.0,73.0,336.0,19500.0,26424.0,0.0,GGMO
57,0.0,130.0,10.0,0.0,0.0,/videos/218738028,Geeta's Guide To Moving On - Episode 2,398.0,2017-05-24T05:02:33+00:00,Array,0.0,74.0,290.0,16537.0,22288.0,0.0,GGMO
57,0.0,74.0,16.0,0.0,0.0,/videos/124357625,"You're So Talented, Season One -- Chapter Three",397.0,2015-04-07T22:23:45+00:00,Array,0.0,68.0,261.0,14894.0,21835.0,0.0,YST
55,0.0,92.0,13.0,0.0,0.0,/videos/205062754,Afternoon Snatch -- Episode 6,412.0,2017-02-21T15:41:40+00:00,Array,0.0,60.0,186.0,10248.0,16921.0,0.0,AS
54,0.0,480.0,2.0,0.0,0.0,/videos/154200807,"You're So Talented, Season Two -- Chapter One",521.0,2016-02-04T16:44:07+00:00,Array,0.0,55.0,258.0,13941.0,25008.0,0.0,YST
53,0.0,145.0,4.0,0.0,0.0,/videos/160115755,Full Out -- Episode 5,1202.0,2016-03-23T16:14:37+00:00,Array,0.0,64.0,717.0,38040.0,58944.0,0.0,FO
49,0.0,72.0,2.0,0.0,0.0,/videos/164162980,Bronx Cunt Tour -- Episode 5,1086.0,2016-04-25T21:07:23+00:00,Array,0.0,52.0,368.0,18076.0,34752.0,0.0,BCT
49,0.0,97.0,12.0,0.0,0.0,/videos/195740973,Open TV Re-Presents: Kissing Walls -- Pilot,1308.0,2016-12-15T04:15:23+00:00,Array,0.0,61.0,741.0,36341.0,58860.0,0.0,OTV
49,0.0,61.0,10.0,0.0,0.0,/videos/129668799,"You're So Talented, Season One -- Chapter Seven",477.0,2015-06-03T14:13:37+00:00,Array,0.0,67.0,313.0,15358.0,22896.0,0.0,YST
48,0.0,53.0,4.0,0.0,0.0,/videos/124849631,"You're So Talented, Season One -- Chapter Four",295.0,2015-04-13T17:46:12+00:00,Array,0.0,69.0,186.0,8961.0,12981.0,0.0,YST
47,0.0,63.0,6.0,0.0,0.0,/videos/155827723,"You're So Talented, Season Two -- Chapter Two",668.0,2016-02-18T14:25:09+00:00,Array,0.0,67.0,413.0,19436.0,28764.0,0.0,YST
46,0.0,54.0,6.0,0.0,0.0,/videos/128319423,"You're So Talented, Season One -- Chapter Six",266.0,2015-05-19T23:04:13+00:00,Array,0.0,63.0,157.0,7250.0,11438.0,0.0,YST
45,0.0,87.0,16.0,0.0,0.0,/videos/205064124,Afternoon Snatch -- Episode 3,492.0,2017-02-21T15:49:17+00:00,Array,0.0,83.0,318.0,14324.0,17252.0,0.0,AS
43,0.0,191.0,15.0,0.0,0.0,/videos/217414172,In Real Life - Pilot,399.0,2017-05-14T22:01:25+00:00,Array,0.0,69.0,265.0,11429.0,16359.0,0.0,IRL
43,0.0,84.0,13.0,0.0,0.0,/videos/205063704,Afternoon Snatch -- Episode 4,483.0,2017-02-21T15:47:02+00:00,Array,0.0,68.0,268.0,11538.0,16937.0,0.0,AS
42,0.0,148.0,13.0,0.0,0.0,/videos/217416719,In Real Life - Erin,328.0,2017-05-14T22:37:51+00:00,Array,0.0,81.0,210.0,8833.0,10824.0,0.0,IRL
42,0.0,97.0,2.0,0.0,0.0,/videos/179804836,#2QIK: Roy Kinsey & MSMRJR (Part Two),667.0,2016-08-22T19:51:20+00:00,Array,0.0,16.0,73.0,3096.0,18695.0,0.0,None
42,0.0,49.0,5.0,0.0,0.0,/videos/126932556,"You're So Talented, Season One -- Chapter Five",292.0,2015-05-05T15:32:57+00:00,Array,0.0,68.0,195.0,8201.0,11972.0,0.0,YST
40,0.0,92.0,6.0,0.0,0.0,/videos/197047570,Open TV Re-Presents: Filipino Fusions -- Season 1,2458.0,2016-12-25T21:32:24+00:00,Array,0.0,37.0,665.0,26610.0,71306.0,0.0,OTV|FF
40,0.0,85.0,20.0,0.0,0.0,/videos/205063251,Afternoon Snatch -- Episode 5,373.0,2017-02-21T15:44:40+00:00,Array,0.0,78.0,240.0,9636.0,12309.0,0.0,AS
40,0.0,142.0,10.0,0.0,0.0,/videos/177457277,Two Queens in a Kitchen - Official Trailer,83.0,2016-08-03T19:32:34+00:00,Array,0.0,63.0,49.0,1971.0,3107.0,0.0,TQIK
38,0.0,41.0,4.0,0.0,0.0,/videos/159158733,"You're So Talented, Season Two - Chapter Four",546.0,2016-03-16T02:57:07+00:00,Array,0.0,72.0,366.0,13935.0,19110.0,0.0,YST
38,0.0,50.0,5.0,0.0,0.0,/videos/160747140,"You're So Talented, Season Two - Chapter Five",520.0,2016-03-29T14:20:48+00:00,Array,0.0,70.0,328.0,12474.0,17680.0,0.0,YST
37,0.0,136.0,12.0,0.0,0.0,/videos/217416140,In Real Life - Oscar,337.0,2017-05-14T22:28:43+00:00,Array,0.0,77.0,234.0,8681.0,11152.0,0.0,IRL
35,0.0,49.0,6.0,0.0,0.0,/videos/162385131,"You're So Talented, Season Two - Chapter Six",568.0,2016-04-11T15:02:31+00:00,Array,0.0,77.0,405.0,14177.0,18176.0,0.0,YST
33,0.0,64.0,4.0,0.0,0.0,/videos/225914531,"Two Queens in a Kitchen, Season 2 -- Rashaad & Nathaniel",1522.0,2017-07-17T21:53:38+00:00,Array,0.0,30.0,414.0,13664.0,44138.0,0.0,TQIK
32,0.0,38.0,7.0,0.0,0.0,/videos/157297665,"You're So Talented, Season Two - Chapter Three",555.0,2016-03-01T15:34:39+00:00,Array,0.0,69.0,373.0,11964.0,17234.0,0.0,YST
31,0.0,186.0,3.0,0.0,0.0,/videos/146666127,Open TV Presents: Let Go and Let God,1376.0,2015-11-23T17:13:07+00:00,Array,0.0,68.0,848.0,26310.0,38528.0,0.0,LGLG
30,0.0,124.0,13.0,0.0,0.0,/videos/215908500,In Real Life - Trailer,64.0,2017-05-03T21:16:50+00:00,Array,0.0,78.0,47.0,1429.0,1817.0,0.0,IRL
30,0.0,42.0,0.0,0.0,0.0,/videos/162147393,Bronx Cunt Tour -- Episode 2,609.0,2016-04-09T01:28:13+00:00,Array,0.0,46.0,190.0,5713.0,12180.0,0.0,BCT
30,0.0,281.0,0.0,0.0,0.0,/videos/209984312,Open TV Presents - Inertia,1449.0,2017-03-24T22:16:42+00:00,Array,0.0,32.0,439.0,13173.0,40600.0,0.0,IN
