"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
29,0,63,5,0,0,/videos/25948268,"Michaela Angela Davis and The Urban Catwalk: Style, Race and Counterculture",1761,2011-07-04T01:16:20+00:00,Array,0,0,0,0,0,0
26,0,53,0,0,0,/videos/9768181,"Greed is Good: Kade vs. Douglas",74,2010-02-26T21:39:08+00:00,Array,0,0,0,0,0,0
19,0,337,9,0,0,/videos/11588116,"Project Basho",129,2010-05-09T02:35:04+00:00,Array,0,0,0,0,0,0
18,0,307,1,0,0,/videos/9768044,"FAME: Kade Style (Anniversary Cut!)",627,2010-02-26T21:33:50+00:00,Array,0,0,0,0,0,0
8,0,23,0,0,0,/videos/31097705,Reel,677,2011-10-25T17:37:01+00:00,Array,0,0,0,0,0,0
6,0,43,0,0,0,/videos/25696666,"Caroline Weber on Daphne Guinness, Marie Antoinette and the Peril of the Living Mannequin",2070,2011-06-28T03:17:50+00:00,Array,0,0,0,0,0,0
5,0,37,0,0,0,/videos/25913498,"Michaela Angela Davis: Did Hip Hop Sell Out to the Fashion Industry?",104,2011-07-02T22:33:11+00:00,Array,0,0,0,0,0,0
3,0,38,1,0,0,/videos/25942704,"Michaela Angela Davis on 1980s New York: ""The Aliens Had Landed""",131,2011-07-03T21:39:04+00:00,Array,0,0,0,0,0,0
3,0,216,1,0,0,/videos/10225370,"Artspace Underground, February 2010",376,2010-03-17T04:45:04+00:00,Array,0,0,0,0,0,0
3,0,22,0,0,0,/videos/11578516,"Talk Radio News - Dennis Kucinich",381,2010-05-08T16:22:50+00:00,Array,0,0,0,0,0,0
2,0,71,0,0,0,/videos/23215153,"A Conversation with Michaela Angela Davis at the Urban Catwalk",108,2011-05-03T15:54:14+00:00,Array,0,0,0,0,0,0
2,0,22,0,0,0,/videos/11587706,"Military Sexual Trauma",1610,2010-05-09T02:02:01+00:00,Array,0,0,0,0,0,0
2,0,30,0,0,0,/videos/13692827,"Pay Day",1586,2010-07-28T02:28:12+00:00,Array,0,0,0,0,0,0
1,0,21,0,0,0,/videos/11577839,"Senegal: Sights, Sounds and Struggles",286,2010-05-08T15:44:57+00:00,Array,0,0,0,0,0,0
1,0,29,2,0,0,/videos/11588056,"A Day at the Plant",331,2010-05-09T02:28:43+00:00,Array,0,0,0,0,0,0
1,0,20,0,0,0,/videos/25944002,"Michaela Angela Davis on Race and Fashion: ""Color is a Distraction""",230,2011-07-03T22:21:57+00:00,Array,0,0,0,0,0,0
1,0,22,1,0,0,/videos/28078430,"Philadelphia Voices of Pride",129,2011-08-23T21:42:52+00:00,Array,0,0,0,0,0,0
0,0,10,0,0,0,/videos/11565788,"MEET - Episode Three - JORDAN 10AM",218,2010-05-07T22:22:54+00:00,Array,0,0,0,0,0,0
0,0,3,0,0,0,/videos/15137704,"Is Premiere Week an 'Event'? In Media Res",168,2010-09-20T20:54:41+00:00,Array,0,0,0,0,0,0
0,0,25,0,0,0,/videos/11577487,"The Algebra Project",86,2010-05-08T15:21:03+00:00,Array,0,0,0,0,0,0
0,0,14,0,0,0,/videos/11567668,"LEE's Video Art",214,2010-05-08T00:12:57+00:00,Array,0,0,0,0,0,0
0,0,14,0,0,0,/videos/16589287,"It Goes Unsaid",216,2010-11-07T17:28:53+00:00,Array,0,0,0,0,0,0
0,0,21,0,0,0,/videos/11587726,"Spike Lee with Talk Radio News",119,2010-05-09T02:03:33+00:00,Array,0,0,0,0,0,0
0,0,16,0,0,0,/videos/11565721,"MEET - Episode Two - LEE 9AM",216,2010-05-07T22:19:26+00:00,Array,0,0,0,0,0,0
0,0,11,0,0,0,/videos/11565555,"MEET - Episode One - JORDAN 9AM",235,2010-05-07T22:11:34+00:00,Array,0,0,0,0,0,0
"
",,,,,,,,,,,,,,,,
