"plays","downloads","loads","finishes","code","name","latitude","longitude","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
11,0,214,2,US,"United States",39.7837304,-100.4458825,0,28,156,1723,8098,0
1,0,4,0,KR,"Republic of Korea",35.3985008,127.937111,0,91,99,99,108,0
1,0,2,1,MX,Mexico,22.5000485,-100.0000375,0,99,280,280,281,0
1,0,1,0,PL,Poland,52.0977181,19.0258159,0,44,919,919,2070,0
1,0,4,0,JP,Japan,36.5748441,139.2394179,0,14,309,309,2070,0
1,0,1,0,TR,Turkey,38.9597594,34.9249653,0,0,0,0,108,0
1,0,3,1,GB,"United Kingdom",54.7023545,-3.2765753,0,99,280,280,281,0
0,0,4,0,XX,Unknown,0,0,0,0,0,0,0,0
0,0,1,0,VN,Vietnam,13.2904027,108.4265113,0,0,0,0,0,0
0,0,1,0,BR,Brazil,-10.3333333,-53.2,0,0,0,0,0,0
0,0,1,0,FR,France,46.603354,1.8883335,0,0,0,0,0,0
0,0,1,0,PT,Portugal,40.033265,-7.8896263,0,0,0,0,0,0
0,0,2,0,IL,Israel,30.8760272,35.0015196,0,0,0,0,0,0
0,0,1,0,UA,Ukraine,49.4871968,31.2718321,0,0,0,0,0,0
0,0,1,0,DE,Germany,51.0834196,10.4234469,0,0,0,0,0,0
0,0,1,0,CA,Canada,61.0666922,-107.9917071,0,0,0,0,0,0
"
",,,,,,,,,,,,,
