"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
2026,4,4882,265,vimeo.com,,0,64,262,531481,884761,0
1517,0,10843,848,afterellen.com,,0,83,84,128836,159470,0
1080,0,1341,256,weareopen.tv,,0,67,419,452615,727504,0
1001,0,1947,493,lesbian-interest.com,,0,84,85,85633,105805,0
757,5,1738,9,unknown,,0,67,37,28690,252559,0
672,0,2430,358,onemorelesbian.com,,0,84,82,55263,70245,0
358,0,377,64,youresotalented.net,,0,81,256,91856,118662,0
258,0,264,61,facebook.com,,0,54,355,91760,185247,0
85,0,429,57,phenomenelle.de,,0,87,90,7688,9765,0
76,0,240,7,zackarydrucker.com,,0,73,203,15439,22640,0
60,0,209,28,curvemag.com,,0,81,82,4948,6300,0
57,0,172,34,kitschmix.com,,0,87,88,5061,6090,0
36,0,80,24,lotl.com,,0,89,93,3380,4095,0
33,0,323,7,buzzfeed.com,,0,63,146,4839,9622,0
31,0,262,18,kingisafink.com,,0,84,86,2676,3255,0
30,0,40,12,lesbianmedia.tv,,0,82,78,2348,3045,0
27,0,248,10,lezbelib.com,,0,82,45,1216,3045,0
22,0,454,0,tendernessandtiaras.tumblr.com,,0,62,153,3379,7358,0
12,0,188,4,safe.txmblr.com,,0,57,164,1977,3458,0
11,0,79,1,theestablishment.co,,0,85,241,2655,3113,0
11,0,67,2,tribecafilm.com,,0,73,186,2050,3374,0
9,0,19,3,google.com,,0,32,54,489,1733,0
7,0,20,0,honeypotperformance.com,,0,30,272,1904,6183,0
6,0,23,3,chicagofilmmakers.org,,0,97,115,692,710,0
4,0,5,1,av.fc2av.com,,0,36,102,410,1132,0
4,0,33,2,taggmagazine.com,,0,72,76,306,420,0
3,0,46,0,visionarytrek.com,,0,58,524,1574,3612,0
3,0,3,0,yahoo.com,,0,24,106,320,1291,0
3,0,108,0,twitter.com,,0,59,203,610,1126,0
3,0,37,1,justanothergirl.org,,0,82,156,468,566,0
3,0,14,0,womanuntamed.com,,0,95,1316,3950,4126,0
2,0,6,0,sam-bailey-8d5v.squarespace.com,,0,0,0,0,238,0
2,0,2,0,sectionii.com,,0,8,8,17,210,0
2,0,3,0,bing.com,,0,95,271,542,566,0
1,0,1,0,123ru.org,,0,87,247,247,283,0
1,0,1,0,rss.intarweb.org,,0,47,50,50,105,0
1,0,47,0,youresotalented.tumblr.com,,0,5,7,7,119,0
1,0,7,1,fero.tips,,0,100,105,105,105,0
1,0,55,0,kamalkiddo.com,,0,65,899,899,1375,0
1,0,32,0,cdn.embedly.com,,0,91,422,422,459,0
1,0,1,0,riso-terapia.info,,0,81,598,598,731,0
1,0,260,1,artintercepts.org,,0,100,105,105,1575,0
1,0,18,0,thelittledrunkapple.tumblr.com,,0,57,60,60,105,0
1,0,113,0,bitchmedia.org,,0,94,320,320,680,0
1,0,3,0,derekleemcphatter.com,,0,23,50,50,216,0
0,0,1,0,orekagodis.com,,0,0,0,0,0,0
0,0,9,0,reid-price-5jar.squarespace.com,,0,0,0,0,0,0
0,0,1,0,do312.com,,0,0,0,0,0,0
0,0,6,0,northwestern.edu,,0,0,0,0,0,0
