"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
26715,0,57013,6913,remezcla.com,,0,83,114,3071100,3682717,0
7252,0,12547,1596,vimeo.com,,0,61,167,1215707,1990491,0
1852,0,2026,289,browngirlswebseries.com,,0,62,64,118921,191557,0
936,0,976,329,facebook.com,,0,54,136,128128,235251,0
927,0,1175,143,weareopen.tv,,0,48,552,512359,1065318,0
780,23,6631,86,unknown,,0,65,147,115183,174806,0
780,0,15927,183,safe.txmblr.com,,0,65,91,71084,108515,0
469,0,495,67,youresotalented.net,,0,77,309,145325,187219,0
421,0,4739,126,heyfranhey.com,,0,76,102,43283,56941,0
401,0,4985,136,browngirlswebseries.tumblr.com,,0,79,105,42277,53226,0
351,0,949,87,superselected.com,,0,79,109,38353,47995,0
248,0,800,89,vibe.com,,0,82,110,27490,33370,0
237,0,3493,23,vice.com,,0,55,447,106161,192356,0
196,0,446,39,lesbian-interest.com,,0,73,85,16824,22818,0
95,0,164,12,lesbianmedia.tv,,0,78,571,54298,68927,0
91,0,833,18,wearyourvoicemag.com,,0,76,102,9284,12127,0
87,0,743,8,kingisafink.com,,0,79,654,56900,71978,0
83,0,371,21,girltalkhq.com,,0,65,86,7213,11076,0
82,0,853,33,autostraddle.com,,0,83,111,9163,10934,0
69,0,238,11,cdn.ampproject.org,,0,78,102,7061,8946,0
61,0,228,7,zackarydrucker.com,,0,79,215,13141,16472,0
59,0,183,23,curvemag.com,,0,84,81,4812,5724,0
53,0,861,9,onemorelesbian.com,,0,77,532,28231,36287,0
50,0,260,3,sheacoulee.com,,0,67,369,18461,27293,0
44,0,112,9,pastemagazine.com,,0,77,109,4828,6248,0
41,0,67,7,twitter.com,,0,44,68,2804,6286,0
39,0,222,11,indiegogo.com,,0,58,146,5698,9734,0
36,0,232,17,latina.com,,0,82,153,5515,6699,0
27,0,725,9,gofundme.com,,0,76,108,2918,3834,0
25,0,30,1,bing.com,,0,71,323,8092,11373,0
22,0,62,6,gozamos.com,,0,83,102,2254,2698,0
18,0,207,9,skindeepmag.com,,0,67,84,1523,2272,0
17,0,109,4,jetmag.com,,0,78,92,1567,1988,0
14,0,56,1,cdn.embedly.com,,0,58,246,3453,5862,0
11,0,16,0,yahoo.com,,0,62,245,2701,4311,0
11,0,98,3,sonideni.tumblr.com,,0,61,88,968,1562,0
10,0,49,2,kitschmix.com,,0,70,137,1370,1933,0
10,0,73,0,out.com,,0,52,84,840,1612,0
9,0,9,1,yastatic.net,,0,73,210,1890,2556,0
9,0,112,2,afro-elf.tumblr.com,,0,85,121,1091,1278,0
8,0,9,0,kimberlymichellevaughn.com,,0,35,223,1787,4983,0
8,0,10,0,vk.com,,0,55,295,2365,4247,0
8,0,54,0,aletral.com.br,,0,85,669,5357,6286,0
7,0,48,0,theestablishment.co,,0,44,126,884,1987,0
7,0,410,0,mdrnmstry.tumblr.com,,0,55,311,2183,3899,0
7,0,121,1,philiplucas.tumblr.com,,0,68,97,683,994,0
7,0,20,3,taggmagazine.com,,0,75,80,562,742,0
6,0,99,1,theclitsarealright.ch,,0,58,82,497,852,0
6,0,106,1,mspurple23.tumblr.com,,0,64,76,460,710,0
6,0,10,3,offtharecord.com,,0,97,137,827,852,0
6,0,23,3,seriesporelas.com.br,,0,76,90,543,710,0
5,0,71,1,thenerdconvocation.com,,0,70,99,498,710,0
5,0,26,1,tubefilter.com,,0,61,172,862,1410,0
5,0,45,2,tvisual.org,,0,31,116,581,1845,0
5,0,444,1,feedly.com,,0,24,107,537,2232,0
5,0,52,0,grizzlykiki.com,,0,67,377,1887,2785,0
5,0,176,0,saotome-michi.tumblr.com,,0,62,53,265,426,0
5,0,50,2,shaloved30.tumblr.com,,0,90,128,641,710,0
5,0,40,1,justanothergirl.org,,0,29,83,418,1419,0
5,0,13,1,startrek.com,,0,93,59,296,318,0
5,0,45,1,absentlyabbie.tumblr.com,,0,58,83,415,710,0
5,0,20,1,tendernessandtiaras.tumblr.com,,0,88,252,1260,1420,0
4,0,76,3,acceber74.tumblr.com,,0,80,114,456,568,0
4,0,96,1,thoughtcatalog.com,,0,76,31,127,165,0
4,0,20,1,directedbywongkarwai.tumblr.com,,0,51,73,292,568,0
4,0,81,2,vix.com,,0,79,85,340,426,0
4,0,26,0,buzzfeed.com,,0,52,75,301,568,0
4,0,11,1,okayplayer.com,,0,92,131,525,568,0
4,0,8,2,getpocket.com,,0,74,105,422,568,0
4,0,36,0,girlmobbin.tumblr.com,,0,50,71,285,568,0
4,0,77,2,christel-thoughts.tumblr.com,,0,82,117,470,568,0
4,0,275,1,reclaimingasia.tumblr.com,,0,60,85,343,568,0
4,0,28,1,s4karuna.tumblr.com,,0,80,114,457,568,0
4,0,85,1,becheven.tumblr.com,,0,67,95,381,568,0
4,0,65,2,sarcasticfina.tumblr.com,,0,73,105,420,568,0
4,0,54,1,khadijahwhite.com,,0,12,66,264,2183,0
3,0,16,0,thedreamwalagift.tumblr.com,,0,45,43,130,284,0
3,0,3,0,m.blog.naver.com,,0,73,272,818,1114,0
3,0,4,0,yandex.ru,,0,58,166,499,852,0
3,0,14,1,bronzekat.tumblr.com,,0,68,97,291,426,0
3,0,46,1,nbalec.tumblr.com,,0,90,86,258,284,0
3,0,6,1,averagewhiteshark.tumblr.com,,0,93,132,398,426,0
3,0,178,1,ayqaart.tumblr.com,,0,73,104,313,426,0
3,0,11,1,poc-creators.tumblr.com,,0,43,61,184,426,0
3,0,138,1,hdrthdrt.tumblr.com,,0,63,90,270,426,0
3,0,20,0,beharyongurira.tumblr.com,,0,72,69,207,284,0
3,0,33,2,colorful-femmes.tumblr.com,,0,79,112,337,426,0
3,0,152,0,intersectionalfeminism101.tumblr.com,,0,73,69,209,284,0
3,0,4,0,jessicakadish.com,,0,52,181,545,1042,0
2,0,46,1,dangercupcakemurdericing.tumblr.com,,0,70,99,199,284,0
2,0,31,1,theoldreader.com,,0,93,133,266,284,0
