"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
1,0,14,1,ajlinks.com,,0,98,70,70,71,0
1,0,20,0,wmagazine.com,,0,21,90,90,411,0
1,0,9,0,thelgbtupdate.com,,0,84,120,120,142,0
1,0,59,0,ellesgirls.skyrock.com,,0,72,655,655,904,0
1,0,1,0,vk.com,,0,37,211,211,557,0
1,0,3,0,lesbian-lips.com,,0,72,103,103,142,0
1,0,1,1,fawziamirza.com,,0,97,42,42,43,0
1,0,3,0,www-indiewire-com.cdn.ampproject.org,,0,46,240,240,521,0
1,0,11,1,vibe.com,,0,99,141,141,142,0
1,0,1,0,maxgmooney.com,,0,58,430,430,735,0
1,0,22,0,mcachicago.org,,0,2,5,5,183,0
1,0,44,0,latinorebels.com,,0,13,8,8,58,0
1,0,39,0,browngirlmagazine.com,,0,15,22,22,142,0
1,0,1,0,nathan-salter.com,,0,11,90,90,767,0
1,0,4,1,www-refinery29-uk.cdn.ampproject.org,,0,99,410,410,411,0
1,0,23,0,candorarts.com,,0,7,64,64,805,0
1,0,24,0,buzzfeed.com,,0,94,267,267,284,0
1,0,177,0,nowtoronto.com,,0,0,0,0,58,0
1,0,11,1,amp-theguardian-com.cdn.ampproject.org,,0,0,0,0,142,0
1,0,2,0,offcenterchicago.wixsite.com,,0,30,201,201,658,0
1,0,5,0,lesbian-interest.eu,,0,50,72,72,142,0
1,0,10,0,cgiii.com,,0,55,95,95,171,0
1,0,10,0,outtheboxcg.com,,0,0,0,0,463,0
1,0,15,0,google.com,,0,0,0,0,669,0
1,0,18,1,chicagoreader.com,,0,99,141,141,142,0
1,0,5,1,ppwebseries.com,,0,99,903,903,904,0
1,0,11,0,hellobeautiful-com.cdn.ampproject.org,,0,0,0,0,411,0
1,0,3,1,facebook.com,,0,99,463,463,464,0
0,0,4,0,amp.chicagoist.com,,0,0,0,0,0,0
0,0,8,0,theoldreader.com,,0,0,0,0,0,0
0,0,14,0,theartssection.org,,0,0,0,0,0,0
0,0,1,0,development.seedandspark.com,,0,0,0,0,0,0
0,0,1,0,cultura.estadao.com.br,,0,0,0,0,0,0
0,0,1,0,roykinsey.com,,0,0,0,0,0,0
0,0,1,0,rightmold.tumblr.com,,0,0,0,0,0,0
0,0,3,0,thecrowdfundingcenter.com,,0,0,0,0,0,0
0,0,1,0,thedeependreview.com,,0,0,0,0,0,0
0,0,1,0,voxmagazine.com,,0,0,0,0,0,0
0,0,4,0,reid-price-5jar.squarespace.com,,0,0,0,0,0,0
0,0,95,0,www-vice-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,5,0,websites.godaddy.com,,0,0,0,0,0,0
0,0,14,0,reelchicago.com,,0,0,0,0,0,0
0,0,28,0,redbull.com,,0,0,0,0,0,0
0,0,4,0,reclaimingasia.tumblr.com,,0,0,0,0,0,0
0,0,1,0,rashidak.com,,0,0,0,0,0,0
0,0,1,0,quirktastic.co,,0,0,0,0,0,0
0,0,22,0,queerfudanshi.com,,0,0,0,0,0,0
0,0,1,0,queercomicsconnection.tumblr.com,,0,0,0,0,0,0
0,0,3,0,queer.pl,,0,0,0,0,0,0
0,0,1,0,pt.linkedin.com,,0,0,0,0,0,0
0,0,4,0,projgirlspire.com,,0,0,0,0,0,0
0,0,1,0,samantha-ramirez-4e38.squarespace.com,,0,0,0,0,0,0
0,0,2,0,hautemacabre.com,,0,0,0,0,0,0
0,0,159,0,portaldotrader.com.br,,0,0,0,0,0,0
0,0,1,0,popculturefreaks.tumblr.com,,0,0,0,0,0,0
0,0,449,0,pitchmanager.caa.com,,0,0,0,0,0,0
0,0,2,0,phenomenelle.de,,0,0,0,0,0,0
0,0,5,0,papermag.com,,0,0,0,0,0,0
0,0,2,0,panflix.com,,0,0,0,0,0,0
0,0,1,0,ownhieroglyphs.tumblr.com,,0,0,0,0,0,0
0,0,2,0,expath.de,,0,0,0,0,0,0
0,0,1,0,outspoken.tv,,0,0,0,0,0,0
0,0,1,0,trektoday.com,,0,0,0,0,0,0
0,0,1,0,orekagodis.com,,0,0,0,0,0,0
0,0,3,0,open-tv.squarespace.com,,0,0,0,0,0,0
0,0,18,0,onlinetradingcourses.co.za,,0,0,0,0,0,0
0,0,4,0,toyafromharlem.com,,0,0,0,0,0,0
0,0,1,0,olivia-curry-sfw6.squarespace.com,,0,0,0,0,0,0
0,0,1,0,olddnavy.tk,,0,0,0,0,0,0
0,0,1,0,okayplayer.com,,0,0,0,0,0,0
0,0,5,0,girlsinfilm.net,,0,0,0,0,0,0
0,0,7,0,www-buzzfeed-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,1,0,getpocket.com,,0,0,0,0,0,0
0,0,1,0,occupydope.com,,0,0,0,0,0,0
0,0,1,0,obviweretheladies.com,,0,0,0,0,0,0
0,0,10,0,nowy.gej.net,,0,0,0,0,0,0
0,0,1,0,gaysexvideo.co,,0,0,0,0,0,0
0,0,1,0,newsnew.nbcnews.com,,0,0,0,0,0,0
0,0,1,0,newslaves.ru,,0,0,0,0,0,0
0,0,5,0,newsblur.com,,0,0,0,0,0,0
0,0,5,0,news.northwestern.edu,,0,0,0,0,0,0
0,0,1,0,gay1080.com,,0,0,0,0,0,0
0,0,20,0,netacademia.hu,,0,0,0,0,0,0
0,0,1,0,gawker.com,,0,0,0,0,0,0
0,0,6,0,nakaonwood.com,,0,0,0,0,0,0
0,0,24,0,nacktyoga.net,,0,0,0,0,0,0
0,0,1,0,mysoginy.blogberth.com,,0,0,0,0,0,0
0,0,8,0,mylilefeluke.blogspot.sk,,0,0,0,0,0,0
0,0,22,0,mylilefeluke.blogspot.com,,0,0,0,0,0,0
0,0,1,0,myfanbase.de,,0,0,0,0,0,0
0,0,2,0,mwartines.cf,,0,0,0,0,0,0
0,0,24,0,mtv.com,,0,0,0,0,0,0
0,0,1,0,www-tubefilter-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,1,0,movierecipe.infoversant.com,,0,0,0,0,0,0
0,0,1,0,ftp.seedandspark.com,,0,0,0,0,0,0
0,0,4,0,forum.popjustice.com,,0,0,0,0,0,0
0,0,7,0,meida-mcneal.squarespace.com,,0,0,0,0,0,0
0,0,3,0,medium.com,,0,0,0,0,0,0
0,0,1,0,forlesbies.tumblr.com,,0,0,0,0,0,0
0,0,1,0,food.kabalism.com,,0,0,0,0,0,0
0,0,2,0,mavenroundtable.io,,0,0,0,0,0,0
0,0,1,0,maryse-lightwood.tumblr.com,,0,0,0,0,0,0
0,0,5,0,manifestdestiny1113.tumblr.com,,0,0,0,0,0,0
0,0,1,0,majortvjunkie.tumblr.com,,0,0,0,0,0,0
0,0,1,0,fero.tips,,0,0,0,0,0,0
0,0,3,0,m.huffpost.com,,0,0,0,0,0,0
0,0,11,0,m.chicagoreader.com,,0,0,0,0,0,0
0,0,1,0,lunarstories.com,,0,0,0,0,0,0
0,0,10,0,lukeblog.blox.pl,,0,0,0,0,0,0
0,0,2,0,ls.com.vc,,0,0,0,0,0,0
0,0,4,0,lotl.com,,0,0,0,0,0,0
0,0,1,0,liztoonkel.com,,0,0,0,0,0,0
0,0,24,0,lisatomdp.com,,0,0,0,0,0,0
0,0,5,0,lifewithjrdn.com,,0,0,0,0,0,0
0,0,2,0,wildhunt.org,,0,0,0,0,0,0
0,0,1,0,lezbelib.com,,0,0,0,0,0,0
0,0,12,0,wearyourvoicemag.com,,0,0,0,0,0,0
0,0,49,0,watchblackmovies.com,,0,0,0,0,0,0
0,0,6,0,fastcocreate.com,,0,0,0,0,0,0
0,0,12,0,leosidran.com,,0,0,0,0,0,0
0,0,6,0,leo-sidran-9qvj.squarespace.com,,0,0,0,0,0,0
0,0,1,0,legacyafropunk.com,,0,0,0,0,0,0
0,0,3,0,latinxgeeks.com,,0,0,0,0,0,0
0,0,1,0,villancyis.cf,,0,0,0,0,0,0
0,0,1,0,estheticlens.com,,0,0,0,0,0,0
0,0,2,0,latina-1051845746.us-east-1.elb.amazonaws.com,,0,0,0,0,0,0
0,0,4,0,lambdaliterary.org,,0,0,0,0,0,0
0,0,2,0,ladywaste.com,,0,0,0,0,0,0
0,0,2,0,la.epeak.in,,0,0,0,0,0,0
0,0,1,0,kosmonauttihai.tumblr.com,,0,0,0,0,0,0
0,0,1,0,kitschmix.tv,,0,0,0,0,0,0
0,0,4,0,kitschmix.com,,0,0,0,0,0,0
0,0,3,0,kiracat.tumblr.com,,0,0,0,0,0,0
0,0,77,0,elle.com,,0,0,0,0,0,0
0,0,2,0,kinghardy.tumblr.com,,0,0,0,0,0,0
0,0,2,0,theidentityofshe.com,,0,0,0,0,0,0
0,0,1,0,elitedaily.com,,0,0,0,0,0,0
0,0,6,0,khafra.squarespace.com,,0,0,0,0,0,0
0,0,39,0,khafra.co,,0,0,0,0,0,0
0,0,3,0,khadijahwhite.com,,0,0,0,0,0,0
0,0,1,0,keepdownloading.com,,0,0,0,0,0,0
0,0,3,0,kamalkiddo.com,,0,0,0,0,0,0
0,0,5,0,kalamu.com,,0,0,0,0,0,0
0,0,77,0,kalachevaschool.ru,,0,0,0,0,0,0
0,0,4,0,joeldsiegel.com,,0,0,0,0,0,0
0,0,8,0,jetmag.com,,0,0,0,0,0,0
0,0,1,0,jessica-king-kd99.squarespace.com,,0,0,0,0,0,0
0,0,1,0,jeffhadick.com,,0,0,0,0,0,0
0,0,1,0,jadedaf.com,,0,0,0,0,0,0
0,0,1,0,intothechic.com,,0,0,0,0,0,0
0,0,3,0,decider.com,,0,0,0,0,0,0
0,0,4,0,shop.latina.com,,0,0,0,0,0,0
0,0,10,0,intersectionalfeminism101.tumblr.com,,0,0,0,0,0,0
0,0,4,0,inoreader.com,,0,0,0,0,0,0
0,0,1,0,sexgay.co,,0,0,0,0,0,0
0,0,15,0,seminariodefilosofia.org,,0,0,0,0,0,0
0,0,14,0,ilove.sergeybreeze.ru,,0,0,0,0,0,0
0,0,1,0,danielkisslinger.com,,0,0,0,0,0,0
0,0,1,0,ihehrb.cf,,0,0,0,0,0,0
0,0,7,0,curvemag.com,,0,0,0,0,0,0
0,0,8,0,hunkhands.com,,0,0,0,0,0,0
0,0,9,0,huffingtonpost.com,,0,0,0,0,0,0
0,0,2,0,huffingtonpost.ca,,0,0,0,0,0,0
0,0,3,0,huckmag.com,,0,0,0,0,0,0
0,0,5,0,hotmart.com,,0,0,0,0,0,0
0,0,2,0,hotel-izmir-tobook.com,,0,0,0,0,0,0
0,0,14,0,hornet.com,,0,0,0,0,0,0
0,0,1,0,hornet-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,11,0,covealpa.com,,0,0,0,0,0,0
0,0,9,0,hkdproductions.com,,0,0,0,0,0,0
0,0,2,0,heyfranhey.com,,0,0,0,0,0,0
0,0,37,0,hellobeautiful.com,,0,0,0,0,0,0
0,0,2,0,saanyaa.com,,0,0,0,0,0,0
0,0,2,0,healyourgutguy.com,,0,0,0,0,0,0
0,0,1,0,s4karuna.tumblr.com,,0,0,0,0,0,0
0,0,1,0,stephomestart.wordpress.com,,0,0,0,0,0,0
0,0,10,0,grizzlykiki.com,,0,0,0,0,0,0
0,0,2,0,gozamos.com,,0,0,0,0,0,0
0,0,1,0,www-wmagazine-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,25,0,www-teenvogue-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,26,0,theaerogram.com,,0,0,0,0,0,0
0,0,2,0,webflixnchill.com,,0,0,0,0,0,0
0,0,2,0,samanthalee333.tumblr.com,,0,0,0,0,0,0
0,0,4,0,girltalkhq.com,,0,0,0,0,0,0
0,0,3,0,thedigitalhash.com,,0,0,0,0,0,0
0,0,1,0,www-elle-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,9,0,theclitsarealright.ch,,0,0,0,0,0,0
0,0,66,0,dewayneperkins.com,,0,0,0,0,0,0
0,0,2,0,gaygechristopher.tumblr.com,,0,0,0,0,0,0
0,0,2,0,wangslive.com,,0,0,0,0,0,0
0,0,4,0,sectionii.com,,0,0,0,0,0,0
0,0,9,0,seedsseries.tumblr.com,,0,0,0,0,0,0
0,0,1,0,g-a-y.co,,0,0,0,0,0,0
0,0,20,0,autostraddle.com,,0,0,0,0,0,0
0,0,17,0,seedsseries.squarespace.com,,0,0,0,0,0,0
0,0,8,0,sybt.businesscatalyst.com,,0,0,0,0,0,0
0,0,2,0,flatworm-harp-x3fa.squarespace.com,,0,0,0,0,0,0
0,0,10,0,atomculture.wordpress.com,,0,0,0,0,0,0
0,0,4,0,womenandhollywood.com,,0,0,0,0,0,0
0,0,11,0,staffmeup.com,,0,0,0,0,0,0
0,0,1,0,theexquisitecorpsediy.com,,0,0,0,0,0,0
0,0,1,0,www-chicagotribune-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,2,0,www-autostraddle-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,1,0,erakles.tumblr.com,,0,0,0,0,0,0
